instance_name algorithm_name iter_idx best_objective running_time
DU60-P6-4 local_search 4 5020.153806409547 0.71517
nb_riders nb_polygons
6 60
rider 0 = {9, 18, 26, 27, 36, 48, 50, 52, 54, 59}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
36 857.8495456627065 857.8495456627065 22.547201228188175 54.79637007505328 0.0 0 0.0
rider 1 = {5, 15, 22, 31, 32, 35, 37, 57, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
35 641.5920334271332 641.5920334271332 24.55491325597443 53.62118566196367 0.0 0 0.0
rider 2 = {4, 8, 17, 21, 24, 30, 38, 45, 47, 51}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
4 829.0048434533987 829.0048434533987 22.988893916814703 57.46211756767116 0.0 0 0.0
rider 3 = {6, 14, 16, 20, 56, 40, 43, 44, 49, 55, 53}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
14 901.6798028574779 901.6798028574779 24.76052261864387 55.44919596909652 0.0 0 0.0
rider 4 = {7, 13, 19, 28, 29, 33, 34, 39, 42, 46}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 892.8901955149956 892.8901955149956 23.766975841424756 56.7030481455684 0.0 0 0.0
rider 5 = {0, 1, 2, 3, 10, 11, 12, 23, 25, 41}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
12 897.137385493835 897.137385493835 22.967838240195864 54.68938882136995 0.0 0 0.0
obj time iter vio 
52529.65062782515 0 0 42753.989879289664
50905.62311953911 0 1 39955.99086602551
47554.469650882835 0 2 35214.12091219843
45299.92313023623 0 3 33519.505825830995
44792.94322354954 0 4 34841.1997667537
43274.47006909489 0 5 33705.67028990622
41589.614841961105 0 6 33554.93769207364
36686.80967358852 0 7 30012.211552567278
27587.242861172614 0 8 22306.614850404778
27518.98138784338 0 9 22306.61485040478
26549.0665210906 0 10 17851.40847492305
23986.840469744726 1 11 15322.111132013822
23327.477077841453 1 12 19846.785252190275
20947.6554303674 1 13 17587.696824009054
19344.632688425296 2 14 12980.079334995198
17560.100196877822 3 15 8254.689117370737
16416.3772474766 4 16 6865.024018733835
16039.26121596722 5 17 9049.191751705464
15275.2635010005 5 18 5276.662733428198
14215.819639209582 5 19 4773.513856314119
13774.448039552173 6 20 4349.402713151954
13402.284787678946 7 21 4208.219428065262
12448.02212954797 7 22 2788.4450088264493
11702.684343924613 8 23 1340.3666495518676
11701.336438320981 10 24 1340.3666495518676
11700.85794264192 11 25 1340.3666495518676
11565.801763233107 14 26 1340.3666495518676
11054.999418241106 16 27 1175.2125397667537
10778.338956252917 20 28 676.7502744566723
10548.397559342277 35 29 455.7626609329668
10520.88017911099 49 30 455.7626609329668
10503.129019355092 63 31 455.7626609329668
10028.744258568151 77 32 28.298685219739774
9974.254899625523 91 33 28.298685219739774
9945.780290741255 106 34 0
9932.519200319472 121 35 0
9876.32684932871 136 36 0
9765.663214293705 152 37 0
9751.438430221166 167 38 0
9658.352188054405 181 39 0
9644.79140006183 195 40 0
9551.483244894327 210 41 0
9295.831976724263 223 42 0
9029.492572555298 238 43 0
9008.525070482685 251 44 0
8897.45681903377 265 45 0
8889.003858476788 277 46 0
8723.094068116761 282 47 0
8600.646497409327 288 48 0
8595.908553778278 294 49 0
8529.361889702328 300 50 0
8484.808325499285 307 51 0
8431.8934862087 313 52 0
8416.786946249911 320 53 0
8034.496396437146 327 54 0
7854.569917818164 334 55 0
7678.012403548308 340 56 0
7473.726120811232 347 57 0
7369.048377306644 354 58 0
7122.248454849566 361 59 0
7109.948391840484 368 60 0
7045.571445244583 374 61 0
7017.725827360255 381 62 0
6975.404826081805 388 63 0
6915.124447117043 395 64 0
6831.861925132059 402 65 0
6777.0013561583 409 66 0
6687.646556662492 416 67 0
6613.928762234984 422 68 0
6547.408694837517 428 69 0
6277.155169237428 434 70 0
6167.6299472535875 440 71 0
6158.790639366379 446 72 0
6157.437391766779 453 73 0
6147.604756908685 460 74 0
6132.352750009999 467 75 0
6044.578554231175 474 76 0
5929.4314148501235 481 77 0
5892.450349619726 489 78 0
5814.919064790802 496 79 0
5814.220127302016 503 80 0
5728.32426918357 510 81 0
5705.211349795635 517 82 0
5596.872424849806 900 158 0
5568.505424186506 1291 227 0
5316.945480688957 1298 228 0
5305.568908594277 1305 229 0
5304.379325298592 1311 230 0
5300.299886616427 1720 305 0
5203.959581628733 1727 306 0
5160.732008375359 1735 307 0
5145.260142355837 1743 308 0
5139.46684749287 1750 309 0
5113.401019807323 3185 620 0
5020.153806409547 3192 621 0
