instance_name algorithm_name iter_idx best_objective running_time
L1-DU20-P2-0 local_search 2 2153.229296289063 0.021838
nb_riders nb_polygons
2 20
rider 0 = {1, 6, 5, 14, 7, 2, 12, 17, 13, 11}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
2 1292.040582093637 1292.040582093637 25.978835504983657 55.5374772948685 0.0 0.0
rider 1 = {0, 8, 9, 10, 15, 18, 4, 3, 19, 16}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
19 861.1887141954257 861.1887141954257 24.20528563813087 51.77263753007775 0.0 0.0
obj time iter vio 
3212.671983359852 0 0 0
3166.0348562418303 0 1 0
3157.3644680429416 0 2 0
2692.201466055089 0 3 0
2471.642412842536 0 4 0
2471.6424128425356 0 23 0
2246.9972998128696 1 56 0
2167.0655327697705 1 57 0
2153.2292962890633 1 58 0
2153.229296289063 8 319 0
