instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P10-0 local_search 5 24498.767940122205 0.776724
nb_riders nb_polygons
10 200
rider 0 = {137, 14, 156, 31, 160, 34, 43, 46, 50, 51, 56, 53, 68, 84, 92, 104, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 1852.2127200777866 1852.2127200777866 48.66961838156967 131.01058021103552 0.0 0 0.0
rider 1 = {133, 11, 141, 153, 158, 162, 164, 38, 44, 171, 179, 64, 197, 71, 74, 82, 83, 88, 96, 117}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
88 2878.0483926807087 2878.0483926807087 51.905925912803305 134.8439908401389 0.0 0 0.0
rider 2 = {138, 144, 19, 151, 33, 36, 165, 39, 173, 177, 58, 60, 62, 191, 63, 195, 69, 81, 93, 97, 101, 118}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
33 2509.084377745123 2509.084377745123 52.158184179140946 138.11964458446096 0.0 0 0.0
rider 3 = {5, 134, 139, 142, 23, 152, 161, 167, 168, 174, 176, 49, 52, 183, 79, 91, 99, 103, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
23 2694.7810175642717 2694.7810175642717 49.686678001733256 133.22659848000825 0.0 0 0.0
rider 4 = {128, 0, 2, 130, 6, 7, 3, 10, 146, 148, 147, 30, 163, 42, 54, 186, 188, 70, 77, 102}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
42 2016.4527302974707 2016.4527302974707 49.72807230812574 126.06388623642226 0.0 0 0.0
rider 5 = {4, 9, 140, 143, 13, 145, 27, 32, 35, 169, 37, 170, 47, 61, 94, 95, 116, 119, 120, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
119 2666.6747189951698 2666.6747189951698 50.92213546811029 132.95893314845154 0.0 0 0.0
rider 6 = {132, 135, 12, 17, 149, 154, 28, 166, 40, 45, 178, 184, 187, 66, 80, 105, 113, 114, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
80 1844.2348238978445 1844.2348238978445 48.80215924098569 133.16843316168206 0.0 0 0.0
rider 7 = {1, 129, 8, 136, 15, 18, 21, 150, 24, 26, 180, 190, 192, 65, 67, 199, 72, 73, 75, 87, 108, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
180 2727.679572603787 2727.679572603787 51.58560913113041 139.05325231525998 0.0 0 0.0
rider 8 = {131, 25, 157, 159, 48, 185, 193, 198, 76, 85, 86, 90, 98, 106, 107, 110, 111, 121, 124, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
198 3283.617463494435 3283.617463494435 51.938238352113586 127.70554309086317 0.0 0 0.0
rider 9 = {16, 20, 22, 155, 29, 41, 172, 175, 181, 182, 55, 57, 59, 189, 194, 196, 78, 89, 100, 109, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
194 2025.9821227656096 2025.9821227656096 50.77933908958062 129.6417980093708 0.0 0 0.0
obj time iter vio 
121928.96593463044 0 0 85381.96732817533
119382.851486995 0 1 85301.50142622633
114700.1472010052 0 2 76625.72274440815
111589.73650958916 0 3 73843.91354954934
109948.12463032635 0 4 76136.94638433881
105476.75340255181 0 5 68441.24608795221
104509.80535412412 0 6 68441.24608795221
103636.32100823037 1 7 67710.5417714313
101228.42611550256 1 8 71970.65303678137
98536.3090995218 1 9 71970.65303678137
97645.44664765323 1 10 71038.62689425894
95823.60013734778 1 11 68699.96515220372
86658.81448808918 1 12 57337.6778410233
84566.99047892774 1 13 53218.78464536584
83590.66456347579 1 14 52268.381771446955
83338.75121561202 1 15 52092.229355242496
76843.4026705238 2 16 45612.698069002065
76028.58025256879 2 17 41055.14403437832
75493.51757003063 2 18 40526.85271399011
73024.17972478054 2 19 37981.51442357537
72918.60314029445 2 20 37855.126589131694
71360.23090025209 3 21 36373.937247893395
71004.61747255933 3 22 36070.864412480405
70275.0767222944 3 23 34527.78670482082
69737.61644001977 4 24 33998.444750065
68928.63923185594 4 25 33102.79851723442
67837.01129378055 5 26 29960.083651654313
67650.68782774068 6 27 29748.296701255196
67109.58006234247 7 28 30013.434449516637
58997.43463566494 7 29 21144.059144539166
58930.85528484392 8 30 21144.05914453918
58872.37305621828 8 31 21250.354073199273
57710.47598401311 9 32 20267.574854661503
57288.057561186644 10 33 19865.486192420023
57180.28762193614 10 34 19865.486192420023
57063.30753242634 11 35 19865.486192420023
56950.38761220981 11 36 19865.486192420023
56934.209354298895 12 37 19865.486192420023
56896.59811452688 13 38 19865.486192420023
56797.53945526218 14 39 19865.486192420023
54057.035512345414 15 40 17701.889395791844
47165.7355439691 15 41 10413.655177607136
46226.32431012599 15 42 9649.822111189278
46033.925637987355 15 43 9649.822111189278
45808.91467136778 16 44 9649.822111189278
45798.06711658984 16 45 9649.822111189278
42052.64598411709 16 46 8696.53740268746
41865.37530506958 16 47 8696.53740268746
41833.11697038889 84 48 8705.375104873387
41818.05231917919 109 49 8696.537402687447
40207.076788516606 109 50 5290.11803966689
40142.054449079376 110 51 5290.11803966689
40070.7960070573 136 52 5159.893642248033
39986.86063117964 136 53 3465.59103958295
39877.60849995752 145 54 3465.59103958295
39770.317342894035 145 55 3346.4718522043863
39615.2371208091 154 56 3346.4718522043863
39607.07022704135 154 57 3346.4718522043863
38830.72274657338 163 58 2766.703583939119
37466.44500710076 164 59 1146.5112067931946
37426.01334274866 165 60 1138.9646418421685
37378.293350839536 182 61 1138.9646418421685
37291.06916663142 182 62 1138.9646418421685
36868.493307772325 191 63 698.1995689755643
36758.548765230116 191 64 548.2912080898341
36606.43087086146 192 65 548.2912080898341
36581.07748726157 200 66 548.2912080898341
36436.17779061006 218 67 548.2912080898341
35858.24170846712 264 68 38.95524837223263
35829.985357445636 282 69 0
35775.819013707325 282 70 0
35765.13680709396 328 71 0
35618.93385926811 339 72 0
35552.17489682385 404 73 0
35411.90402337879 414 74 0
35275.82687083629 414 75 0
35037.82340766468 434 76 0
34940.71454212743 525 77 0
34892.01185892857 598 78 0
34845.116423334024 660 79 0
34797.23373432343 687 80 0
34779.79630221281 731 81 0
34682.90490256035 749 82 0
34542.26599939373 749 83 0
34524.801966765066 784 84 0
34483.20147954703 802 85 0
34313.502432151945 802 86 0
34303.37744315013 803 87 0
34210.4933303713 814 88 0
34170.971568493806 814 89 0
34127.446352462575 831 90 0
33690.412388164805 832 91 0
33656.86639782615 835 92 0
33634.813254390734 836 93 0
33541.00029895436 854 94 0
33435.19767403351 863 95 0
33430.75743109693 880 96 0
33336.81873429723 889 97 0
33293.676278556624 974 98 0
33185.97898568078 983 99 0
33069.54323924954 1017 100 0
32940.70977569936 1035 101 0
32909.304152894096 1070 102 0
32769.88971917994 1072 103 0
32731.389984175035 1090 104 0
