instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P10-0 local_search 6 21532.545224706522 0.139879
nb_riders nb_polygons
10 200
rider 0 = {0, 128, 3, 5, 7, 137, 10, 14, 146, 147, 23, 26, 163, 42, 43, 49, 50, 184, 188, 70, 84}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
70 1938.0908377133223 1938.0908377133223 49.45139480759093 137.34821766836993 0.0 0 0.0
rider 1 = {19, 22, 156, 33, 168, 169, 167, 48, 181, 60, 62, 191, 193, 74, 81, 91, 97, 115, 118, 119}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
193 2524.705270690093 2524.705270690093 48.523949666838284 133.3614371196261 0.0 0 0.0
rider 2 = {2, 132, 134, 6, 135, 151, 152, 30, 160, 162, 46, 51, 53, 68, 197, 198, 71, 85, 92, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
53 2031.9072839575692 2031.9072839575692 51.56689221137481 131.34600540957297 0.0 0 0.0
rider 3 = {12, 153, 28, 158, 161, 44, 176, 177, 179, 183, 66, 76, 80, 90, 99, 102, 113, 117, 121, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
12 2146.4746092669184 2146.4746092669184 52.229314768402496 138.35477994085298 0.0 0 0.0
rider 4 = {138, 37, 166, 38, 40, 57, 187, 190, 69, 86, 93, 94, 96, 105, 106, 111, 114, 116, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
106 2469.8454644780372 2469.8454644780372 49.376763991154654 135.6929070903443 0.0 0 0.0
rider 5 = {8, 141, 15, 148, 150, 31, 36, 173, 54, 56, 186, 189, 192, 194, 77, 79, 82, 107}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
31 2501.3430468286833 2501.3430468286833 52.60145934532147 127.31644643424552 0.0 0 0.0
rider 6 = {130, 136, 18, 21, 24, 41, 47, 185, 58, 67, 195, 72, 75, 87, 95, 98, 100, 103, 109, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
24 2368.841957992517 2368.841957992517 51.08424459367397 128.06329863451472 0.0 0 0.0
rider 7 = {133, 11, 17, 149, 154, 159, 164, 170, 171, 45, 178, 52, 59, 64, 65, 196, 78, 83, 88, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
164 1694.111542211097 1694.111542211097 49.18878652651391 128.6212212398091 0.0 0 0.0
rider 8 = {129, 1, 142, 145, 139, 144, 25, 157, 35, 34, 32, 39, 174, 9, 180, 199, 73, 120, 104, 108}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
142 1644.8660514996657 1644.8660514996657 50.69031154695391 134.6906062765649 0.0 0 0.0
rider 9 = {131, 4, 140, 13, 143, 16, 20, 27, 155, 29, 165, 172, 175, 182, 55, 61, 63, 89, 101, 110, 125, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
29 2212.359160068615 2212.359160068615 51.462842607469064 130.99774026379305 0.0 0 0.0
obj time iter vio 
164119.28204115658 0 0 136927.9697273866
154372.8783823885 0 1 121828.03881505012
148581.34945716106 0 2 116793.57200058868
140695.67518354586 0 3 120597.43590856904
136579.10693415572 0 4 120597.43590856902
135060.03943985523 0 5 118917.7117167243
132756.22892794418 0 6 113999.22166736539
130795.36009827684 0 7 108588.07038515374
129166.85640619852 0 8 104920.70002853688
127341.62494838198 0 9 102270.46330166138
125832.88839102766 0 10 96930.08866265502
124517.95904232579 0 11 95726.51831477218
120990.6700818853 0 12 92251.56082140958
118234.00097059787 0 13 86983.28228338358
117443.02128911782 0 14 86267.75214373479
117393.8795578746 0 15 86267.75214373479
116599.6231650423 1 16 84177.52635188562
116447.81791118837 1 17 85417.70899566227
106931.36940820879 1 18 82248.42977003731
106607.22608009874 1 19 82697.95352533336
103380.55432726763 1 20 80388.94659390328
102871.6822063642 1 21 79434.00859134145
102481.76969959008 1 22 78593.93979819508
102208.38675484518 1 23 78341.70681567428
98072.32839893238 1 24 66283.68663795548
96655.65445068663 1 25 63383.892050046226
96056.12494392955 2 26 62436.94504886011
93306.18871741096 2 27 58804.60711086778
91138.27106918227 2 28 66796.74694357575
86502.93688090239 2 29 60536.284527167336
79927.7676781511 2 30 60426.84560642148
77239.72553071336 2 31 53939.57789899427
77126.06917317903 2 32 53939.577898994285
77107.68816184519 2 33 53939.577898994285
75893.498348041 2 34 51007.09047647412
75755.96043404007 3 35 49732.78063269037
73442.7645846516 3 36 47600.45568780745
73309.44951920222 3 37 47600.45568780745
72497.65155616446 3 38 45077.79164956603
72407.78546672853 3 39 45077.79164956603
69387.57145628962 3 40 38602.72321169067
67787.74563046459 3 41 36906.61807653999
66717.26099176014 3 42 35699.690935557875
64233.86728197076 3 43 34268.77237376255
63555.008110911534 12 44 33498.06269014302
57812.46248406847 12 45 26546.222758640648
51834.87747427528 12 46 15852.05729209649
50112.739326919545 12 47 12665.212064714357
47920.1114066297 13 48 10542.968992223872
47583.734880561264 13 49 10476.888899300657
45390.76131142786 13 50 8648.933778649902
44934.30537868282 13 51 7963.760589516871
44811.85288363873 14 52 7963.760589516864
44598.817276429436 14 53 7766.944899894964
44208.507868570516 14 54 7352.727779705091
44050.3948968845 15 55 7369.725529274248
44043.89449026711 15 56 7369.725529274248
43727.531295049725 35 57 7352.727779705091
43620.322083768246 35 58 7240.7534231799245
38797.77110662125 45 59 2477.4297716258466
38592.33375128993 45 60 2322.635913897553
38567.59376253602 45 61 2322.635913897553
38304.62360351763 45 62 2117.1258792323665
37037.25381013024 45 63 746.6212839624084
36927.47849163103 97 64 753.6737117792835
36197.71257895607 107 65 0
36117.4428269107 122 66 0
36062.33492908975 123 67 0
35983.65274570518 141 68 0
35800.3575152711 150 69 0
35723.66540762491 159 70 0
35618.68577860847 187 71 0
35565.298918423745 242 72 0
35542.471695641565 304 73 0
35515.62258629894 313 74 0
35280.55276837625 314 75 0
35251.46136262298 325 76 0
35110.74277991536 337 77 0
34927.80896444864 338 78 0
34858.47313187855 356 79 0
34715.87740821918 357 80 0
34689.47346341526 375 81 0
34656.203666540605 392 82 0
34641.2373200387 393 83 0
34484.88209461691 393 84 0
34420.75843646103 461 85 0
34367.70584296021 487 86 0
34304.17542837018 518 87 0
34187.189582153995 543 88 0
34099.907409638145 551 89 0
33980.785814892246 565 90 0
33905.936617689185 573 91 0
33876.09681458588 577 92 0
33839.034732253866 578 93 0
33653.73342439043 616 94 0
33623.907703177785 617 95 0
33620.365475390616 620 96 0
33561.613466908486 650 97 0
33542.46600868588 650 98 0
33530.37273404536 667 99 0
33463.96814825914 667 100 0
33454.99070630981 686 101 0
33425.11759616148 689 102 0
33273.29753862904 690 103 0
33218.232887631064 722 104 0
33193.04846147193 734 105 0
33044.47863060043 741 106 0
33024.077410602746 784 107 0
32914.06390265042 785 108 0
32879.163838830194 789 109 0
32850.23788063273 819 110 0
32846.058098958994 819 111 0
32788.5439935376 835 112 0
32743.636438903646 839 113 0
32712.578464039863 847 114 0
32647.14451473852 847 115 0
32572.94421368964 855 116 0
32398.282445964785 856 117 0
32181.34420598848 863 118 0
32077.89433184203 892 119 0
31992.06443543918 903 120 0
31814.126174993584 925 121 0
31811.356336307683 936 122 0
31749.431124488492 947 123 0
31748.0218397218 951 124 0
31660.183635956815 951 125 0
31604.740005320094 952 126 0
31451.98757146097 955 127 0
31187.03738276976 959 128 0
31136.832668796975 982 129 0
31128.343611690932 998 130 0
31103.545022777387 998 131 0
31016.722774999387 999 132 0
31010.93772047004 1003 133 0
30832.386123930457 1032 134 0
30829.87383733298 1035 135 0
30539.749429736723 1053 136 0
30444.46921965544 1064 137 0
30334.07066418086 1072 138 0
30214.93694104169 1072 139 0
30198.44945118275 1083 140 0
30153.984575601906 1084 141 0
30133.997269851265 1096 142 0
30133.317395064565 1107 143 0
30088.36291806742 1108 144 0
29951.111824901538 1108 145 0
29905.032868417296 1112 146 0
29852.712227032785 1130 147 0
29801.284237233667 1148 148 0
29690.99464294191 1171 149 0
29684.117543029257 1183 150 0
29677.205247346727 1184 151 0
29641.657803258135 1206 152 0
29637.19544215012 1233 153 0
29587.238198916504 1238 154 0
29545.00089996516 1257 155 0
29249.711854592293 1262 156 0
29208.558814727054 1267 157 0
29200.661792761657 1272 158 0
29102.68642307184 1288 159 0
28954.784000020405 1306 160 0
28838.67628387346 1319 161 0
28792.911866953236 1332 162 0
28662.524270829457 1332 163 0
28644.691767547825 1332 164 0
28617.13408171176 1333 165 0
28557.8396123998 1347 166 0
28270.283028536698 1347 167 0
28223.267676217536 1352 168 0
28198.282410531046 1363 169 0
28117.286206185447 1363 170 0
28014.19154470112 1364 171 0
28010.71374605025 1369 172 0
27954.326249106653 1374 173 0
27690.500476951267 1383 174 0
27656.073343284486 1401 175 0
27594.88462665784 1420 176 0
27540.23268051743 1421 177 0
27504.238521117295 1426 178 0
27467.069410047814 1427 179 0
27448.92780585197 1431 180 0
27383.717602918223 1444 181 0
27377.460976338407 1444 182 0
27240.52834645752 1449 183 0
27233.07970765634 1461 184 0
27203.88460534833 1482 185 0
27186.69099703428 1513 186 0
27183.864090861145 1516 187 0
27090.48540786268 1551 188 0
27020.126704521932 1583 189 0
27005.266464474702 1598 190 0
26983.994184557 1603 191 0
26958.36996963376 1644 192 0
26884.558115180283 1667 193 0
26879.534949895078 1669 194 0
