instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P10-0 local_search 9 19050.34371508265 0.043366
nb_riders nb_polygons
10 200
rider 0 = {129, 1, 136, 142, 18, 21, 24, 34, 35, 39, 185, 199, 73, 87, 89, 101, 103, 104, 108, 112, 120, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
185 1867.270458632982 1867.270458632982 51.78043488201725 134.09846726282166 0.0 0 0.0
rider 1 = {12, 17, 149, 152, 29, 159, 164, 166, 44, 178, 58, 64, 65, 194, 74, 76, 80, 88, 93, 94, 106}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
106 2030.40298190746 2030.40298190746 52.979341556876435 133.49934264805103 0.0 0 0.0
rider 2 = {4, 9, 139, 11, 13, 23, 33, 36, 165, 37, 57, 195, 67, 72, 75, 95, 98, 107, 118, 119, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
165 2562.268529008099 2562.268529008099 48.956127617038504 133.2613034342779 0.0 0 0.0
rider 3 = {130, 15, 19, 151, 158, 31, 32, 168, 173, 176, 50, 56, 193, 70, 121}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
31 1445.1649326999418 1445.1649326999418 49.38740766794692 128.84569778519906 0.0 0 0.0
rider 4 = {131, 140, 143, 20, 27, 38, 41, 172, 175, 177, 52, 182, 59, 190, 63, 196, 69, 78, 86, 105, 109, 110, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
69 2261.5369193973715 2261.5369193973715 52.66115050745091 136.25388599391252 0.0 0 0.0
rider 5 = {133, 154, 28, 161, 171, 45, 48, 179, 187, 189, 66, 81, 90, 96, 99, 102, 113, 114, 117, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
187 1205.3906816164767 1205.3906816164767 49.23703772085981 128.73296280132647 0.0 0 0.0
rider 6 = {128, 3, 132, 6, 135, 7, 137, 10, 147, 160, 42, 46, 51, 53, 183, 186, 71, 82, 85, 92}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
85 1788.5857779765367 1788.5857779765367 49.22266597209923 126.53026102315674 0.0 0 0.0
rider 7 = {2, 138, 146, 148, 30, 162, 163, 167, 49, 54, 184, 188, 60, 62, 192, 68, 197, 77, 79, 84, 91}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
54 2120.4188924707596 2120.4188924707596 52.042848404398725 131.0863681821328 0.0 0 0.0
rider 8 = {0, 5, 134, 8, 14, 141, 144, 145, 150, 25, 26, 156, 157, 43, 174, 47, 180, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
26 1914.80921254699 1914.80921254699 50.99004170165985 135.22834631716097 0.0 0 0.0
rider 9 = {16, 22, 153, 155, 40, 169, 170, 181, 55, 61, 191, 198, 83, 97, 100, 111, 116, 122, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
170 1854.4953288260326 1854.4953288260326 48.91890403494585 138.25602462965432 0.0 0 0.0
obj time iter vio 
144241.1313892759 0 0 109007.0002914316
132841.1887837485 0 1 97720.32376861939
129233.76528296729 0 2 98636.67286815462
124316.31960361647 0 3 89040.16019405416
119506.8944570363 0 4 84272.51160487159
116501.41166162018 0 5 83180.7914772801
115190.04821343844 0 6 81928.27662669562
109369.06395473736 0 7 79734.81664970204
108795.19989721593 0 8 79138.46765148961
107153.06038354445 0 9 77689.65376473847
97043.84222076437 0 10 66124.42536015892
96771.50121578483 0 11 66557.7958683432
95721.83280295189 0 12 65461.53086014555
94775.43849577571 0 13 62228.17977528025
88806.14934871576 0 14 55913.33332820884
74685.48979522882 0 15 41090.459339827314
74553.68617533913 4 16 40960.58879678168
71554.23661680004 4 17 37919.32768255245
71027.36391005454 9 18 37443.14993778199
68446.23826097304 9 19 35753.274633025576
67969.62073576433 9 20 32644.49715248817
59442.87093780673 9 21 24176.333432816326
58769.71764398816 9 22 20234.517824056587
57619.20784492432 9 23 23271.38340822773
56979.28227734328 9 24 22553.92201906051
56848.2066213956 9 25 22490.682224852888
55787.398219159986 10 26 22887.465927113128
55366.42954237873 10 27 19932.76575900434
55323.69173171443 10 28 19932.76575900434
54245.33470908057 10 29 18924.08317141987
53139.97798980552 10 30 17680.40041521014
51808.98399736157 10 31 16349.436636719569
51285.435316559255 11 32 15943.125319819668
50896.14489859083 11 33 15548.989561321843
50862.664726915835 11 34 15548.989561321843
50861.49961680674 11 35 15548.989561321843
50232.56401821985 12 36 14839.855634352789
49859.868680093605 12 37 14493.228025865032
49832.83519841544 12 38 14400.84828019836
48967.917260647795 13 39 15931.409683897426
48864.22169955875 14 40 15931.409683897426
48775.48409772337 14 41 15931.409683897426
48625.173927976146 14 42 15869.973064901827
44236.45250271985 14 43 6127.31199445583
43350.257801982 23 44 5228.196501121715
43131.615752787206 23 45 4922.483393078141
42987.26419283155 28 46 4986.319062252515
42767.5635866839 28 47 4639.69145376476
42703.73478716981 32 48 4639.691453764788
42546.83981558994 32 49 4456.514267404767
40478.451527413905 37 50 2342.035850746781
40316.96282115789 37 51 2186.1360907987723
40069.07409411376 37 52 1762.9198895464083
39918.2184814598 41 53 1707.611640891967
39161.84572706409 42 54 948.8666845786184
39069.44816625276 60 55 948.8666845786184
38400.918487607276 64 56 137.64675843197517
38373.64315518171 64 57 137.64675843197517
38333.982903869066 82 58 0
38189.8085423215 104 59 0
38137.629826184726 113 60 0
37922.105512914 131 61 0
37909.622646179836 131 62 0
37881.497396072125 141 63 0
37774.266052282175 146 64 0
37731.548247197905 155 65 0
37635.54441563723 155 66 0
37608.28878326804 156 67 0
37538.81571546723 156 68 0
37395.09934630075 169 69 0
37309.28349269096 173 70 0
37214.89413770767 178 71 0
37145.91020498043 187 72 0
36997.97282373857 203 73 0
36922.26543216913 208 74 0
36645.21794304271 229 75 0
36615.80670537199 233 76 0
36600.86204097618 234 77 0
36582.378858677876 234 78 0
36483.95993950668 235 79 0
36380.29094402728 244 80 0
36233.89673317046 262 81 0
36233.837928747074 262 82 0
36229.15280810153 262 83 0
36039.88616436713 285 84 0
36011.73145955106 294 85 0
35991.09098000302 299 86 0
35916.360440830016 317 87 0
35801.873184895674 317 88 0
35708.69975311811 322 89 0
35588.786409452136 335 90 0
35587.36701799571 336 91 0
35401.01997931488 366 92 0
35328.363164285634 371 93 0
35293.052523543796 372 94 0
35186.9996970467 373 95 0
35069.6772868173 390 96 0
34856.035869115265 399 97 0
34692.637532492095 400 98 0
34526.75626015692 400 99 0
34448.2983145184 405 100 0
34443.09522296405 422 101 0
34330.00887911374 435 102 0
34179.83722059459 438 103 0
34145.866443825216 463 104 0
34027.824473195506 464 105 0
33974.75685341681 464 106 0
33854.24967781012 465 107 0
33820.27481750307 473 108 0
33817.18465808963 473 109 0
