instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P20-0 local_search 3 34413.094782186214 0.343773
nb_riders nb_polygons
20 200
rider 0 = {4, 5, 138, 26, 156, 37, 102, 45, 183, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
5 2146.7652775004326 1546.3151559061755 30.457096186739292 62.70181922178473 0.0 0 0.0
rider 1 = {65, 198, 20, 85, 90, 157, 103, 50, 115, 118}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
50 1879.3826051755418 1879.3826051755418 27.67864998278923 64.00681903008937 0.0 0 0.0
rider 2 = {197, 136, 80, 84, 92, 160, 186, 59}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
84 1121.6916881281907 1121.6916881281907 28.067914691035302 61.08209563897566 0.0 0 0.0
rider 3 = {64, 137, 74, 141, 142, 100, 41, 109, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 1282.091572422562 1282.091572422562 29.072709244007136 63.96990943331601 0.0 0 0.0
rider 4 = {133, 78, 19, 148, 153, 36, 165, 44, 176, 114, 61}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
61 2141.8485346477887 2141.8485346477887 28.634327509515003 62.97687118702496 0.0 0 0.0
rider 5 = {194, 6, 10, 87, 101, 174, 177, 182, 185, 123, 188}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
182 1991.7249465989876 1991.7249465989876 27.835156238452242 67.05464656663612 0.0 0 0.0
rider 6 = {67, 196, 145, 149, 152, 94, 95, 97, 168, 121}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
67 1487.1347213241104 1487.1347213241104 28.311454892919624 62.4205111903884 0.0 0 0.0
rider 7 = {66, 134, 71, 76, 147, 21, 159, 173, 119, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
119 1895.938598616089 1895.938598616089 27.437061968850298 65.83820473851141 0.0 0 0.0
rider 8 = {1, 3, 195, 131, 81, 24, 162, 110, 124, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
127 1574.0482802239928 1410.8500820702493 26.849957765548908 62.018375708298734 0.0 0 0.0
rider 9 = {193, 15, 16, 79, 18, 89, 34, 178, 179}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
18 1471.5960692533927 1471.5960692533927 28.64967604266892 61.247292886362764 0.0 0 0.0
rider 10 = {73, 14, 150, 158, 39, 108, 48, 53, 55, 62}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
48 2067.5849960780206 2067.5849960780206 28.412265793175305 64.17593460733951 0.0 0 0.0
rider 11 = {22, 154, 40, 43, 172, 47, 51, 52, 116, 120, 57}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
47 1380.732936153795 1380.732936153795 29.214178799972306 64.20353926882571 0.0 0 0.0
rider 12 = {68, 69, 135, 143, 23, 27, 161, 98, 164, 191}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
69 1667.8147867921443 1667.8147867921443 27.34038824793545 65.2712613599953 0.0 0 0.0
rider 13 = {192, 70, 139, 17, 82, 25, 93, 29, 166, 181, 187}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
181 1976.5153747322024 1976.5153747322024 29.767018809564945 62.58237094772202 0.0 0 0.0
rider 14 = {128, 7, 199, 140, 86, 28, 42, 107, 190, 63}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
140 1242.5867812691 1242.5867812691 28.85256122035072 64.13786449640347 0.0 0 0.0
rider 15 = {8, 12, 83, 56, 30, 35, 170, 175, 184, 189}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
12 1647.5301732066935 1450.6306639607092 26.816256454456667 66.90955134217522 0.0 0 0.0
rider 16 = {0, 130, 2, 72, 77, 91, 105, 46, 54}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
54 1223.3189912374987 1223.3189912374987 28.73449190585375 61.36125883493111 0.0 0 0.0
rider 17 = {13, 144, 146, 155, 32, 38, 169, 112, 49, 117, 60}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
144 2669.660082294681 2669.660082294681 28.52821719562637 67.25206776879769 0.0 0 0.0
rider 18 = {129, 9, 11, 88, 31, 163, 167, 106, 171, 111, 180}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
111 2074.2096845835663 2074.2096845835663 28.42817733969326 67.0417005211109 0.0 0 0.0
rider 19 = {132, 75, 151, 96, 33, 99, 104, 113, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
75 1470.9186819474191 1470.9186819474191 29.61045999932211 65.20451255078815 0.0 0 0.0
obj time iter vio 
189436.51184856644 0 0 175693.56035590247
187222.34424066395 0 1 175773.59339821042
182488.05827251228 0 2 165195.1471084718
182094.48240319936 0 3 165195.14710847184
178035.5209127246 0 4 161939.3211155669
175709.66161947648 0 5 167551.63276905287
175291.11323389245 0 6 174065.0230197245
175117.1951424622 0 7 173891.94410955548
173969.20980765336 0 8 170094.10025941627
161788.64020355928 0 9 147562.75323576364
161269.70496629857 0 10 146025.43994959194
160049.86257798635 0 11 142063.36265065896
159679.39713643576 1 12 148584.5889929616
156915.98291237964 1 13 144695.36559683195
156666.6329767974 1 14 135887.7548831758
153772.19364669526 1 15 132869.27322993195
153678.48240159202 1 16 132869.27322993195
146487.05413500516 1 17 122009.8272032635
144198.57474295836 2 18 135181.38179462915
142150.8146784392 2 19 134254.5610349745
133306.5586650936 3 20 124727.2404318755
131749.50031707832 3 21 121754.1508341506
129991.68623340358 3 22 112394.6079427913
128388.6994817494 3 23 111703.33671628426
117060.799445833 3 24 99321.45456834156
114713.75928919828 4 25 95017.78476018726
113850.25163320938 4 26 99840.11479076957
110985.29740418152 4 27 96968.00976915847
107393.02284160107 4 28 93955.30852264706
104239.74079933476 5 29 89669.0001589776
100612.45879338238 5 30 89021.84460797529
100106.97098803321 5 31 95968.11515820262
91616.43110233815 5 32 74766.312182358
91452.0658063609 5 33 77491.28083342817
86245.70692535439 7 34 74222.16896955864
85071.31900840324 7 35 61483.3124147225
84260.72372171895 7 36 62896.34126036792
80439.31684589265 8 37 58995.82216896186
79606.3126068948 9 38 61410.64131022883
79551.17641501235 10 39 61410.64131022883
79473.64724500563 10 40 61410.64131022883
77519.75527126329 10 41 53987.64856833143
77047.29509440338 10 42 53532.38842643447
75191.13807764358 10 43 54387.18343206879
74583.24987660129 10 44 51800.918833395284
73763.89433446835 11 45 48652.62106230553
72148.00025929282 11 46 48513.40204582028
71613.43393268727 12 47 47991.882012865084
70167.74046452843 12 48 46459.799738041234
66621.54042590679 12 49 40970.283783066894
63758.2321725355 12 50 38087.227014442986
61134.20005593981 13 51 38561.93739139562
60930.64877454808 13 52 35077.21312974515
60356.152626915056 28 53 34038.01982369209
53168.87573513937 30 54 20402.46190339687
52277.913794435175 30 55 19584.9568495722
52208.79338411012 45 56 19584.95684957222
52071.3080633937 45 57 19247.090468296217
51859.06116722409 47 58 19084.09874114522
51351.95153857937 61 59 21665.330037045365
51165.764377009385 62 60 21463.729984280868
50530.28453235697 64 61 20152.80883429852
49479.33761769122 65 62 19026.74737844229
49364.52788058448 66 63 18714.35271641523
48957.20828759364 74 64 19064.193324723474
47431.6068360063 80 65 17709.76560296327
46754.36966480105 98 66 13988.882982582129
46100.83161234076 321 67 13390.353106632341
45882.17450496565 398 68 13033.447828671322
45604.06475179636 615 69 12759.94790339697
45407.631805363424 617 70 14427.014608014082
43947.544727722954 653 71 11794.039394622981
43396.59107435545 690 72 11158.20584355791
42499.12895205487 691 73 10186.783466937377
42286.29760357943 741 74 10047.351116945772
41170.14985964245 813 75 8975.543268698562
41024.704387524354 885 76 8975.543268698562
40621.182608095725 995 77 6397.825908649945
40417.09753017243 1072 78 5772.917684166035
40196.56685519167 1109 79 5772.917684166035
40117.53447676806 1109 80 5772.917684166035
39989.757491619166 1109 81 5772.917684166035
39793.52159438853 1146 82 5596.075481756187
38477.97780150689 1218 83 4429.827825666833
38312.47116806487 1290 84 4429.82782566684
38089.07915181306 1362 85 4429.82782566684
36070.89540333357 1399 86 2385.029462494309
36042.80887068732 1403 87 2385.029462494309
35981.64051806538 1520 88 2216.74306937755
35444.93984676324 1522 89 1686.4901695914043
35134.09038563182 1779 90 1686.4901695914043
35064.74246182168 2156 91 1686.4901695914075
35041.26747210618 2277 92 1564.5354057184297
34738.04277732013 3298 93 1320.9952038341044
34413.094782186214 4501 94 960.5478289939846
