instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P20-0 local_search 4 33100.5911396147 0.133265
nb_riders nb_polygons
20 200
rider 0 = {65, 11, 85, 23, 91, 156, 38, 170, 113, 184}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
11 1251.2659215275548 1251.2659215275548 27.743238504191744 63.07543249393808 0.0 0 0.0
rider 1 = {5, 197, 16, 86, 90, 28, 93, 94, 119}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 1132.6222138172773 1132.6222138172773 27.806905890774743 66.70502920497583 0.0 0 0.0
rider 2 = {130, 143, 145, 148, 87, 33, 34, 166, 112, 187}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
145 1918.9537927120894 1918.9537927120894 27.463043328373015 65.35937374279263 0.0 0 0.0
rider 3 = {1, 194, 68, 6, 75, 139, 141, 14, 19, 20, 36, 167, 106}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
68 2245.3643801638 2245.3643801638 29.346877035091325 67.22002736833572 0.0 0 0.0
rider 4 = {195, 135, 79, 81, 18, 25, 104, 51, 117, 59}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
18 1760.7576618572643 1760.7576618572643 28.69640741257946 64.35896980319806 0.0 0 0.0
rider 5 = {131, 83, 88, 161, 98, 37, 48, 180, 62, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
48 1854.745480129982 1854.745480129982 28.06598917660369 66.16801141486289 0.0 0 0.0
rider 6 = {70, 7, 78, 22, 159, 103, 40, 111, 176, 57}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
22 1435.9322170870375 1435.9322170870375 27.896023764339642 65.62227658463726 0.0 0 0.0
rider 7 = {129, 84, 151, 30, 101, 169, 177, 189}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
101 1097.9848737624068 1097.9848737624068 28.36792096920467 61.56250696324575 0.0 0 0.0
rider 8 = {3, 146, 31, 164, 110, 115, 179, 52, 182, 61, 63}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
61 1614.1951538091737 1614.1951538091737 28.32562426767631 61.07844224967142 0.0 0 0.0
rider 9 = {10, 155, 160, 163, 100, 41, 109, 114, 183, 121, 188}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
114 2042.7242396873407 2042.7242396873407 28.941187711880865 67.02490998043683 0.0 0 0.0
rider 10 = {64, 67, 133, 71, 73, 153, 24, 105, 173, 178}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
67 1426.1280529759686 1327.2804224286474 29.75806055855799 60.770341216177826 0.0 0 0.0
rider 11 = {0, 66, 4, 72, 39, 44, 46, 181, 120, 123, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
123 1833.696322832261 1833.696322832261 27.08875685307024 62.41709900914947 0.0 0 0.0
rider 12 = {199, 8, 165, 102, 168, 42, 172, 49, 116, 60, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 2305.2450961214026 2305.2450961214026 29.095752174744995 61.237787733329434 0.0 0 0.0
rider 13 = {196, 134, 137, 76, 80, 26, 27, 175, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
196 1154.5760930805466 1153.4204062489516 29.85780175197663 62.07237287251536 0.0 0 0.0
rider 14 = {138, 74, 12, 15, 152, 97, 108, 53}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
138 1439.5930727276439 1370.3743538144347 26.943937244789442 65.320745851143 0.0 0 0.0
rider 15 = {132, 144, 92, 29, 158, 45, 50, 56, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
29 1422.690214074799 1422.690214074799 28.318837915169887 66.24383108248503 0.0 0 0.0
rider 16 = {192, 2, 136, 89, 122, 54, 186, 190}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
136 1584.3757322010335 1584.3757322010335 27.760881521445615 61.82806821964018 0.0 0 0.0
rider 17 = {128, 193, 13, 142, 147, 150, 157, 32, 43, 185, 191}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
185 2137.3294117281907 2137.3294117281907 28.743801729703222 65.40302902606628 0.0 0 0.0
rider 18 = {69, 198, 9, 21, 162, 99, 35, 174, 47, 55}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
47 1647.4637265361735 1647.4637265361735 28.849367923396603 60.93670511132686 0.0 0 0.0
rider 19 = {140, 77, 17, 82, 149, 154, 95, 96, 171, 107, 118}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
140 1794.9474827827455 1794.9474827827455 29.627604554906753 67.05164737154931 0.0 0 0.0
obj time iter vio 
184229.5582638437 0 0 178643.7051648287
181101.78052441962 0 1 175941.38908240598
179940.56970375462 0 2 175941.38908240598
177031.811814861 0 3 172963.30331939552
175688.7833017346 0 4 175070.01506642866
168817.2539842183 0 5 168623.285960896
166091.7091768165 0 6 161491.63062805476
160064.36808428346 0 7 151417.06687960544
160009.7554781797 0 8 151283.76267146756
156391.23602030164 0 9 150513.33154937852
155719.67713110172 0 10 157007.4213047117
153788.6803116877 0 11 151138.6165272103
149687.13011224114 0 12 145736.361838046
149331.66189106705 0 13 142861.18257730437
145551.4294843448 0 14 129125.4814533298
144912.71035260783 0 15 130399.29828953063
142266.00304630122 0 16 127451.13051202123
139225.78771336796 0 17 122255.4651553317
135758.97403105686 0 18 120323.69540828766
133513.9138529235 0 19 124041.81720750134
131483.60824663637 1 20 125022.98986776524
129669.20769243705 1 21 121272.63713043543
125559.50319602207 1 22 117115.04114421752
125207.35575023253 1 23 115745.22347409405
123147.38505521852 1 24 113287.74792874114
120862.99504666994 1 25 109450.82137536102
115856.38242226276 1 26 96867.06525108207
115052.10483962554 2 27 98532.61647680131
114733.36818619128 2 28 90932.15361692649
112366.41989116489 2 29 86313.54204257432
112347.07933578432 2 30 86313.54204257432
112246.55814143218 2 31 89106.19420184536
105508.48800281453 2 32 81409.74361609915
104850.41016093742 2 33 80989.74034276429
104615.12197827105 2 34 80611.15881917458
103986.87456377315 3 35 78401.9141561256
103562.97733171376 3 36 75433.09775050075
102005.56080542675 3 37 73960.73737627211
99748.34661740126 3 38 74085.15715421474
99743.96512246299 18 39 74082.87529822014
94429.35586511006 18 40 66682.95341892134
94125.20714180628 18 41 65917.40334809285
86202.11042228709 21 42 56983.55697853071
79526.82180948943 21 43 51186.34112455697
77799.38342332853 21 44 51149.11948006828
77054.25968270257 22 45 48126.28343796377
73428.15897883863 22 46 45250.61108763868
72514.44337853062 22 47 42527.28015105738
72121.08533479947 23 48 42527.28015105738
69324.19126555696 23 49 39418.179404011826
67988.50104878687 23 50 38170.04152785932
65558.15759293054 37 51 35758.36198915048
65113.366511956025 38 52 34657.036575650374
65028.550026494224 38 53 35614.948070482606
63758.26178940261 39 54 32663.59786499302
63309.62390157108 39 55 32214.652344612095
61469.203185235376 39 56 29544.632905568556
56701.17792568337 54 57 24364.35976081075
56506.20115587151 58 58 24435.33007897942
54670.95459198787 58 59 22372.266086184805
53621.08776921904 63 60 21271.27942286624
50309.77692868888 64 61 17922.520281859288
49893.42223499916 78 62 17745.675362515125
49554.76975032521 105 63 17619.413197499245
48782.81821024547 105 64 15932.525446957045
47909.47615571809 118 65 15012.713431538306
47757.221643634504 159 66 16383.546951395188
47461.453022147965 187 67 16211.203538610065
47432.91044735963 187 68 16211.203538610065
44983.6372059574 188 69 12473.136185058842
44790.64716632001 370 70 12297.38469678599
43942.19688089385 385 71 11389.478874547012
43678.244536748876 471 72 11273.957265350284
43460.29836411107 487 73 11273.957265350284
43011.87764939391 502 74 10606.35909952386
42919.145014430964 563 75 10606.35909952386
42264.26231298728 580 76 9802.456240047115
42193.91305728406 929 77 9782.162204739703
41618.225855232486 955 78 9312.712260514796
41143.78810193011 1067 79 8222.364042381187
40768.089329955124 1143 80 9296.522346930942
39287.48126329966 1144 81 6661.56542883976
39177.61058505747 1255 82 6724.325722322741
39029.413083884574 1259 83 6724.325722322741
38949.19449704682 1290 84 6724.325722322745
38620.415656306286 1433 85 6317.907471941504
38282.369929490305 1609 86 6405.030701201335
37864.12050502973 1641 87 5854.457889397555
37219.0913671477 1649 88 5420.067075948283
35658.667676752884 1782 89 2804.112242325268
35223.93600573947 1800 90 2347.1552909132715
34591.79430979167 1835 91 1704.4402747067143
34368.73920171591 1865 92 1533.847086794653
34008.10161707465 1885 93 1090.3669615209255
33980.15678301148 1919 94 1090.3669615209255
33880.76580215874 2149 95 1159.5856804341347
33799.981859544445 2167 96 1049.500581552371
33437.117795166065 2264 97 617.0085957090761
33414.356465291625 2594 98 433.29608210482013
33284.35991231342 2882 99 297.52863555318413
33154.293954897046 3187 100 169.2220362921253
33100.5911396147 4167 101 169.2220362921253
