instance_name algorithm_name iter_idx best_objective running_time
L1-DU200-P20-0 local_search 6 37640.76047885527 0.094001
nb_riders nb_polygons
20 200
rider 0 = {199, 140, 152, 91, 35, 166, 169, 59, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 2036.8266062560988 2036.8266062560988 28.023635293856533 66.77226534242824 0.0 0 0.0
rider 1 = {128, 12, 15, 88, 25, 154, 157, 123, 188, 191}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
15 1614.2078988424723 1614.2078988424723 29.64441533740934 65.07464323236007 0.0 0 0.0
rider 2 = {136, 75, 78, 29, 33, 172, 108, 180, 118, 184}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
75 1864.4495695545725 1667.195677166269 30.05389995753334 63.752387919253366 0.0 0 0.0
rider 3 = {69, 146, 19, 103, 40, 105, 41, 112, 53, 187}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
69 1473.239073621073 1473.239073621073 29.66768210029277 61.04337402377325 0.0 0 0.0
rider 4 = {131, 72, 8, 20, 86, 23, 150, 148, 168, 111, 181}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
86 1663.0761258987388 1663.0761258987388 27.366896659751344 63.73338088281529 0.0 0 0.0
rider 5 = {5, 139, 79, 17, 82, 27, 92, 94, 165, 52, 183}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
5 2087.2827973056087 2087.2827973056087 28.33901031414953 65.89931654485613 0.0 0 0.0
rider 6 = {67, 132, 9, 138, 28, 30, 39, 114, 178, 51}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
114 1600.0232199730403 1450.8429601868413 26.863975703916452 62.75535015054831 0.0 0 0.0
rider 7 = {129, 193, 76, 77, 144, 22, 21, 167, 171, 109, 174, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
77 3048.6112658024304 2225.948336902308 30.679308994045158 63.45126824802609 0.0 0 0.0
rider 8 = {24, 34, 42, 182, 119, 126, 62}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
182 1143.1625104280574 1143.1625104280574 27.49271831871478 62.93326578725581 0.0 0 0.0
rider 9 = {196, 74, 151, 87, 89, 32, 44, 45, 46}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
151 1839.7326782097489 1839.7326782097489 28.046858543241317 61.25407020900434 0.0 0 0.0
rider 10 = {137, 73, 14, 80, 161, 98, 47, 49, 50, 189}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 1556.0107518121222 1556.0107518121222 27.840413600901428 63.77914894663326 0.0 0 0.0
rider 11 = {65, 4, 70, 135, 7, 18, 153, 93, 36, 115, 55}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
115 1889.1231704494146 1889.1231704494146 27.448922508227387 65.6093310551221 0.0 0 0.0
rider 12 = {130, 3, 142, 85, 159, 101, 104, 175, 173, 120, 190}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
130 1845.6779040347928 1845.6779040347928 28.478791677367447 63.10390112893227 0.0 0 0.0
rider 13 = {195, 197, 149, 26, 163, 102, 54, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
197 1445.383587529127 1445.383587529127 29.078304359349236 61.996787200313726 0.0 0 0.0
rider 14 = {11, 158, 31, 97, 99, 164, 170, 113, 179, 56}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
170 1661.6644242086836 1661.6644242086836 28.675638558975244 66.82708027205291 0.0 0 0.0
rider 15 = {64, 6, 81, 83, 38, 110, 48, 116, 185, 124, 61}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
110 1738.3614960591797 1616.1360022188544 26.890930469862326 66.68147465390258 0.0 0 0.0
rider 16 = {192, 194, 133, 198, 10, 141, 90, 156, 162, 107}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
141 4023.2213815268333 1953.9419181133183 31.92592552855855 61.02810698558201 0.0 0 0.0
rider 17 = {134, 143, 145, 147, 84, 95, 100, 106, 63}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
145 1365.8113966754174 1365.8113966754174 28.03319930686481 63.007300143875135 0.0 0 0.0
rider 18 = {0, 66, 68, 71, 16, 155, 96, 160, 37, 176, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
68 1964.0650215582714 1964.0650215582714 27.215315218714004 66.20466230061056 0.0 0 0.0
rider 19 = {1, 2, 13, 57, 43, 177, 117, 121, 186, 60}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
57 1780.8295991095838 1699.8514721527617 26.93217783674583 66.54949227213172 0.0 0 0.0
obj time iter vio 
198884.67397865045 0 0 176740.81784408266
196769.83366803188 0 1 174311.73708964136
195147.57869785774 0 2 174258.87578820795
194471.43934912147 0 3 173377.1635588081
193709.09187426383 0 4 172881.058347149
189912.15855286358 0 5 165255.05288491768
189370.63368362398 0 6 165255.0528849177
181285.65512692317 0 7 153835.01797934895
169276.71828140537 0 8 141676.66740083086
167452.75343790458 0 9 142240.481678549
164035.97286900858 0 10 142143.65403576999
159634.82067361192 0 11 140848.43587039557
158152.94247916507 0 12 141101.1274473014
156318.51857687536 1 13 136963.94934044397
153054.56254548422 1 14 132570.36669537172
141484.40223996644 1 15 119571.93758996666
138583.65142922284 1 16 113928.23637195754
135566.0949590978 1 17 110403.15857157229
133265.07688474216 1 18 105811.51346052666
131784.69495673044 1 19 104778.31432687813
131690.08055583184 1 20 104778.3143268781
130589.84075539836 1 21 102703.81242336408
129654.6283924723 1 22 102703.81242336408
127318.37692892636 1 23 102291.52188181496
124959.55192503217 2 24 99422.93304233284
122146.51645615441 2 25 94800.60708105002
121680.68297233868 2 26 94504.04410099801
120374.96493351828 2 27 94053.31085010158
116864.14524166197 2 28 96574.15869558792
116253.46988358542 3 29 96026.94667991438
113824.69183312818 3 30 91850.9985063236
112632.85748657786 3 31 89315.84001674275
111480.53563137446 3 32 92461.00884619943
107529.28528681835 3 33 97302.4560162999
106360.42616187649 3 34 94597.48530581157
94447.0021410986 4 35 82324.25403812861
93286.971687375 4 36 78783.6995924143
92603.31011707753 4 37 76487.21136245574
91672.25571186017 4 38 75349.4479826284
91178.41262239545 4 39 73068.11881349489
90887.62262906901 4 40 73436.15997695025
90584.64245627582 4 41 73266.22941889237
86944.98784104093 5 42 59293.71136631531
86610.12879161283 5 43 58663.71644586283
86468.6809927689 5 44 59321.548064498835
86347.44003160085 5 45 60180.73672850429
85999.6920530136 5 46 59886.70055240203
85420.06947158108 5 47 58882.97694986647
79939.62951161119 5 48 52480.87773308459
79403.10345239921 5 49 56166.57937334361
78216.86095802941 6 50 53645.97800590896
77677.87781936537 6 51 53225.09756581624
77532.66559693574 6 52 53038.07369218387
74186.36428187338 7 53 44792.07874252905
72337.8384089124 7 54 43042.3065564469
71509.29150972048 21 55 42246.31291650232
69180.8728154982 22 56 37546.75213398082
67253.34527424154 22 57 35702.89047648351
67136.66334300996 22 58 35702.89047648352
65427.20159034514 24 59 30276.183895578113
63295.24299664986 25 60 28198.434133965682
61807.92301392992 25 61 26615.922747117147
61666.441038386874 27 62 26737.58661985767
61553.44303359213 27 63 26578.17832437842
60256.18461965366 27 64 26421.704907134546
60007.603242335164 28 65 32337.610763774886
59227.8961346848 28 66 31109.740291707134
57934.47096097309 54 67 29424.46733270291
56173.856077144024 70 68 26717.86386978501
55698.2268384261 87 69 26104.826933384917
55202.37434412432 87 70 25568.799071097914
54778.27884723211 102 71 28209.558723302245
53928.485619347426 105 72 28578.623208133442
53545.82126721816 106 73 24216.560179006043
53532.757163544484 114 74 28129.999842591158
52726.40744206323 114 75 27485.9317075794
52090.87306962336 114 76 26819.339782435414
50929.070965472005 172 77 24371.7304820949
49997.122697343126 201 78 23319.588024460096
48808.99048951004 202 79 19087.077891367488
48567.260409550014 202 80 18797.834748046607
47437.63216264018 203 81 13797.37672230128
45914.74554130323 219 82 14093.897744020196
43691.52252818307 219 83 10433.707264432252
43551.908770906964 264 84 10433.707264432256
43066.15804033622 300 85 10304.532105452568
42958.68596258965 339 86 10304.532105452565
42469.80265856839 426 87 8596.209156179653
42329.6140275844 441 88 8753.118497995494
41908.32659349329 498 89 8387.238481582883
41589.02375954244 504 90 8242.28573633391
41505.98446621987 534 91 7885.220299815957
40373.56666559398 619 92 6072.458392994728
39541.569970360266 664 93 5318.556749737221
39130.20917434901 696 94 5074.753464832322
38782.854549986136 755 95 4516.637855352011
38626.33911823521 959 96 4296.922529427332
38501.95613725835 1067 97 4296.922529427332
38370.47995995692 1892 98 4311.731262586689
37985.82711602471 1904 99 3782.005634416797
37921.50470815257 2741 100 3500.5673350734933
37839.16309081299 3045 101 3500.5673350734896
37679.50485221662 3397 102 3351.3870752872945
37640.76047885527 3754 103 3441.580165285288
