instance_name algorithm_name iter_idx best_objective running_time
L1-DU30-P3-0 local_search 2 3165.0449393963036 0.817121
nb_riders nb_polygons
3 30
rider 0 = {14, 10, 20, 4, 23, 24, 6, 19}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
20 887.0602850152286 887.0602850152286 25.038854294702126 64.49787707347016 0.0 0 0.0
rider 1 = {8, 18, 2, 12, 5, 16, 17, 3, 21, 26, 25, 0}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
16 1375.2097164994175 1375.2097164994175 26.224067600516683 63.89370631717011 0.0 0 0.0
rider 2 = {7, 27, 9, 13, 11, 15, 22, 1, 28, 29}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 902.7749378816576 902.7749378816576 27.250870394122632 67.7070436654365 0.0 0 0.0
obj time iter vio 
10915.252305158203 0 0 5462.885150866051
7364.743861822215 0 1 2641.128663266124
6919.552382767382 0 2 2222.608213454839
4919.7532271522105 0 3 36.79395467889734
4771.268026119076 0 4 0
4653.292902532998 0 5 0
4506.8168652668355 0 6 0
4231.255504295847 1 7 0
4132.262644743309 1 8 0
3866.0024361903897 1 9 0
3840.326453957162 1 10 0
3832.6975188057745 1 11 0
3688.492287417948 1 12 0
3489.4416095259103 2 13 0
3465.7804784561504 2 14 0
3465.78047845615 2 16 0
3355.4425226472267 13 71 0
3319.8788621261065 13 72 0
3245.380923270908 13 73 0
3231.991508608356 13 74 0
3231.9915086083556 15 80 0
3225.610141453197 58 324 0
3165.0449393963036 58 325 0
