instance_name algorithm_name iter_idx best_objective running_time
L1-DU30-P3-0 local_search 15 3165.0449393963036 0.996815
nb_riders nb_polygons
3 30
rider 0 = {8, 18, 2, 12, 21, 5, 17, 3, 26, 16, 25, 0}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
16 1375.2097164994175 1375.2097164994175 26.224067600516683 63.89370631717011 0.0 0 0.0
rider 1 = {14, 10, 20, 4, 23, 24, 6, 19}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
20 887.0602850152286 887.0602850152286 25.038854294702126 64.49787707347015 0.0 0 0.0
rider 2 = {7, 27, 9, 11, 13, 15, 22, 1, 28, 29}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 902.7749378816576 902.7749378816576 27.250870394122632 67.7070436654365 0.0 0 0.0
obj time iter vio 
8560.215944914911 0 0 3619.462066175591
7316.6187580408905 0 1 2556.119850876063
7297.052945574687 0 2 2231.7500246552704
6258.470435626719 0 3 1159.7261842057528
5642.9076768536515 0 4 583.102076502618
5323.108889587206 0 5 476.66596641740557
5264.940229092734 0 6 476.66596641740557
5188.506241565551 0 7 492.86030516432123
5064.674984543122 0 8 204.27539365676182
4901.888954574514 0 9 16.19433874691567
4921.112778169297 1 10 0
4906.794049487953 1 11 0
4830.417601222209 1 12 0
4768.570423080465 1 13 0
4699.749229999266 1 14 0
4687.314230151362 2 15 0
4661.080126743062 2 16 0
4644.361237977156 2 17 0
4422.2368363628575 2 18 0
4365.951993990114 2 19 0
3953.3729418599387 2 20 0
3698.585480214524 2 21 0
3576.038592521867 3 22 0
3483.9596980108013 3 23 0
3483.959698010801 3 24 0
3474.1019950073 21 108 0
3468.4584511057856 21 109 0
3367.364595810232 21 110 0
3302.0505895588985 42 225 0
3165.0449393963036 92 493 0
