instance_name algorithm_name iter_idx best_objective running_time
L1-DU500-P10-0 local_search 0 91820.80051127911 0.063557
nb_riders nb_polygons
10 500
rider 0 = {264, 266, 24, 284, 291, 44, 301, 308, 77, 334, 339, 346, 348, 356, 360, 362, 107, 112, 115, 119, 376, 121, 375, 377, 126, 387, 389, 399, 147, 149, 406, 409, 411, 156, 164, 171, 428, 178, 434, 438, 191, 446, 451, 189, 464, 211, 218, 475, 484, 237, 253}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
376 9339.577326326907 9339.577326326907 141.40518939962456 330.441921560621 0.0 0.0
rider 1 = {0, 2, 5, 269, 273, 275, 276, 26, 289, 292, 293, 305, 51, 55, 318, 66, 326, 328, 75, 332, 331, 336, 89, 357, 125, 383, 138, 396, 397, 145, 148, 407, 155, 158, 160, 431, 437, 186, 448, 195, 196, 456, 199, 465, 467, 213, 471, 217, 481, 232, 490, 491, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
2 9822.629898417788 9822.629898417788 140.25015378076205 349.5137232048572 0.0 0.0
rider 2 = {262, 263, 277, 290, 37, 296, 312, 315, 61, 63, 71, 329, 335, 78, 338, 87, 88, 343, 349, 97, 102, 359, 363, 109, 116, 388, 402, 410, 412, 414, 419, 426, 427, 175, 176, 179, 439, 184, 441, 200, 206, 209, 479, 228, 486, 487, 489, 234, 235, 240, 498, 499, 251}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
228 9678.471963734686 9678.471963734686 138.4476333330705 330.09770666529647 0.0 0.0
rider 3 = {258, 7, 265, 12, 270, 31, 32, 288, 35, 306, 59, 317, 325, 72, 330, 74, 93, 352, 99, 100, 114, 372, 381, 129, 141, 398, 151, 154, 416, 161, 177, 440, 187, 452, 201, 463, 470, 215, 220, 477, 222, 225, 226, 227, 483, 229, 488, 493, 250}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
381 8834.29285589191 8834.29285589191 136.4493550630426 319.3808867469814 0.0 0.0
rider 4 = {1, 8, 14, 16, 21, 27, 29, 280, 36, 45, 300, 304, 48, 50, 43, 47, 309, 56, 58, 319, 322, 83, 86, 101, 358, 105, 366, 113, 110, 374, 118, 378, 379, 382, 135, 137, 140, 166, 425, 430, 181, 38, 454, 202, 203, 295, 462, 223, 224, 238}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
50 9317.426812475125 9317.426812475125 133.45951686180973 323.14390374747586 0.0 0.0
rider 5 = {257, 261, 271, 18, 279, 39, 299, 49, 52, 57, 313, 60, 64, 68, 70, 333, 79, 96, 95, 108, 111, 373, 117, 123, 385, 136, 393, 392, 404, 162, 421, 168, 174, 445, 197, 461, 207, 208, 466, 216, 474, 221, 233, 495, 241, 244, 246, 247}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
233 8836.23317626455 8836.23317626455 132.08327578296777 317.88543414960355 0.0 0.0
rider 6 = {256, 4, 17, 19, 281, 40, 297, 42, 46, 53, 80, 342, 344, 345, 351, 353, 98, 354, 103, 104, 127, 130, 133, 390, 394, 139, 144, 146, 150, 408, 413, 159, 418, 422, 169, 173, 432, 435, 182, 183, 188, 190, 447, 449, 453, 457, 210, 219, 476, 230, 236, 494, 497, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
342 10043.632449563422 10043.632449563422 138.07039884759033 349.05651140915114 0.0 0.0
rider 7 = {259, 3, 10, 267, 11, 13, 20, 278, 23, 285, 34, 41, 298, 67, 323, 324, 73, 76, 337, 84, 90, 92, 361, 106, 364, 365, 371, 128, 386, 131, 132, 134, 143, 153, 170, 185, 442, 193, 455, 459, 204, 212, 469, 473, 480, 482, 239, 242}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
67 8384.64593734199 8384.64593734199 133.04978969182906 334.10155702988754 0.0 0.0
rider 8 = {260, 6, 15, 25, 283, 28, 287, 33, 303, 307, 310, 54, 62, 320, 81, 341, 85, 347, 91, 94, 355, 368, 369, 370, 122, 380, 384, 391, 142, 157, 415, 417, 165, 167, 429, 433, 436, 450, 194, 198, 458, 205, 472, 231, 492, 496, 248, 249}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
380 8295.738658527143 8295.738658527143 138.64666610164753 346.51524264772934 0.0 0.0
rider 9 = {9, 268, 272, 274, 22, 282, 30, 286, 294, 302, 311, 314, 316, 65, 321, 69, 327, 82, 340, 350, 367, 120, 124, 395, 400, 401, 403, 405, 152, 163, 420, 423, 424, 172, 180, 443, 444, 192, 460, 468, 214, 478, 485, 243, 245, 255}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
272 9268.151432735578 9268.151432735578 137.91302776949846 334.3895180680641 0.0 0.0
obj time iter vio 
201404.1180266234 0 0 90432.84392874723
196864.3829494221 0 1 90876.54307033369
188204.61906571814 0 2 79824.33568670077
166851.16372173285 0 3 68730.88629627175
157802.10317726922 0 4 62641.48146920031
157701.66813336802 0 5 62347.23942367145
155701.717888141 1 6 61621.104902427134
143866.29998101344 1 7 49968.86764697818
136143.00169747538 1 8 48672.85521523693
130354.21830608665 1 9 42641.41301595457
125975.84364663732 1 10 38307.870915704065
122326.46753379052 1 11 34661.86155826934
120767.30263541445 2 12 36632.51014575589
120044.53654827486 48 13 36555.48082373561
119894.8969933247 48 14 36555.48082373561
113698.96995274835 51 15 30268.492593502386
113587.61532725244 58 16 26788.92661295268
113253.01878425675 59 17 26595.228207851924
111613.83544930778 60 18 26125.508683494696
111427.1480529812 60 19 17236.473074527035
111261.18259716338 63 20 17141.529853040804
109790.72367700173 64 21 15601.013665520022
108866.26880672941 64 22 14588.406422554366
105648.21100947994 65 23 11440.013008800332
104142.92802210261 66 24 9823.134799440535
103080.84496081353 66 25 8068.593694495553
100004.18073986104 67 26 5175.642581633832
99984.36234159506 67 27 5175.642581633832
99907.24447472693 67 28 5136.393940414198
98847.40251538917 68 29 4050.5884961349407
98326.86574224039 68 30 3568.757692591854
98322.174341237 71 31 3518.3864601751884
98042.62919411229 71 32 3237.883649323264
96120.75131816184 72 33 1307.3161467519922
96091.41580988019 72 34 1307.3161467519922
96043.06945137428 73 35 1307.3161467519922
95177.88246446378 137 36 426.4882321435408
95162.33925267145 137 37 426.4882321435408
95101.89897132397 640 38 409.47475484372296
95067.54993598428 702 39 409.4747548437798
94949.62982450741 827 40 375.63139245822083
94895.26203119336 829 41 375.63139245822083
94567.85527136573 829 42 0
94529.73605164017 830 43 0
94405.03536428881 957 44 0
94390.85942448556 957 45 0
94369.2447991214 1020 46 0
94346.03444944587 1020 47 0
94302.62804778057 1083 48 0
94289.28336918919 1083 49 0
94268.82192700943 1144 50 0
94227.02620811356 1145 51 0
94204.53094984785 1145 52 0
94165.06782146625 1207 53 0
94047.6415150028 1207 54 0
93974.68844047988 1208 55 0
93968.8134902318 1271 56 0
93890.61064656804 1334 57 0
93855.56758523334 1336 58 0
93757.59428674038 1337 59 0
93741.54508492947 1517 60 0
93741.4407122512 1518 61 0
93670.43162623903 1519 62 0
93666.89371354098 1520 63 0
93665.8035751436 1640 64 0
93582.73346857609 1641 65 0
93582.29089325509 1642 66 0
93544.99105022918 1760 67 0
93509.70204310506 1761 68 0
93502.84476367976 1762 69 0
93469.65884708274 1762 70 0
93433.9458749922 1945 71 0
93398.23402906176 1946 72 0
93372.57485586396 2071 73 0
93345.2161144542 2135 74 0
93257.29540862757 2198 75 0
93227.22847197755 2199 76 0
93221.12651898927 2201 77 0
93160.80899634455 2265 78 0
93108.03477834669 2267 79 0
93086.17692950595 2268 80 0
93075.2745158342 2333 81 0
93029.38836951932 2458 82 0
93015.4000524106 2458 83 0
93015.09918826584 2459 84 0
93013.4882812636 2523 85 0
93004.56785535892 2524 86 0
92944.83357406802 2524 87 0
92930.56549995458 2591 88 0
92875.21728238823 2592 89 0
92859.6600645915 2725 90 0
92763.17337393538 2726 91 0
92741.95004054587 2728 92 0
92682.81441680301 2797 93 0
92641.52456340243 2801 94 0
92546.00454219326 2803 95 0
92476.21685546398 2874 96 0
92409.70807342621 3078 97 0
92369.00717675197 3151 98 0
92337.72703992689 3153 99 0
92304.70877916542 3153 100 0
92290.06618318341 3154 101 0
92282.44744946614 3421 102 0
92214.6952503698 3421 103 0
92113.74658894668 3421 104 0
92071.38925436097 3496 105 0
92026.45442414968 3496 106 0
91991.96095453847 3497 107 0
91987.12050971748 3497 108 0
91953.70412668244 3498 109 0
91856.35858927465 3499 110 0
91832.50628783589 3501 111 0
91820.97054346844 3572 112 0
91820.80051127911 3708 113 0
