instance_name algorithm_name iter_idx best_objective running_time
L1-DU500-P10-0 local_search 9 76052.66118510626 0.79256
nb_riders nb_polygons
10 500
rider 0 = {258, 271, 277, 284, 289, 298, 299, 301, 52, 308, 58, 60, 68, 73, 330, 81, 344, 89, 103, 108, 379, 381, 382, 385, 386, 132, 133, 397, 398, 400, 406, 151, 159, 161, 422, 170, 434, 440, 185, 197, 200, 203, 206, 464, 213, 220, 221, 476, 239, 247}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
52 7629.534275810553 7629.534275810553 130.6637778797135 326.1969982929234 0.0 0.0
rider 1 = {262, 265, 14, 269, 278, 283, 30, 41, 53, 316, 319, 320, 84, 87, 88, 347, 101, 105, 373, 375, 377, 384, 390, 141, 146, 405, 412, 158, 426, 173, 174, 429, 441, 450, 196, 199, 201, 463, 466, 211, 473, 479, 484, 232, 488, 234, 237, 499, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
278 7954.625929905077 7954.625929905077 131.66824567651153 331.7323891541338 0.0 0.0
rider 2 = {260, 15, 23, 286, 290, 35, 44, 55, 69, 76, 78, 343, 345, 351, 96, 352, 355, 100, 99, 360, 104, 366, 367, 112, 115, 120, 121, 380, 127, 129, 143, 148, 409, 157, 416, 162, 163, 167, 423, 168, 425, 179, 438, 447, 198, 455, 218, 478, 223, 224, 225, 491}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
198 6986.62031835467 6986.62031835467 139.93055068487416 335.5806600847042 0.0 0.0
rider 3 = {261, 11, 282, 291, 36, 292, 300, 45, 304, 306, 311, 56, 325, 326, 334, 335, 98, 359, 109, 113, 370, 376, 389, 134, 391, 402, 404, 153, 414, 160, 430, 431, 435, 437, 182, 439, 186, 190, 446, 448, 195, 452, 453, 456, 202, 461, 209, 212, 215, 231, 235, 493, 494, 241, 242, 248}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
209 7987.392785746137 7987.392785746137 143.2853732425569 339.3038208919879 0.0 0.0
rider 4 = {10, 268, 279, 293, 50, 310, 57, 61, 64, 321, 66, 322, 324, 327, 75, 336, 80, 338, 93, 349, 95, 358, 363, 365, 114, 371, 374, 125, 393, 136, 399, 144, 147, 411, 418, 166, 191, 192, 193, 194, 459, 468, 216, 222, 480, 482, 228, 496, 497, 246, 250}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
64 8476.088526918555 8476.088526918555 132.03708255906804 341.6814389867489 0.0 0.0
rider 5 = {2, 7, 273, 274, 20, 21, 22, 24, 28, 29, 288, 297, 46, 47, 48, 318, 337, 85, 346, 91, 362, 107, 368, 372, 123, 396, 403, 152, 155, 408, 413, 417, 419, 165, 171, 177, 436, 188, 189, 204, 207, 472, 483, 230, 240, 498, 244, 251}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
7 8197.413937775078 8197.413937775078 140.03223125762614 338.09626254748576 0.0 0.0
rider 6 = {0, 1, 257, 264, 8, 16, 26, 27, 287, 33, 305, 49, 309, 313, 315, 59, 63, 77, 333, 339, 353, 354, 118, 378, 124, 126, 128, 388, 392, 138, 395, 140, 142, 415, 420, 164, 175, 432, 176, 180, 187, 454, 457, 465, 467, 471, 474, 229, 486, 233, 495}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
26 6377.327781706805 6377.327781706805 142.14346454409915 343.64380481627217 0.0 0.0
rider 7 = {256, 6, 9, 12, 13, 272, 32, 37, 38, 43, 302, 307, 312, 317, 62, 65, 70, 328, 72, 74, 340, 86, 348, 350, 94, 92, 102, 361, 106, 364, 116, 122, 383, 135, 137, 154, 172, 433, 451, 458, 214, 217, 481, 226, 492, 236, 245, 249, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
348 8020.768809965113 8020.768809965113 139.79419825705705 336.22963024607293 0.0 0.0
rider 8 = {4, 259, 3, 263, 266, 270, 17, 19, 276, 18, 280, 281, 31, 39, 40, 296, 42, 303, 67, 323, 329, 331, 332, 79, 83, 341, 90, 356, 110, 117, 387, 131, 139, 150, 156, 421, 424, 427, 428, 181, 442, 460, 462, 210, 470, 219, 227, 487}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
67 8158.230796027071 8158.230796027071 139.88780900144394 317.1356818076426 0.0 0.0
rider 9 = {5, 267, 275, 25, 285, 34, 294, 295, 51, 54, 314, 71, 82, 342, 97, 357, 111, 369, 119, 130, 394, 401, 145, 149, 407, 410, 169, 178, 183, 184, 443, 444, 445, 449, 205, 208, 469, 475, 477, 485, 489, 490, 238, 243, 253, 255}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
443 6264.658022897197 6264.658022897197 130.3322735288922 324.9257184016958 0.0 0.0
obj time iter vio 
158405.48346396477 0 0 47143.83098259898
157415.82580542268 0 1 46810.665253349274
148378.75106810636 0 2 40812.89123889758
148376.14286810247 0 3 40812.89123889758
143411.95274762306 2 4 40812.89123889758
139136.9574996926 3 5 40718.69416345942
137794.91326422355 3 6 39352.3272217563
137781.81980633305 3 7 39352.3272217563
133432.78363748096 3 8 34970.282363117476
132998.5373420352 3 9 34512.73045638862
132889.67425385126 4 10 34512.73045638862
132874.59683411435 4 11 34512.73045638862
132870.8189750342 4 12 34512.73045638862
132820.81317148526 4 13 34512.73045638862
132777.63921656524 4 14 34512.73045638862
132776.650259524 5 15 34512.73045638862
132681.1161591471 5 16 34512.73045638862
132573.97210349797 5 17 34512.73045638862
132530.72438799025 5 18 34515.493050546
132510.18678674143 6 19 34512.73045638862
132482.15371813966 8 20 34512.73045638862
132477.7387658044 8 21 34512.73045638862
132476.9160766799 8 22 34512.73045638862
125171.06098130354 8 23 31758.58607101481
121429.3216168357 8 24 28058.079129320682
121427.14279638695 9 25 28058.079129320682
119140.7267971332 9 26 25689.979269665753
118946.45249812934 9 27 25513.691753788178
118805.53371301963 9 28 25361.116148312532
118798.63066149615 9 29 25361.116148312532
116354.18141956069 10 30 24222.397365790053
116342.0629344795 10 31 24222.397365790053
108005.67739063635 10 32 14671.012578754522
107999.7529665682 11 33 14671.012578754522
107868.74808396387 11 34 14454.897257864794
107864.1310834423 11 35 14454.897257864794
107595.4348252679 12 36 14027.546630280372
103008.0024105974 12 37 9385.339235647112
102962.80525385613 12 38 9385.339235647112
102922.48878574088 13 39 9385.339235647112
102862.45474253407 14 40 9385.339235647112
100532.56059154747 15 41 7033.766745037784
100391.8602021351 15 42 7033.766745037784
100365.18904887752 15 43 7033.766745037784
100284.49773450378 16 44 7033.766745037784
100281.64795890004 16 45 7033.766745037784
100005.56334196815 16 46 6761.083352204146
96729.30017155134 16 47 3357.0448455848878
96328.18317978365 41 48 3057.66608423572
96260.51229289336 41 49 3057.66608423572
93650.15287852658 41 50 434.83766021934935
93610.10301210989 41 51 434.83766021934935
93607.08675132641 42 52 434.83766021934935
93544.71306866672 66 53 434.83766021934935
93424.06252138285 67 54 434.83766021934935
93411.15940537999 67 55 434.83766021934935
93382.43085936888 91 56 434.83766021934935
93301.39996580489 116 57 434.83766021934935
93274.28054617875 116 58 434.83766021934935
93262.62372581281 117 59 434.83766021934935
93261.88354381053 117 60 434.83766021934935
93261.40839764007 117 61 434.83766021934935
93171.0246929121 117 62 434.83766021934935
93109.52708152571 118 63 434.83766021934935
93066.33452212925 118 64 298.62145869085134
93037.08778256136 118 65 256.17244298171295
92814.56127069563 166 66 0
92764.45814786358 190 67 0
92758.48506862683 215 68 0
92756.75811829731 215 69 0
92751.31384519089 215 70 0
92746.76523767333 215 71 0
92709.14455089063 216 72 0
92614.74713881947 216 73 0
92600.77558781313 266 74 0
92552.78960044817 266 75 0
92531.69438460526 266 76 0
92484.36334350535 291 77 0
92455.22781749319 293 78 0
92443.96581437312 293 79 0
92394.0533817445 294 80 0
92371.2945440233 294 81 0
92368.05708748465 295 82 0
92343.81522640583 295 83 0
92342.02950025917 296 84 0
92341.34891201979 297 85 0
92330.01327574921 297 86 0
92320.6662188241 297 87 0
92320.4232784317 346 88 0
92222.93834311904 346 89 0
92220.3557872632 346 90 0
92184.0482790369 346 91 0
92183.00327979738 371 92 0
92172.83942937826 371 93 0
92169.51393823998 371 94 0
92056.20479390213 417 95 0
92000.1556970722 417 96 0
91940.8854180467 417 97 0
91929.97865111998 462 98 0
91899.50005687904 462 99 0
91881.34405079983 486 100 0
91880.63022139094 486 101 0
91879.76416753093 510 102 0
91833.23858225063 510 103 0
91830.98208029791 557 104 0
91767.2660363392 557 105 0
91722.24716558232 627 106 0
91677.00481934547 628 107 0
91588.63406227328 628 108 0
91575.08054552527 628 109 0
91478.25067399352 628 110 0
91445.3131434843 628 111 0
91441.44324631107 629 112 0
91368.84181026166 650 113 0
91289.31091691095 651 114 0
91200.29923113181 651 115 0
91170.77401465092 672 116 0
91147.78536948944 673 117 0
91136.01022635536 694 118 0
91088.42614479753 716 119 0
91076.87972249341 716 120 0
91050.99923368765 761 121 0
91036.39305949662 762 122 0
90967.6449912278 807 123 0
90938.75050123857 808 124 0
90916.64448191112 808 125 0
90879.4327468028 808 126 0
90825.06022651821 831 127 0
90794.3287132192 831 128 0
90792.35501162724 875 129 0
90782.63384574238 875 130 0
90773.58643186462 876 131 0
90755.27674206962 876 132 0
90706.08033457534 877 133 0
90696.3937543711 878 134 0
90694.87337489966 878 135 0
90658.82674004002 878 136 0
90647.8695769059 878 137 0
90646.08548172649 879 138 0
90604.737146752 879 139 0
90585.30561822797 880 140 0
90553.82612184598 880 141 0
90492.58747806062 881 142 0
90395.78750930933 906 143 0
90361.6988951783 907 144 0
90357.40949319382 932 145 0
90310.70877952395 933 146 0
90236.37138451434 933 147 0
90221.84136479489 958 148 0
90151.62640566722 1006 149 0
90135.77052257521 1054 150 0
90088.99227237138 1101 151 0
89971.84933888246 1102 152 0
89964.1612347138 1102 153 0
89961.83935060674 1127 154 0
89959.90599225197 1127 155 0
89953.98115802277 1128 156 0
89838.60574930711 1128 157 0
89826.6983083461 1200 158 0
89778.38976764325 1201 159 0
89762.17406687514 1225 160 0
89728.84492478204 1226 161 0
89718.57030794077 1227 162 0
89701.94833824754 1276 163 0
89630.61857755421 1277 164 0
89588.93433378078 1278 165 0
89588.27352129498 1279 166 0
89546.17747065244 1280 167 0
