instance_name algorithm_name iter_idx best_objective running_time
DU200-P20-0 local_search 0 36009.27105637819 0.046205
nb_riders nb_polygons
20 200
rider 0 = {192, 2, 69, 143, 146, 91, 92, 32, 51}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
69 1601.7519907669655 1601.7519907669655 24.27770892019429 65.81439652072936 0.0 0.0
rider 1 = {134, 71, 148, 40, 48, 180, 117, 119, 184, 189, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
40 1978.753086145124 1978.753086145124 25.4279610181341 61.49767350878583 0.0 0.0
rider 2 = {74, 142, 150, 155, 28, 29, 168, 105, 106, 47, 187}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
168 2349.9518168840873 2349.9518168840873 25.98921762829255 63.4036828009779 0.0 0.0
rider 3 = {128, 73, 34, 98, 163, 39, 50, 179, 185, 60, 63}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
63 2115.0770406443676 2115.0770406443676 25.9325761612215 60.91795048208946 0.0 0.0
rider 4 = {194, 130, 83, 89, 158, 36, 43, 173, 111, 176}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
158 1688.5828955283318 1688.5828955283318 24.7661265425659 64.63615436912653 0.0 0.0
rider 5 = {17, 147, 149, 85, 95, 161, 37, 42, 109, 55}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
42 2077.843349296174 2046.282443507255 23.776775924255915 65.33988157030355 0.0 0.0
rider 6 = {66, 198, 137, 15, 21, 87, 31, 162, 100, 178, 54, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
100 2350.6733733139113 2350.6733733139113 25.067088880066994 64.85129630034224 0.0 0.0
rider 7 = {64, 140, 81, 151, 25, 103, 104, 170, 172}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
25 1853.0889356757648 1853.0889356757648 26.04942065541872 62.73971720857352 0.0 0.0
rider 8 = {193, 132, 12, 141, 80, 16, 88, 156, 93, 121, 186}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
80 1503.5394957052808 1503.5394957052808 25.495570348052887 61.641384199697335 0.0 0.0
rider 9 = {0, 65, 1, 133, 70, 153, 99, 171, 46, 181, 57}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
0 2415.325429802102 2415.325429802102 24.309813448526754 66.80387726143402 0.0 0.0
rider 10 = {9, 139, 24, 154, 101, 102, 114, 116, 123, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
101 1339.4517430060143 1339.4517430060143 24.494232365045416 66.46680339633996 0.0 0.0
rider 11 = {68, 136, 8, 10, 75, 77, 157, 160, 44, 118, 182}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
44 2083.6570063159465 2083.6570063159465 25.163231553536658 65.64671564256783 0.0 0.0
rider 12 = {195, 196, 7, 72, 78, 177, 115, 53, 120, 62}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
72 1660.9971089741769 1660.9971089741769 24.506592308627955 66.98356328579311 0.0 0.0
rider 13 = {144, 18, 94, 110, 49, 112, 61, 191}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
110 1942.9374937512644 1235.9376508081866 24.325477156926773 59.97860854938599 0.0 0.0
rider 14 = {131, 79, 27, 164, 167, 175, 113, 59, 190}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
190 2129.993921621821 2129.993921621821 24.835534821497955 62.57437245035585 0.0 0.0
rider 15 = {129, 11, 13, 145, 20, 22, 90, 188, 56}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
129 888.873241364918 888.873241364918 25.401782931526498 65.17133327335131 0.0 0.0
rider 16 = {67, 199, 76, 96, 33, 38, 169, 45, 174, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
76 1653.3874904718512 1653.3874904718512 25.935551936187718 64.81377033912632 0.0 0.0
rider 17 = {3, 135, 82, 84, 86, 26, 159, 97, 166, 183}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
84 1192.7310392039365 1138.5089385403276 23.754114729381225 65.39012003283052 0.0 0.0
rider 18 = {4, 5, 6, 138, 14, 19, 108, 52, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
5 1588.6908932461017 1292.3131276800018 26.27663703097042 60.389230626762966 0.0 0.0
rider 19 = {197, 23, 152, 30, 35, 165, 41, 107, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
165 1593.9637046600426 1593.9637046600426 25.44272942998736 62.531223809407344 0.0 0.0
obj time iter vio 
148881.21320952804 0 0 126579.71672991471
146259.97095591816 0 1 125261.16804349527
143054.3246565051 0 2 124829.9774369899
140370.48438466486 0 3 126804.92977966834
136242.90055072596 0 4 126726.28618698168
135081.9685952349 0 5 126726.28618698168
132716.59960262827 0 6 124217.91347751586
131165.08185137418 0 7 124277.54292670374
128388.28380517488 0 8 116420.55345244415
127738.34260778528 0 9 115817.04409364641
125684.54169414147 0 10 106901.29453910129
118931.35204686486 0 11 100097.02524239662
118593.07455021376 0 12 99839.4175189529
117281.43879423907 1 13 99397.36555228654
116495.8906393153 1 14 94041.2658560413
114428.45288229521 1 15 98707.74972199115
112526.23242437674 2 16 93317.22174033994
112032.34867409468 2 17 94524.62641877402
110361.08052885524 2 18 98851.82235648885
109375.2735482416 2 19 97977.57063388677
107090.87515352675 2 20 96232.24830115878
106083.96547859134 2 21 95205.72969694102
105896.29966165296 2 22 95131.6069942832
102446.14699275256 2 23 90545.83933541103
100448.31327723216 2 24 81599.47887645327
98682.05746039531 2 25 79661.68368677818
97315.51727534433 2 26 77479.93115066187
94879.50649008181 3 27 75047.60627005404
94224.45648842001 3 28 73147.21185579726
92601.39877817396 3 29 69892.47440522329
92239.23145392285 3 30 72610.47174498206
91942.93400645028 19 31 69950.90946504693
91922.72841014326 19 32 69950.90946504695
83051.09831820348 19 33 62055.983092459064
81988.08516552461 20 34 59436.649760502034
81823.55121869531 20 35 59490.30143721842
81638.0959639741 20 36 59290.6894698974
81308.60391802613 20 37 57908.5569895369
80414.8158831303 21 38 55385.66828503366
78768.91314216144 21 39 51644.92617120651
75783.87395099585 21 40 44836.70803983741
74565.6094459759 21 41 43797.44792398792
74563.65922106458 25 42 43797.44792398792
73061.87216643145 26 43 42225.35563754229
72486.77980506571 26 44 41768.66642587049
72480.59664074477 42 45 41760.930517803004
70967.66392588573 42 46 40636.899583776125
70790.05156750533 43 47 39070.95196287876
70626.77245167595 58 48 39070.951962878775
69811.880207742 90 49 38255.95044175068
69626.87163454252 90 50 38236.53294563298
65385.49629237393 90 51 33927.53441403684
64045.351490583686 91 52 32656.88315073488
62761.00073421779 92 53 28351.378318321214
62760.350487336815 93 54 28320.410944888114
62567.10972433138 126 55 28006.773804930435
62161.312619004464 126 56 27793.621243506994
61480.65713180917 136 57 27250.030013310537
61419.29967870647 136 58 27116.22608757884
60350.141283799865 136 59 26202.690568086116
60144.23154328727 136 60 25898.356015260364
57690.458572809046 136 61 21759.822486769834
56377.27891693915 137 62 20582.69077736605
56276.42272644731 153 63 20472.61034965002
55773.21947060357 172 64 20057.12088602495
52935.76780519448 177 65 18725.744588326816
52480.342559209865 177 66 18106.074044956953
51973.79236605826 271 67 21521.782647018223
51747.95118632911 333 68 21229.402632935078
51017.89181043565 349 69 21240.200362377844
50661.26822384744 380 70 17486.26839438644
50636.249678135995 380 71 17486.26839438644
50514.83992228234 381 72 17196.547795525268
49669.727763205934 386 73 16201.82346158106
49625.41410707098 402 74 16201.823461581074
49394.49329055428 421 75 14877.540921315436
46970.94486877494 421 76 13876.387456996737
46934.122184058404 452 77 13851.55057918615
46663.61954821665 453 78 12977.83640043805
45863.75659820831 469 79 12501.275845850128
45755.78871050722 503 80 12285.28128027968
45747.244053725306 526 81 11042.245404193607
45212.25769345233 527 82 11744.947477084017
44916.21781040301 577 83 9000.43303779186
44730.499156032405 578 84 9092.169575084534
43869.49634393605 675 85 7870.005179703787
43553.998328850765 676 86 8727.889318458605
42470.74125247883 759 87 6535.771451986507
42300.238170652876 807 88 6283.432373749197
41393.24613242995 841 89 5395.699997372703
41173.94416149466 842 90 6173.85186223606
41096.76305367403 875 91 4822.543766117362
40996.79264240883 990 92 4828.483673717702
40818.95609761075 1079 93 4680.505898342382
40718.91700134241 1192 94 4970.226497203572
40221.37803594546 1575 95 4620.396709397082
39747.8757167405 1608 96 4330.676110535894
39657.035337590656 1817 97 4568.330335309187
38915.02955684031 1914 98 3766.840514276679
38780.04499090929 2011 99 3400.031934935877
38691.37548239865 2061 100 3400.0319349358733
38447.57791803718 2095 101 3388.9689785546734
38177.60695974016 2099 102 3388.9689785546734
37919.660671433434 2184 103 3224.2935532071306
37538.18860132668 2286 104 2934.2327136548474
37475.47231618874 2307 105 2826.090814860642
36838.23002545848 2504 106 2360.0199112956057
36709.326700662765 2702 107 2068.5689675653166
36330.7871320093 2738 108 1676.285452543369
36228.883281446855 2889 109 1402.7695325936904
36196.867850328505 3148 110 1402.7695325936868
36046.453069906114 3560 111 1089.1606149617057
36009.27105637819 4662 112 1089.1606149617057
