instance_name algorithm_name iter_idx best_objective running_time
DU200-P20-0 local_search 2 34103.551726196296 0.461628
nb_riders nb_polygons
20 200
rider 0 = {129, 66, 137, 10, 145, 29, 168, 173, 113, 179, 178}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
129 1481.937502161507 1481.937502161507 25.335576825306653 65.90924359360959 0.0 0.0
rider 1 = {64, 72, 75, 11, 78, 88, 27, 175, 182, 123, 60}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
27 2287.1825786151644 2287.1825786151644 24.898441430849356 66.42035322423989 0.0 0.0
rider 2 = {140, 76, 22, 24, 153, 109, 115, 61}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
22 1244.4683811270277 1244.4683811270277 24.244552652623085 64.71620460045064 0.0 0.0
rider 3 = {69, 139, 150, 23, 91, 93, 171, 185, 190}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
190 1037.3961398869747 1037.3961398869747 24.374079947283164 61.95305074377217 0.0 0.0
rider 4 = {65, 5, 74, 149, 26, 96, 37, 167, 53, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
37 1442.5119239143762 1442.5119239143762 26.204719522476434 63.647837334478375 0.0 0.0
rider 5 = {4, 134, 73, 152, 156, 159, 32, 31, 100, 108, 116}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
156 1839.0081449891372 1839.0081449891372 25.189726503820864 61.09452448355229 0.0 0.0
rider 6 = {193, 194, 142, 85, 86, 98, 34, 49, 56, 187, 188}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
86 2161.4635316761073 2161.4635316761073 23.949305328339516 65.34992728051232 0.0 0.0
rider 7 = {7, 79, 146, 94, 63, 41, 47, 119, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
7 1912.885285331572 1667.6980095600932 23.563149554273355 62.960076257888645 0.0 0.0
rider 8 = {67, 77, 28, 30, 97, 38, 39, 107, 48, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
38 1805.732266836949 1805.732266836949 25.87327354900636 62.814079463110524 0.0 0.0
rider 9 = {0, 133, 12, 13, 92, 174, 177, 121, 124, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
124 2493.979205118592 2155.9916898976817 26.652465064217832 66.86145800354754 0.0 0.0
rider 10 = {191, 132, 8, 16, 155, 45, 110, 117, 184, 59}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
132 1399.3147729987818 1399.3147729987818 26.16611410915398 61.566934471919076 0.0 0.0
rider 11 = {131, 17, 161, 35, 102, 105, 172, 111, 52, 62}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
35 1216.616649996888 1216.616649996888 24.49377156107683 62.98951106572245 0.0 0.0
rider 12 = {130, 197, 6, 136, 162, 36, 165, 43, 46}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
165 1303.3807922522235 1303.3807922522235 23.816161270794908 63.47227778487066 0.0 0.0
rider 13 = {192, 71, 14, 83, 148, 89, 99, 169, 44, 189}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
44 1671.8924395670433 1671.8924395670433 25.454937982254396 66.59200627747414 0.0 0.0
rider 14 = {2, 80, 87, 151, 154, 176, 181, 57, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
154 1452.849575877839 1452.849575877839 24.403175892295963 64.41596688546126 0.0 0.0
rider 15 = {128, 195, 198, 81, 19, 20, 114, 118, 55}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
128 2197.754790855815 2037.7640623732948 23.648346101562314 64.95420564706905 0.0 0.0
rider 16 = {9, 141, 143, 144, 25, 90, 158, 160, 103, 106, 50, 186}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
186 2043.7051328427324 2043.7051328427324 24.85187489000556 61.48361269181978 0.0 0.0
rider 17 = {1, 68, 82, 84, 21, 40, 42, 51, 54, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
42 1389.24040311148 1389.24040311148 24.933298515443358 65.41102702181615 0.0 0.0
rider 18 = {196, 70, 135, 138, 95, 33, 101, 166, 104, 180, 183}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
135 2133.6030928858095 1680.2613154185678 26.767819326464164 61.92133911703766 0.0 0.0
rider 19 = {3, 199, 15, 18, 147, 157, 163, 164, 170, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 1588.6291161502772 1495.7529019777244 26.407353763169475 63.05811967962879 0.0 0.0
obj time iter vio 
155381.8813871193 0 0 120702.30910330529
152967.38152206948 0 1 118410.33430043673
149891.51067993234 0 2 115899.08979686273
144296.3920979795 0 3 106834.9173106794
142678.35162218957 0 4 105958.5312395323
142215.74841325876 0 5 105653.78734247044
141748.92911058693 0 6 105233.38546191568
140540.94393668787 0 7 104744.18239494257
137565.4238916755 0 8 108883.52183663465
136896.548799765 0 9 108680.46818321601
136608.00145488 0 10 106999.88301832309
130490.71905131449 0 11 100728.26210531023
127656.76889325798 0 12 98104.9718687361
127482.89983146587 0 13 98104.97186873607
116348.45926298572 0 14 87176.3107264453
112545.50653479062 0 15 84076.4871406186
110839.06491535914 0 16 80200.2716506089
108346.52180774037 1 17 78380.73248227249
107392.63892754859 1 18 77768.47330332713
105938.52119160169 2 19 81485.26902099457
104270.24386329064 2 20 83964.1230505312
102535.40311978539 2 21 79240.53506095262
100943.40851069918 2 22 77806.79632735474
94593.66583541996 2 23 72102.0315474068
90511.80472411569 3 24 69399.06984512939
80227.05064209725 3 25 53952.066873009404
79663.74281506731 3 26 53676.43870276482
78239.46849404852 3 27 52451.31845053351
75354.26632309744 3 28 45464.52200232445
75205.36039736081 4 29 45718.49787061389
73746.09874336905 4 30 46812.85121099517
73036.27444964022 4 31 43067.362868654694
68392.45043290516 4 32 42458.42957106124
66245.79532400705 4 33 36770.78281415918
62362.4211156047 4 34 33782.776783285524
59999.27127405896 4 35 30447.3089989163
59894.88667702849 5 36 27927.969897531417
58160.69767494626 21 37 26387.579807965732
56916.58095592183 25 38 24182.980726505324
55878.82355045508 25 39 23058.29381752121
54006.763091857254 26 40 23106.119964982976
53882.97312308999 45 41 23020.434187884777
52660.39558921131 46 42 23322.119964927355
50975.4530002783 46 43 21276.051207017754
49816.42543887658 95 44 19175.445555562612
49799.79995686012 112 45 19024.40319119643
48980.78622934407 128 46 18144.449354710905
48832.33226395112 145 47 18044.208465373995
48750.56556802558 162 48 17567.299728813006
48150.92010603859 162 49 15877.591817012064
47948.58261946354 169 50 16191.403288667692
47238.4397719397 185 51 15671.373548154
46585.80085629277 225 52 13677.767288238696
46474.02924190358 241 53 13621.96494621941
45269.529891185244 242 54 11841.86379415125
44137.8809399709 261 55 10543.784253428315
44133.28386549128 309 56 10543.784253428319
43985.540815750945 341 57 10543.784253428319
43840.71066080222 342 58 10383.793524945799
42475.58101885328 342 59 8258.570851425151
42422.96102788827 343 60 8203.947491373583
42218.146548724064 343 61 7845.7198794223295
41803.97787758341 344 62 7264.660425293518
41713.65545266826 350 63 7081.931448228901
41194.38414314193 380 64 6912.064788027308
41150.69216505803 381 65 6919.889228777385
40862.04734417827 439 66 8582.470041268249
40453.64425418288 530 67 8167.438765858954
38491.9581219295 575 68 4797.542241994502
38435.10925333942 666 69 4346.294984410202
37533.068068113105 791 70 3533.2039430898512
37015.73797218175 884 71 2892.721346313965
36817.576476971255 1057 72 2826.479159902812
36783.092816473705 1180 73 2826.479159902812
36740.54391424404 1358 74 3327.780036301333
36564.97689148295 1406 75 3047.776752894455
36390.223475649 1454 76 2921.2657188060634
36160.07886845486 1535 77 2536.6807783641807
35751.2646391956 1552 78 2035.2104721862374
35529.36350593977 1841 79 2011.3551937570878
35398.96414122108 1941 80 2011.3551937570912
35379.76618955741 1948 81 2179.0840027373924
35364.204983212934 2131 82 2179.084002737389
35253.24093370384 2164 83 1967.5917368746154
35159.44055714662 2198 84 1967.5917368746188
35120.55205239775 2279 85 1913.2818685978577
35103.3621149991 2455 86 1913.2818685978611
34911.7547971178 2716 87 1611.6575482821067
34732.43417512189 2975 88 1611.657548282103
34729.35781169242 3163 89 1541.8124253685794
34648.18861652505 3260 90 1626.9505590433544
34547.4245819386 3474 91 1626.9505590433544
34103.551726196296 3701 92 1289.3835111147032
