instance_name algorithm_name iter_idx best_objective running_time
DU200-P20-0 local_search 4 36913.084086602896 0.373236
nb_riders nb_polygons
20 200
rider 0 = {15, 146, 29, 31, 176, 49, 117, 59, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
176 1405.8816689914795 1405.8816689914795 26.1204226944158 65.77437267302263 0.0 0.0
rider 1 = {68, 140, 84, 34, 162, 100, 108, 45, 177, 52, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
100 2087.2636564458767 2087.2636564458767 25.209589668067217 63.40428996092648 0.0 0.0
rider 2 = {196, 69, 199, 72, 155, 35, 36, 38, 43, 185, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
196 1862.1350720606274 1862.1350720606274 25.175028060912528 64.31628614048009 0.0 0.0
rider 3 = {67, 137, 83, 147, 149, 26, 160, 104, 114, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
83 1799.4600015975102 1799.4600015975102 24.89998611238638 61.16996111790165 0.0 0.0
rider 4 = {193, 5, 20, 87, 166, 109, 188, 191}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
87 1249.0969001685403 1249.0969001685403 23.811631294281952 61.03044626910156 0.0 0.0
rider 5 = {10, 74, 78, 88, 157, 39, 47, 122, 61}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
39 1721.5507732898343 1721.5507732898343 24.860628144385295 64.29037256851839 0.0 0.0
rider 6 = {2, 66, 132, 134, 80, 150, 25, 32, 163, 167, 116, 57}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
25 1805.7933998715605 1805.7933998715605 25.28294875562184 63.98692689427213 0.0 0.0
rider 7 = {0, 4, 3, 9, 154, 93, 161, 165, 42, 54}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
42 1550.7466752496107 1550.7466752496107 24.191838842865145 64.50553949678792 0.0 0.0
rider 8 = {131, 136, 11, 145, 82, 102, 113, 60, 190}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
190 2829.8321576605003 1826.4473659398332 22.804952038324167 62.01949588146391 0.0 0.0
rider 9 = {197, 198, 8, 17, 24, 98, 170, 110, 48, 187}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
24 2203.6725112967656 2168.547048774555 23.998949693677893 67.10869263299118 0.0 0.0
rider 10 = {1, 65, 23, 90, 33, 101, 103, 111, 53, 119}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
1 1896.6617944618201 1896.6617944618201 25.86643708992984 65.46832971615659 0.0 0.0
rider 11 = {13, 89, 27, 30, 37, 172, 50, 179, 55, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
37 1843.0741299300716 1843.0741299300716 25.694441950997224 63.10548704835256 0.0 0.0
rider 12 = {64, 19, 159, 158, 184, 168, 40, 173, 118, 182, 58}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
159 1708.756814541819 1708.756814541819 24.877670665361364 66.77912926453163 0.0 0.0
rider 13 = {71, 6, 76, 21, 171, 44, 115, 180, 121, 63}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
44 1431.8071702734387 1431.8071702734387 26.259132639419125 62.266099630630556 0.0 0.0
rider 14 = {192, 7, 138, 79, 151, 97, 106, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
7 1531.6003680705794 1531.6003680705794 25.05205970095975 61.39113382517927 0.0 0.0
rider 15 = {195, 135, 75, 142, 18, 152, 96, 174, 183, 56}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
135 1811.2993686463387 1811.2993686463387 25.62287946036477 63.29849899881621 0.0 0.0
rider 16 = {128, 130, 12, 139, 77, 85, 28, 164, 105, 62, 181}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
130 2170.1903424698817 2170.1903424698817 25.930453939103117 65.50207806563552 0.0 0.0
rider 17 = {70, 141, 14, 144, 148, 22, 156, 95, 175, 178, 51, 186}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
156 2193.731227986971 2193.731227986971 24.628061125769918 61.3787856863443 0.0 0.0
rider 18 = {73, 143, 86, 153, 91, 94, 99, 169, 46, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
86 2263.279238865305 2263.279238865305 24.574138372349545 65.77604963194901 0.0 0.0
rider 19 = {129, 194, 133, 16, 81, 92, 41, 107, 189}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
16 1547.2508147243673 1494.8348224965841 26.366893541224705 65.01978012491942 0.0 0.0
obj time iter vio 
124996.80839810685 0 0 105409.81074884941
123615.27626671485 0 1 103400.02900153029
122190.65641304993 0 2 103018.97700155694
121522.03492157292 0 3 102976.85204884717
119834.67968541465 0 4 102137.52750117742
117961.86831733835 1 5 96973.98310448865
114608.0471741808 1 6 97794.03469481056
113125.6910769766 1 7 96692.11078588096
111981.88507907555 1 8 98203.18126531751
99413.86198744352 1 9 81983.57431345248
98761.09510829486 1 10 75598.66787059937
98206.13146082248 1 11 76159.27227988526
95622.35030594427 1 12 73482.1031820903
94287.47539437097 1 13 70921.38617073449
93824.04208775374 1 14 70265.6115506588
89859.67265424432 2 15 65094.432760216354
89454.79354082418 2 16 67453.74418259814
87664.72784959368 3 17 62147.375915226745
87026.26537349107 3 18 61748.37341821489
86711.31811370346 3 19 61507.98280937137
85142.72579124756 4 20 59043.22829832873
82364.3879581974 4 21 56293.114427859735
80295.19723104643 4 22 51138.37409118546
79328.24814941552 4 23 52283.28379158599
78988.96963971536 21 24 51944.0201887061
78527.83959226315 21 25 51706.78002615399
77281.84542050293 23 26 51168.85552357387
74500.19413903174 23 27 44980.57669888225
73957.82788461058 23 28 44300.08907623734
72869.67517714802 41 29 42683.54520183625
70822.84382713206 75 30 40643.891164378845
70597.20304798507 75 31 40292.82953171
69877.53447849011 75 32 43033.92287601106
68484.94229942888 75 33 33569.11313092215
67148.02891180437 76 34 32318.186185469596
62946.22252732153 76 35 25023.265842896417
62484.60906087706 76 36 24469.933143135688
61861.204343678015 95 37 23863.71544084104
61347.40709712193 97 38 23551.592906803427
61293.45915246362 156 39 26920.89308647052
60310.17066195676 174 40 25331.823551589525
60116.39708352171 174 41 25331.823551589525
59769.670042349775 192 42 25229.618140729905
59333.397642955795 210 43 24833.619899278765
58889.98241030487 226 44 25849.284974899292
58297.8694000989 260 45 23867.945425736725
57167.64666796378 277 46 19412.94878005217
56870.63987307289 305 47 20756.027863231182
56182.54821380529 356 48 25380.90315339552
55977.706397819646 356 49 27624.031222665257
55902.62228088658 356 50 27624.03122266527
55325.647336341164 410 51 25740.148363006225
53683.830336794 428 52 21494.320100234225
52958.273558333865 499 53 20988.93524009945
52520.076247161196 557 54 20574.40541347634
52232.66934804694 593 55 16298.783849838645
51350.249768978676 595 56 15833.275062152494
50905.33833666396 636 57 15415.107820550198
49830.46087251476 636 58 14234.733497058183
49591.64325038344 669 59 13544.294864965494
49392.89193887291 709 60 13421.62565497878
48174.88035702151 728 61 13488.000201188112
47975.776248317765 746 62 10545.063279962287
46806.3559787794 785 63 9422.449411658317
46663.69370352556 823 64 10385.782614709675
46609.081367669845 823 65 10360.228236272556
46086.590086717944 946 66 9888.007766271647
46067.571598974944 948 67 9850.491104941539
44860.029905826 980 68 8665.114410611546
44463.76861991035 981 69 8189.079668317694
44049.96641124859 982 70 7847.592395161046
43583.77484536621 1086 71 7944.8936110643435
43545.638386482075 1489 72 7944.8936110643435
43368.948155866434 1656 73 7937.613829219502
41590.14502642302 2029 74 4395.080121587926
41564.31363882516 2110 75 4406.1503647099535
40433.6771832661 2328 76 3686.9946452346744
40221.08582848054 2385 77 3722.596928932114
39970.79776068358 2585 78 3722.596928932118
38725.81648933548 2647 79 2430.917378198576
38546.93329508778 2771 80 2170.8685224455567
37882.33708218936 2789 81 1417.8412198725534
37748.473833823424 2792 82 1200.1904504591423
37638.43319426013 2939 83 1300.6211488535687
37464.65951165515 3330 84 1082.9703794401576
37366.56381812336 3416 85 1096.2593504017584
37123.28885676085 3590 86 1090.9262464706608
36913.084086602896 3615 87 1090.9262464706608
