instance_name algorithm_name iter_idx best_objective running_time
DU200-P4-0 local_search 2 19264.13918164109 0.951739
nb_riders nb_polygons
4 200
rider 0 = {2, 5, 7, 9, 10, 15, 16, 23, 26, 35, 36, 44, 52, 53, 54, 66, 68, 76, 83, 88, 89, 90, 101, 102, 104, 105, 112, 128, 133, 135, 139, 140, 141, 146, 147, 150, 151, 153, 156, 158, 161, 169, 180, 182, 183, 186, 187, 188, 195, 196, 197}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
53 5100.0078101674635 5100.0078101674635 134.73560980373858 322.6558189227039 0.0 0.0
rider 1 = {4, 6, 13, 19, 21, 22, 34, 37, 38, 41, 46, 50, 55, 58, 59, 62, 64, 67, 81, 85, 87, 91, 92, 96, 98, 99, 100, 107, 109, 110, 111, 118, 120, 124, 129, 142, 143, 145, 148, 152, 157, 162, 163, 165, 166, 174, 177, 179, 190, 193, 198}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
96 4836.049609083728 4836.049609083728 124.40680708875337 304.4947563709501 0.0 0.0
rider 2 = {0, 3, 11, 14, 17, 24, 27, 31, 32, 33, 39, 43, 45, 48, 49, 51, 56, 61, 63, 70, 72, 74, 77, 79, 86, 93, 97, 103, 108, 116, 121, 123, 126, 130, 132, 137, 138, 149, 159, 160, 167, 170, 171, 175, 176, 189, 191, 192, 194, 199}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
176 3951.983107371928 3951.983107371928 133.40574251585247 327.7298676568164 0.0 0.0
rider 3 = {1, 8, 12, 18, 20, 28, 30, 29, 25, 40, 42, 47, 57, 60, 65, 75, 69, 78, 73, 80, 82, 84, 94, 95, 71, 106, 114, 115, 113, 117, 119, 122, 125, 127, 131, 134, 136, 144, 155, 154, 164, 168, 172, 173, 178, 185, 184, 181}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 5376.098655017971 5376.098655017971 122.9419159915667 307.4719014869431 0.0 0.0
obj time iter vio 
96787.28709344048 0 0 54054.684548024146
88722.27863040785 0 1 47207.940427128706
87542.86258738433 0 2 42221.668936820526
85203.78876684766 0 3 39680.67082105089
80807.19238407444 0 4 35269.15986915683
78507.06968287734 0 5 33068.44111015327
77671.30113638667 0 6 32339.86485715767
62657.90539318099 0 7 23724.206830029096
56637.515416822454 0 8 17611.495239207165
55956.082023146446 0 9 16989.331623048904
52860.003926878184 0 10 13843.288290793686
51694.34383413411 0 11 12810.501448475043
49802.335743422576 1 12 10868.528121776562
49381.4341233579 1 13 10436.049431364821
49361.912754902376 1 14 10436.049431364821
49291.937324740786 1 15 10436.049431364821
49203.54448644156 1 16 10436.049431364821
47857.486384719115 2 17 9065.666184746156
47852.50778133408 2 18 9065.666184746156
47090.088524852945 2 19 8129.240826387523
47058.052220567595 2 20 8129.240826387523
46704.80488564846 2 21 9531.264281805405
46525.304522513004 2 22 7432.2501110117255
46494.21679605619 2 23 7432.2501110117255
46491.67431907101 2 24 7432.2501110117255
46372.29473639111 2 25 7432.2501110117255
46366.00546675344 2 26 7432.2501110117255
46308.47964880675 2 27 7432.2501110117255
44415.47588687019 2 28 7839.6999109850185
43880.87974729476 2 29 6611.388924538915
43855.34784814617 2 30 6611.388924538915
42955.86517179207 3 31 3997.1575365462045
40909.33720193689 3 32 1948.342942491614
38919.89292282748 4 33 0
38893.37832351608 6 34 0
38887.85661854212 6 35 0
38763.815752651586 6 36 0
38696.86556649023 8 37 0
38694.78806924539 9 38 0
38661.4504631688 9 39 0
38603.78455580841 9 40 0
38509.55451124672 10 41 0
38475.86395134078 11 42 0
38449.02099201715 12 43 0
38446.89975580274 12 44 0
38375.72832929882 12 45 0
38263.63120878862 12 46 0
38159.39083951655 12 47 0
38069.07137940645 12 48 0
38046.60354585797 12 49 0
37959.63422542152 12 50 0
37861.621952927504 15 51 0
37813.30982354378 15 52 0
37781.68178995291 15 53 0
37760.13927943771 16 54 0
37745.80846139661 16 55 0
37742.01400890242 16 56 0
37644.00173640842 16 57 0
37603.13038809867 17 58 0
37570.91982993566 17 59 0
37551.98970638192 17 60 0
37509.69433798704 18 61 0
37490.40947360198 18 62 0
37363.815885486256 18 63 0
37335.254107757086 18 64 0
37334.74010231253 18 65 0
37309.64959039581 18 66 0
37253.35787177614 18 67 0
37140.33097554097 20 68 0
37120.008720363316 20 69 0
37096.52507313588 21 70 0
37027.746674358394 22 71 0
37004.00726432469 22 72 0
36975.2085763202 23 73 0
36965.07827949264 25 74 0
36822.40868768089 25 75 0
36812.00204898197 25 76 0
36721.57805064468 25 77 0
36589.612584647824 27 78 0
36545.86512932859 28 79 0
36528.20729065253 28 80 0
36514.64132282649 29 81 0
36489.858131331726 29 82 0
36483.76893583848 30 83 0
36469.81165139687 30 84 0
36469.208536667014 32 85 0
36406.42101876243 32 86 0
36383.20828933394 33 87 0
36371.050298218615 33 88 0
36349.53463458213 33 89 0
36217.372563982775 33 90 0
36211.61271173421 34 91 0
36143.72384462108 34 92 0
36109.780563002685 35 93 0
35907.19125731978 35 94 0
35894.9726906535 36 95 0
35894.96578110386 37 96 0
35819.82344045071 37 97 0
35693.46405745635 37 98 0
35666.56167852133 38 99 0
35553.381194558606 38 100 0
35395.08322712578 39 101 0
35202.52927764688 39 102 0
35170.901244056 39 103 0
35092.08656880718 39 104 0
35007.28410470715 40 105 0
34920.70269350514 40 106 0
34918.69119016014 40 107 0
34890.74254655141 40 108 0
34830.235167966064 40 109 0
34800.20979544246 40 110 0
34780.36792741952 40 111 0
34742.40066182887 40 112 0
34661.267429127685 40 113 0
34456.52235298449 40 114 0
34399.007843919935 40 115 0
34398.33425398119 41 116 0
34362.39398473226 41 117 0
34264.74268108107 41 118 0
34215.70707299502 41 119 0
34206.25912282041 41 120 0
34185.258811354404 41 121 0
34138.599889959034 41 122 0
34137.018764116365 42 123 0
33996.00488133627 42 124 0
33990.43639885264 43 125 0
33909.88962149268 43 126 0
33679.846313166345 43 127 0
33626.14895902212 43 128 0
33615.18375070369 43 129 0
