instance_name algorithm_name iter_idx best_objective running_time
DU200-P4-0 local_search 4 19557.020142077967 0.04287
nb_riders nb_polygons
4 200
rider 0 = {4, 6, 13, 19, 22, 23, 34, 35, 38, 41, 46, 58, 59, 62, 64, 67, 68, 76, 81, 85, 87, 88, 91, 92, 96, 98, 99, 100, 107, 109, 110, 111, 118, 120, 124, 129, 142, 143, 145, 152, 162, 165, 166, 174, 177, 179, 182, 187, 188, 190, 193, 198}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
100 5296.878883473194 5296.878883473194 128.17538179762204 302.64913895538405 0.0 0.0
rider 1 = {0, 3, 8, 14, 17, 20, 24, 27, 31, 32, 33, 39, 42, 43, 45, 47, 48, 49, 51, 61, 69, 70, 74, 77, 79, 93, 94, 97, 103, 108, 116, 123, 126, 130, 132, 137, 138, 149, 159, 160, 167, 171, 175, 176, 178, 184, 191, 192, 194, 199}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
194 3948.808043434237 3948.808043434237 131.56510709213825 330.9889337049801 0.0 0.0
rider 2 = {1, 12, 18, 21, 25, 28, 29, 30, 37, 40, 50, 55, 57, 60, 65, 71, 73, 75, 78, 80, 82, 84, 95, 106, 113, 114, 115, 117, 119, 122, 125, 127, 131, 134, 136, 144, 148, 154, 155, 157, 163, 164, 168, 172, 173, 181, 185}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
82 5335.478741074146 5335.478741074146 123.04668069882722 304.3930082911529 0.0 0.0
rider 3 = {2, 5, 7, 9, 10, 11, 15, 16, 26, 36, 44, 52, 53, 54, 56, 63, 66, 72, 83, 90, 89, 86, 101, 102, 104, 105, 112, 121, 128, 133, 135, 141, 140, 139, 146, 147, 151, 150, 153, 156, 158, 161, 169, 170, 180, 183, 189, 186, 196, 197, 195}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
90 4975.854474096391 4975.854474096391 132.7029058113236 324.3212634858965 0.0 0.0
obj time iter vio 
47388.49507288437 0 0 4344.267784572331
47344.00647722099 0 1 4344.267784572331
44593.89644875351 0 2 3456.1108851389336
41725.393548073465 0 3 2440.7722182266625
41657.91390988928 0 4 2341.7100344880596
41611.380329972315 0 5 2341.7100344880596
39270.27700449902 0 6 0
39239.99218388196 0 7 0
39224.69446713016 1 8 0
39180.903189992394 1 9 0
39147.27412265375 1 10 0
39115.31539557273 1 11 0
39085.424255666774 2 12 0
39081.13102857098 2 13 0
39015.83165118894 2 14 0
38968.45961282301 2 15 0
38949.43185956661 3 16 0
38905.98232773012 3 17 0
38887.95876705888 4 18 0
38820.45728271325 4 19 0
38792.76707787626 6 20 0
38770.60740420735 6 21 0
38641.74050889609 6 22 0
38568.7733310669 6 23 0
38513.19034514683 6 24 0
38350.30082484289 6 25 0
38338.74639672341 7 26 0
38336.31625562724 7 27 0
38328.75103502945 8 28 0
38321.841143012425 8 29 0
38225.42270576766 9 30 0
38213.0585396353 9 31 0
38147.104456243804 9 32 0
38025.42290634017 9 33 0
37893.792761721335 9 34 0
37843.46381262131 10 35 0
37817.56574762071 10 36 0
37801.785833253205 10 37 0
37781.8372000646 11 38 0
37745.49534231037 12 39 0
37661.78462799318 12 40 0
37559.0008072989 12 41 0
37366.064981243544 12 42 0
37302.81781137683 12 43 0
37301.18042063979 12 44 0
37284.086072143946 12 45 0
37276.28552869831 12 46 0
37265.73838060397 13 47 0
37126.27326845048 13 48 0
37106.24190203128 13 49 0
37068.13644853515 15 50 0
37039.53869303498 15 51 0
37022.1622095308 15 52 0
36993.520592823086 15 53 0
36941.2073319443 16 54 0
36933.39906662331 17 55 0
36899.84925641096 19 56 0
36895.62320731082 19 57 0
36782.55584411247 19 58 0
36779.597032505044 20 59 0
36700.4791671082 20 60 0
36690.55335402906 21 61 0
36686.661313537246 21 62 0
36686.23965584497 22 63 0
36656.01321924042 22 64 0
36650.353166081084 22 65 0
36521.67129570143 24 66 0
36519.12969903924 24 67 0
36504.14988999495 24 68 0
36446.099654251324 25 69 0
36383.83452154804 25 70 0
36259.08069674259 25 71 0
36255.01766944669 28 72 0
36218.04734266962 28 73 0
36189.4057259619 29 74 0
36132.883757580865 29 75 0
36130.757229032795 29 76 0
35972.09673831206 29 77 0
35778.68427770256 30 78 0
35775.97976098962 30 79 0
35710.222905983705 30 80 0
35619.50912568263 30 81 0
35606.06865203173 30 82 0
35520.89800273847 30 83 0
35412.39847827655 30 84 0
35409.788779716335 31 85 0
35404.43213036106 32 86 0
35249.329883884144 33 87 0
35237.26009955286 33 88 0
35193.241300040834 33 89 0
35133.073110861646 34 90 0
35088.73752119563 34 91 0
35036.08610305143 34 92 0
34931.64734812695 34 93 0
34815.4867183474 34 94 0
34804.33729531798 35 95 0
34629.23327585251 35 96 0
34606.94790544949 36 97 0
34578.533378482825 36 98 0
34494.67808817854 36 99 0
34396.87596296353 36 100 0
34239.514715431986 37 101 0
34224.902870161386 38 102 0
34166.73366773501 38 103 0
34050.619552882294 38 104 0
34007.91206732463 38 105 0
33933.14391251951 39 106 0
33902.31746558154 40 107 0
33821.64599167527 40 108 0
33695.42336131619 40 109 0
33662.15520502135 40 110 0
33593.56763198767 40 111 0
33574.52873306048 41 112 0
33466.36169980508 41 113 0
33356.22142894755 41 114 0
33218.983391860034 41 115 0
33167.47557704135 41 116 0
33104.48342897919 41 117 0
33099.24557904682 41 118 0
33020.499126361814 42 119 0
32989.925582043245 42 120 0
32919.33516120149 42 121 0
32790.0066492366 42 122 0
32779.49695732674 42 123 0
32702.005142368995 42 124 0
32471.67181744853 42 125 0
32388.899753677775 42 126 0
32363.00971165306 43 127 0
32239.345265744094 43 128 0
32167.016576689362 43 129 0
32039.093058804337 43 130 0
31985.584879007332 43 131 0
31914.83731662162 43 132 0
31912.849278157435 43 133 0
31767.414874478476 44 134 0
31720.97980902007 44 135 0
31532.57061943317 44 136 0
31468.31457424939 44 137 0
31410.100070173517 45 138 0
31380.47620930072 45 139 0
31330.990746290947 46 140 0
31304.050733274507 46 141 0
31243.19654548813 47 142 0
31239.403603867973 48 143 0
31130.92818366753 48 144 0
31050.544181263434 48 145 0
30896.859082645748 49 146 0
30851.911425784027 49 147 0
