instance_name algorithm_name iter_idx best_objective running_time
DU200-P8-0 local_search 0 19816.485430413246 0.651727
nb_riders nb_polygons
8 200
rider 0 = {1, 129, 7, 12, 15, 17, 148, 149, 158, 37, 166, 40, 41, 46, 47, 50, 184, 187, 192, 78, 84, 85, 87, 94, 98, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
187 2259.7213103958275 2259.7213103958275 63.22948533670294 170.2752709703135 0.0 0.0
rider 1 = {3, 6, 136, 142, 143, 14, 147, 153, 28, 161, 59, 190, 191, 69, 92, 93, 95, 101, 107, 113, 116, 117, 121, 122, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
136 2454.1403079779125 2454.1403079779125 61.62194358488742 175.62825473586548 0.0 0.0
rider 2 = {134, 137, 141, 13, 23, 156, 155, 21, 31, 160, 27, 154, 38, 42, 178, 49, 56, 64, 62, 197, 77, 105, 127, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
141 2205.523096342331 2205.523096342331 62.08577551908782 161.89419123059807 0.0 0.0
rider 3 = {8, 145, 22, 24, 33, 35, 169, 43, 52, 181, 186, 63, 67, 71, 72, 73, 79, 81, 86, 102, 103, 108, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
81 1876.789618655252 1876.789618655252 64.60085083393935 165.27279703474144 0.0 0.0
rider 4 = {5, 4, 138, 140, 20, 19, 150, 18, 25, 159, 36, 164, 163, 176, 45, 172, 51, 180, 55, 188, 193, 80, 119, 97, 96, 104, 106, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
36 2728.9089362978775 2728.9089362978775 66.39674946071376 166.94308101677117 0.0 0.0
rider 5 = {135, 151, 152, 30, 34, 165, 167, 168, 171, 48, 175, 174, 179, 183, 57, 58, 189, 65, 198, 82, 89, 110, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
89 2567.859873487286 2567.859873487286 63.93166987821863 177.849795641287 0.0 0.0
rider 6 = {128, 131, 132, 133, 10, 139, 11, 157, 32, 39, 44, 173, 177, 185, 60, 61, 194, 195, 196, 66, 74, 88, 91, 100, 118, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
32 2880.309610706775 2880.309610706775 60.676500417550024 176.13960995599209 0.0 0.0
rider 7 = {0, 2, 130, 9, 16, 144, 146, 26, 29, 162, 170, 53, 54, 182, 68, 70, 199, 75, 76, 83, 90, 99, 109, 111, 114}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 2843.2326765499843 2843.2326765499843 64.7879943967869 162.33395493942334 0.0 0.0
obj time iter vio 
51069.42696505203 0 0 2995.5276427716453
47879.92661184194 11 1 2995.5276427716453
44709.00765533299 11 2 2212.88321192753
44665.131963704036 11 3 2125.3091126104478
43841.62138576879 39 4 2125.3091126104478
40644.51566836214 39 5 1634.9853809777612
40600.81726067401 39 6 1634.9853809777612
38972.28473411119 39 7 0
38953.87607464993 49 8 0
38831.11782739027 49 9 0
38771.758778416515 49 10 0
38758.561725222506 49 11 0
38667.63249694992 50 12 0
38607.9486676101 50 13 0
38427.511722353745 50 14 0
38394.6904196676 56 15 0
38142.61608911895 62 16 0
38113.304295101065 73 17 0
38088.81753192699 73 18 0
38050.459511348236 74 19 0
37910.41842414695 96 20 0
37904.384357590454 96 21 0
37849.54914991647 109 22 0
37733.0764447961 115 23 0
37729.69897046995 115 24 0
37709.88197938127 116 25 0
37606.25501994125 122 26 0
37593.12785040241 123 27 0
37561.536935859775 123 28 0
37397.545834332865 123 29 0
37390.4549836472 123 30 0
37309.30145097538 129 31 0
37238.29600046561 136 32 0
37221.17486914063 136 33 0
37202.132952483196 136 34 0
37164.57098940971 164 35 0
37114.7283527183 164 36 0
37011.28353133968 170 37 0
36922.78817747143 176 38 0
36666.33333853428 183 39 0
36634.89475675874 201 40 0
36534.56467535667 207 41 0
36534.522647200836 225 42 0
36476.73608965958 225 43 0
36448.184441618294 231 44 0
36398.74448647234 244 45 0
36305.785709067524 244 46 0
36269.09473366532 250 47 0
36187.42537642687 251 48 0
35974.72814655688 251 49 0
35877.941612531555 251 50 0
35862.4409009209 265 51 0
35862.43694084003 278 52 0
35722.931372369894 284 53 0
35674.76430680178 297 54 0
35599.62246595251 303 55 0
35516.01971063327 321 56 0
35423.35492598169 327 57 0
35411.53914352576 332 58 0
35407.58742355164 354 59 0
35402.98186331871 360 60 0
35374.88871738357 360 61 0
35362.937433144136 360 62 0
35109.21978098907 366 63 0
35090.0137216816 372 64 0
34995.44680599929 373 65 0
34952.41001119217 373 66 0
34930.14024503533 431 67 0
34867.30540214526 432 68 0
34732.47702509183 444 69 0
34586.13469332692 444 70 0
34520.31871234357 445 71 0
34519.629854486135 463 72 0
34501.47146195694 464 73 0
34468.22529890307 464 74 0
34387.51610447779 470 75 0
34313.46946521835 489 76 0
34290.26817605434 518 77 0
34220.28338038 525 78 0
34180.004592717334 586 79 0
34179.622474120435 614 80 0
34158.994397548224 625 81 0
34132.54568516933 626 82 0
34075.28948247389 626 83 0
34008.839582658795 644 84 0
33940.41020694635 650 85 0
33838.50203950615 650 86 0
33791.55829612044 651 87 0
33790.670293099894 668 88 0
33505.9042885054 674 89 0
33465.614545070384 714 90 0
33314.36706644628 714 91 0
33309.37221942283 725 92 0
33297.12048628967 726 93 0
33240.848268279326 732 94 0
33141.26417739082 738 95 0
32997.58914092544 738 96 0
32977.040774454224 739 97 0
32962.12131706254 779 98 0
32862.19497788543 785 99 0
32717.04870633367 797 100 0
32617.628055907317 809 101 0
32610.89455182716 809 102 0
32609.726211924124 821 103 0
32561.08395383027 827 104 0
32489.208765293806 833 105 0
32433.26635588743 855 106 0
32375.74499044967 861 107 0
32167.78627066385 862 108 0
32140.81210491669 863 109 0
32087.423503501057 864 110 0
32017.83032025923 876 111 0
32009.173220272285 881 112 0
31821.360026640134 889 113 0
31767.341410018722 915 114 0
31715.921870852297 935 115 0
