instance_name algorithm_name iter_idx best_objective running_time
DU200-P8-0 local_search 5 16270.755414289371 0.426087
nb_riders nb_polygons
8 200
rider 0 = {129, 131, 132, 139, 142, 15, 144, 17, 158, 161, 40, 41, 44, 173, 47, 187, 60, 61, 194, 78, 84, 87, 91, 98, 121, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
173 2157.0661251710308 2157.0661251710308 60.72297397941688 168.6467618596258 0.0 0.0
rider 1 = {134, 141, 20, 23, 25, 26, 154, 156, 160, 38, 48, 178, 180, 62, 64, 68, 197, 75, 77, 80, 99, 109, 111, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
23 2067.1627090528364 2067.1627090528364 64.34856759625492 165.52024228723553 0.0 0.0
rider 2 = {128, 2, 4, 133, 138, 140, 146, 147, 153, 157, 172, 45, 177, 51, 55, 59, 190, 66, 70, 76, 88, 92, 101, 104, 118, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
190 1825.709390702841 1825.709390702841 64.9704438890652 166.73388383829962 0.0 0.0
rider 3 = {6, 136, 11, 12, 14, 143, 16, 18, 149, 150, 29, 32, 37, 39, 170, 53, 182, 186, 195, 196, 74, 107, 113, 117, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
136 2237.8860611245946 2237.8860611245946 60.521255761532565 176.07312779679688 0.0 0.0
rider 4 = {130, 5, 9, 19, 21, 151, 27, 159, 31, 162, 163, 164, 36, 176, 49, 54, 188, 193, 199, 90, 96, 97, 100, 106, 114, 119, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
176 2327.087980969467 2327.087980969467 62.84356965107899 166.7772721180389 0.0 0.0
rider 5 = {1, 135, 8, 10, 34, 35, 167, 43, 52, 184, 57, 189, 192, 71, 72, 73, 79, 81, 82, 103, 108, 110, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
71 1559.9870631496974 1559.9870631496974 65.20746574747372 169.95367827704837 0.0 0.0
rider 6 = {0, 137, 13, 145, 24, 155, 30, 33, 165, 169, 42, 171, 179, 181, 183, 56, 58, 65, 67, 198, 86, 102, 105, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
145 2004.806774408828 2004.806774408828 66.21913313825982 172.39466221287472 0.0 0.0
rider 7 = {3, 7, 148, 22, 152, 28, 166, 168, 174, 46, 175, 50, 185, 191, 63, 69, 83, 85, 89, 93, 94, 95, 115, 116, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
3 2091.049309710078 2091.049309710078 62.497559664804754 170.23732713507232 0.0 0.0
obj time iter vio 
97335.65051968637 0 0 48086.39127240637
90835.96596879713 0 1 47229.51605411753
86633.53183999103 0 2 46300.5772462522
85615.33833721533 0 3 45343.27212509469
85518.87720967103 0 4 45343.27212509469
83779.81904821037 0 5 44306.69648931239
83319.30652587969 0 6 43910.296054604754
80399.89199653285 0 7 40760.132028321415
79863.60574117841 0 8 40379.618050562516
77385.50225974363 0 9 37920.53101222901
75078.12781852334 1 10 36632.56583978228
73047.33809764645 1 11 34419.748313013486
72077.06849339299 1 12 33699.31986507551
69813.38633206635 1 13 34278.445022383596
66844.73652628425 1 14 31411.15012733787
62701.99476747491 1 15 29406.540133123737
56562.022691298655 1 16 23277.070989068936
55993.14072585101 1 17 18722.349125293294
54655.18554282197 1 18 21388.307316886057
53670.987654093435 1 19 20569.096567190623
53580.15473853309 1 20 20569.096567190623
52912.252676180346 1 21 25883.819165960398
52434.71979325171 1 22 15393.483844424449
51972.942183596315 1 23 14999.341944266987
49571.8084228764 1 24 12598.629016096778
49474.6775047247 1 25 12562.098422825035
49340.537512376926 1 26 12649.67971403047
48245.555920159684 4 27 11670.183059313376
47589.67622992436 4 28 10891.625272486745
47069.324310964046 7 29 10101.942705066122
43595.64238842098 9 30 9991.412649201231
42894.18599480627 9 31 9304.886881969283
41690.89012759619 9 32 4650.289673275593
41633.77285468576 9 33 4406.3244777869295
41483.69222130259 9 34 4406.3244777869295
41418.55559047932 9 35 4537.478057297666
40570.54271406069 9 36 3543.153530400839
39674.257692207946 12 37 2741.5665827001035
39547.58319595238 17 38 2741.5665827001035
39493.17205888098 17 39 2741.5665827001035
38640.702440733454 19 40 1952.7784477055636
38601.66103878069 22 41 1952.7784477055636
36625.80898080094 24 42 0
36618.48456748613 25 43 0
36534.88674915086 27 44 0
36425.90510003983 40 45 0
36365.419066210314 57 46 0
36261.493751412265 60 47 0
36191.05371526372 63 48 0
36062.89510114324 63 49 0
36029.52869081692 70 50 0
35986.77091527739 84 51 0
35860.143903770855 91 52 0
35826.4115494134 100 53 0
35813.23949671351 126 54 0
35681.48218754778 128 55 0
35623.00511885084 131 56 0
35564.42028327108 134 57 0
35544.008015861895 136 58 0
35507.97860501222 145 59 0
35498.42504555786 153 60 0
35449.44055565872 153 61 0
35359.10942246301 158 62 0
35251.917699712256 161 63 0
35184.428759838214 161 64 0
35158.429603229124 166 65 0
35148.73071877188 176 66 0
35101.78454074529 176 67 0
35056.97600734399 181 68 0
35016.311242079035 188 69 0
34939.58163906245 188 70 0
34913.77777756256 198 71 0
34822.0474711425 202 72 0
34690.81994510117 205 73 0
34619.497713437544 211 74 0
34532.88330014481 211 75 0
34369.50066465971 213 76 0
34218.835276969316 216 77 0
34127.40290916074 225 78 0
34062.26808082154 239 79 0
34008.31097263299 239 80 0
33920.85491868315 239 81 0
33832.34560587047 241 82 0
33744.90842725792 250 83 0
33632.135660473294 267 84 0
33534.930394853924 267 85 0
33454.981526931515 270 86 0
33404.62150850305 270 87 0
33388.22680711051 277 88 0
33361.512918045824 278 89 0
33285.94573127346 278 90 0
33245.74500354406 283 91 0
33153.774394005326 286 92 0
33032.3962425862 291 93 0
32888.00465036211 294 94 0
32789.35068971944 296 95 0
32726.034642431478 302 96 0
32667.559163498816 307 97 0
