instance_name algorithm_name iter_idx best_objective running_time
DU200-P8-0 local_search 7 17414.22693870794 0.14239
nb_riders nb_polygons
8 200
rider 0 = {135, 8, 24, 155, 33, 169, 171, 43, 181, 183, 186, 58, 65, 67, 72, 73, 81, 86, 89, 102, 103, 108, 110, 112, 124, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
110 2302.045321941433 2302.045321941433 66.46062439325523 173.61503733167277 0.0 0.0
rider 1 = {128, 2, 4, 138, 140, 19, 26, 27, 157, 163, 170, 172, 45, 177, 51, 53, 55, 190, 70, 199, 76, 88, 96, 104, 114, 118, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
4 2187.6374138633737 2187.6374138633737 61.33112383148564 171.7039764189044 0.0 0.0
rider 2 = {132, 133, 131, 11, 12, 139, 17, 15, 149, 153, 158, 173, 182, 59, 66, 194, 74, 92, 93, 100, 107, 113, 120, 121, 122, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
122 2721.192606318472 2721.192606318472 61.528000288304646 169.14656560881542 0.0 0.0
rider 3 = {0, 3, 143, 16, 147, 146, 150, 28, 162, 161, 164, 37, 32, 39, 44, 174, 49, 50, 191, 196, 83, 84, 116, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
28 2574.0087800411375 2574.0087800411375 61.69187124680668 174.71035319390117 0.0 0.0
rider 4 = {129, 6, 7, 136, 14, 142, 144, 148, 29, 34, 166, 40, 41, 46, 185, 187, 60, 61, 195, 87, 91, 94, 95, 98, 117}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
7 2268.5212280470673 2268.5212280470673 62.46004477696648 162.761254972452 0.0 0.0
rider 5 = {1, 10, 22, 152, 35, 167, 168, 47, 175, 52, 184, 57, 189, 63, 192, 69, 71, 78, 79, 82, 85}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
35 1209.6143539105353 1209.6143539105353 61.985111031987536 161.52053662975288 0.0 0.0
rider 6 = {130, 5, 9, 18, 20, 151, 154, 31, 160, 159, 36, 38, 48, 176, 180, 54, 188, 193, 68, 90, 97, 101, 106, 109, 119, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
18 2172.473131268284 2172.473131268284 65.35954121330833 174.65686229652013 0.0 0.0
rider 7 = {134, 137, 145, 141, 13, 21, 23, 25, 156, 30, 165, 42, 179, 178, 56, 62, 64, 197, 198, 75, 77, 80, 99, 105, 111}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
134 1978.7341033176356 1978.7341033176356 66.51465264577233 168.22236907297338 0.0 0.0
obj time iter vio 
64407.095800828414 0 0 20038.45748795854
61562.149082856966 0 1 19685.807733558097
54829.872513123286 0 2 15302.77349395996
52394.34033764098 0 3 15361.222255232931
51838.742208128846 0 4 15002.67324130948
50968.915501978634 0 5 16732.71608800837
50959.62272004637 0 6 16732.716088008397
49019.88263139831 1 7 14654.779459202698
48305.833817634346 3 8 13975.57775331942
46924.06421780837 6 9 11109.103557358845
44584.04178980715 6 10 7416.271535622963
43713.8195443499 6 11 5934.57201440789
43614.48590940857 6 12 5934.57201440789
43532.60926104925 9 13 5934.572014407875
42980.974456294585 9 14 5243.26787418186
42765.57765786663 12 15 4972.311444602337
42655.505387285724 12 16 4972.311444602337
42589.629901984445 12 17 4500.505419980764
41599.4225023053 12 18 4085.1363386668554
39221.42448207816 13 19 1155.6496785870406
38315.62241763364 13 20 129.86812318098507
38159.86537471493 13 21 0
38122.3922725599 18 22 0
38038.85339248955 23 23 0
37989.73162367422 30 24 0
37977.112993563416 58 25 0
37945.74249883106 58 26 0
37918.54863216437 58 27 0
37833.03499571295 58 28 0
37715.722822567535 61 29 0
37620.94043324261 67 30 0
37572.13547003213 70 31 0
37438.07682666599 70 32 0
37421.289772731936 70 33 0
37379.223724071286 73 34 0
37335.83237957461 73 35 0
37190.98066551677 84 36 0
36934.52187744367 89 37 0
36922.84030040801 89 38 0
36918.10910459677 94 39 0
36879.206982074094 94 40 0
36781.35247051755 97 41 0
36730.92719871068 104 42 0
36728.765389482156 111 43 0
36674.44641908241 111 44 0
36671.29438251819 114 45 0
36525.80766881048 132 46 0
36507.98567280921 132 47 0
36454.09672146017 135 48 0
36444.51571487554 150 49 0
36427.24839321263 151 50 0
36313.71650475424 151 51 0
36283.79756955823 160 52 0
36258.38911210202 171 53 0
36198.87648089549 177 54 0
36173.76068079874 177 55 0
36157.6302047763 192 56 0
36018.41835911957 198 57 0
35909.237717173986 204 58 0
35846.402113089745 204 59 0
35800.92183270688 204 60 0
35799.27675306429 204 61 0
35780.161280948836 204 62 0
35773.1175941272 207 63 0
35615.853680183325 207 64 0
35609.00038335826 207 65 0
35535.18736034886 215 66 0
35493.990338201955 222 67 0
35438.43907810071 223 68 0
35416.99822679591 225 69 0
35341.83238527729 226 70 0
35325.61483107101 226 71 0
35302.54038144353 229 72 0
35013.37148313127 231 73 0
34973.506893103666 234 74 0
34906.93049381944 234 75 0
34836.41647076073 239 76 0
34836.4016402063 249 77 0
34834.72963398852 250 78 0
34733.05155277498 254 79 0
34700.422818459774 257 80 0
34587.00621498334 257 81 0
34549.44208774952 259 82 0
34546.28936344481 267 83 0
34480.10170018642 288 84 0
34406.92610416611 289 85 0
34343.568496530985 289 86 0
34283.66961226323 294 87 0
34256.540403727195 296 88 0
34232.43060727624 307 89 0
34106.79609053455 307 90 0
34057.72436578493 307 91 0
33999.68367793098 315 92 0
33898.50207709707 315 93 0
33698.8881831398 325 94 0
33653.093718559925 328 95 0
33518.53796916102 346 96 0
33439.049794874445 346 97 0
33399.61650314816 349 98 0
33327.109055902176 349 99 0
33321.57800872954 349 100 0
33223.07768413774 352 101 0
33194.66841845007 357 102 0
33146.19373974898 364 103 0
33099.7290060774 371 104 0
33069.35847911886 371 105 0
32980.335248550335 374 106 0
