instance_name algorithm_name iter_idx best_objective running_time
DU500-P4-0 local_search 2 52675.898304666516 0.62471
nb_riders nb_polygons
4 500
rider 0 = {14, 110, 105, 4, 17, 293, 245, 112, 22, 452, 226, 208, 120, 249, 228, 432, 5, 416, 408, 9, 46, 465, 453, 58, 140, 435, 18, 29, 436, 233, 30, 413, 153, 154, 0, 261, 235, 164, 288, 166, 169, 173, 414, 8, 205, 42, 190, 89, 192, 193, 242, 195, 243, 202, 203, 419, 307, 308, 265, 314, 315, 216, 470, 321, 10, 52, 459, 473, 335, 263, 255, 67, 271, 475, 342, 272, 346, 476, 348, 350, 273, 351, 353, 355, 354, 274, 421, 358, 359, 247, 362, 72, 276, 366, 372, 377, 75, 379, 381, 410, 11, 384, 387, 388, 281, 391, 392, 396, 79, 399, 402, 403, 284, 405, 499, 498, 302, 135, 339, 136, 68, 138, 162, 236, 220, 185}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
355 13744.752639409708 13744.752639409708 317.6521895414235 819.945357395619 0.0 0.0
rider 1 = {20, 411, 427, 100, 101, 424, 225, 429, 114, 116, 430, 122, 128, 129, 433, 290, 28, 434, 137, 209, 466, 231, 425, 286, 294, 232, 144, 250, 148, 437, 6, 155, 407, 439, 160, 457, 454, 440, 88, 170, 176, 7, 443, 36, 254, 456, 444, 49, 37, 91, 39, 197, 196, 252, 199, 447, 214, 43, 460, 304, 306, 41, 61, 297, 53, 311, 62, 312, 63, 92, 322, 471, 328, 324, 326, 13, 472, 329, 206, 330, 57, 333, 217, 340, 491, 343, 344, 69, 477, 70, 478, 299, 363, 277, 373, 481, 279, 378, 422, 380, 418, 382, 463, 256, 389, 492, 393, 394, 397, 486, 400, 401, 404, 490, 3, 212, 223, 497, 496, 21, 450, 310, 409, 298, 163}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
232 13842.0651122432 13842.0651122432 293.42078675469213 767.0478278566733 0.0 0.0
rider 2 = {113, 215, 493, 23, 118, 86, 227, 24, 25, 124, 125, 126, 127, 130, 132, 451, 44, 230, 139, 207, 141, 82, 142, 494, 87, 149, 1, 150, 246, 152, 156, 234, 438, 31, 157, 161, 47, 50, 165, 168, 237, 441, 238, 174, 175, 442, 177, 178, 239, 181, 213, 182, 186, 449, 455, 188, 189, 445, 194, 200, 201, 40, 244, 448, 12, 266, 316, 317, 94, 268, 257, 327, 65, 420, 464, 417, 270, 337, 461, 84, 341, 98, 95, 347, 349, 19, 356, 357, 71, 275, 480, 218, 367, 368, 369, 74, 96, 374, 278, 259, 483, 383, 386, 467, 222, 485, 296, 85, 78, 395, 16, 260, 487, 488, 204, 423, 81, 301, 495, 99, 119, 121, 331, 66, 54, 158, 93, 210, 33, 38, 97}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
234 13912.188389423143 13912.188389423143 312.4656329011448 840.8843768634645 0.0 0.0
rider 3 = {224, 289, 102, 103, 104, 428, 106, 107, 108, 109, 111, 45, 115, 117, 431, 123, 412, 229, 26, 131, 253, 133, 134, 27, 59, 489, 143, 145, 146, 147, 151, 221, 291, 159, 262, 32, 167, 251, 172, 171, 34, 35, 179, 180, 183, 240, 292, 184, 48, 187, 241, 191, 446, 198, 415, 305, 287, 468, 309, 469, 295, 313, 267, 318, 319, 320, 323, 64, 325, 458, 269, 51, 332, 334, 336, 90, 474, 345, 258, 352, 360, 426, 479, 462, 361, 55, 364, 365, 73, 370, 371, 375, 376, 482, 2, 300, 15, 248, 76, 77, 280, 484, 56, 60, 390, 219, 282, 398, 283, 80, 406, 285, 83, 303, 264, 338, 385, 211}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
56 11176.892163590464 11176.892163590464 288.12807503880674 781.529968096938 0.0 0.0
obj time iter vio 
101901.21684913531 0 0 0
98680.33556624125 0 1 0
96797.77073526509 0 2 0
96795.75812755029 1 3 0
96748.43610579509 1 4 0
96737.65782888613 2 5 0
96575.68663422701 2 6 0
96560.8715602549 3 7 0
96534.74617971333 3 8 0
96491.52488218766 3 9 0
96412.51982365857 4 10 0
96373.19981975676 12 11 0
96338.94484164781 13 12 0
96320.60879143987 14 13 0
96200.23550676614 15 14 0
96167.46982252467 16 15 0
96151.96675849377 16 16 0
96141.1884815848 17 17 0
96139.80209925125 17 18 0
96084.30333764144 26 19 0
96056.84225621357 27 20 0
96007.5187285608 36 21 0
95993.99913267946 36 22 0
95966.56722381772 37 23 0
95898.43550469182 38 24 0
95875.1588797989 39 25 0
95864.35591796675 39 26 0
95825.24803369399 40 27 0
95792.39488147057 41 28 0
95775.18311933632 49 29 0
95742.71654479974 50 30 0
95712.49947896154 51 31 0
95695.8252877864 59 32 0
95613.11973043089 59 33 0
95584.16793138011 60 34 0
95578.44609789425 60 35 0
95539.95063215445 61 36 0
95537.3616228459 62 37 0
95532.30670142546 62 38 0
95520.3922216284 62 39 0
95501.76975835783 63 40 0
95490.35296973118 63 41 0
95476.94050216927 71 42 0
95416.819128625 73 43 0
95416.1622899875 74 44 0
95358.36740320202 76 45 0
95288.76050182403 85 46 0
95285.1049456936 85 47 0
95277.35896015822 86 48 0
95173.1757768743 86 49 0
95157.46207208863 87 50 0
95149.75119877543 87 51 0
95148.6306169107 87 52 0
95129.59554402102 88 53 0
95070.74180836603 88 54 0
94968.60547389455 88 55 0
94895.20705490616 89 56 0
94891.46120804375 90 57 0
94737.412006128 90 58 0
94665.50604065383 90 59 0
94665.3923364435 91 60 0
94652.59879514278 91 61 0
94528.3654937353 92 62 0
94524.33382599932 92 63 0
94524.32812943502 93 64 0
94483.1932080032 94 65 0
94472.90302853903 94 66 0
94429.37067071421 95 67 0
94361.00007570509 95 68 0
94297.18044185945 96 69 0
94234.4332623728 96 70 0
94208.11917830262 96 71 0
94154.30389168343 97 72 0
94056.63074711041 97 73 0
94054.57167811753 98 74 0
94039.39207909006 106 75 0
94030.9864824191 106 76 0
94010.67236703071 106 77 0
93995.59447466997 107 78 0
93966.54950978475 108 79 0
93868.92264849687 108 80 0
93856.92713717317 109 81 0
93824.07398494973 109 82 0
93779.27375953263 109 83 0
93713.0085229582 110 84 0
93705.94045092716 111 85 0
93625.18603017746 121 86 0
93608.94342782816 140 87 0
93605.12401546082 141 88 0
93592.41433492245 141 89 0
93425.07883296857 142 90 0
93396.89938345621 143 91 0
93362.13215545817 144 92 0
93353.48564014916 144 93 0
93305.63917225253 145 94 0
93216.18045727757 145 95 0
93211.81029100985 147 96 0
93133.02077949229 147 97 0
93102.02096457004 147 98 0
93090.00874994385 148 99 0
93073.33144170504 148 100 0
93042.74115125988 148 101 0
93036.28532208194 149 102 0
93032.04640516423 149 103 0
93002.27847911773 158 104 0
92932.27438108287 158 105 0
92866.50733816257 158 106 0
92856.50158331856 159 107 0
92850.332327065 168 108 0
92821.37957685902 168 109 0
92817.7339387767 178 110 0
92670.75631263544 179 111 0
92588.73818543702 179 112 0
92522.23408381961 179 113 0
92484.65265043027 180 114 0
92373.65291811508 180 115 0
92347.65934561899 180 116 0
92266.90492486929 181 117 0
92233.23090505593 181 118 0
92197.54052132186 189 119 0
92189.90919763068 189 120 0
92170.80854254811 190 121 0
92057.28794228539 190 122 0
92048.52437402698 190 123 0
92001.13520105177 190 124 0
91994.55940780063 191 125 0
91926.14922987742 191 126 0
91892.88513919193 192 127 0
91890.5054557956 192 128 0
91811.76975583167 192 129 0
91810.639865478 193 130 0
91736.16921076433 193 131 0
91481.99196422446 202 132 0
91374.70000311865 211 133 0
91369.90814610908 212 134 0
91264.2768609212 212 135 0
91210.46650083576 213 136 0
91066.74330472291 214 137 0
90951.47789893541 215 138 0
90881.59851717358 216 139 0
90822.00478330516 232 140 0
90756.57561629274 233 141 0
90732.89502789974 234 142 0
90710.96787645877 234 143 0
90689.93128959149 235 144 0
90682.70983345204 236 145 0
