instance_name algorithm_name iter_idx best_objective running_time
DU200-P10-0 local_search 1 127392.83483771073 0.959244
nb_riders nb_polygons
10 200
rider 0 = {135, 133, 4, 31, 29, 161, 40, 167, 39, 171, 44, 173, 184, 187, 189, 76, 81, 88, 92, 107}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
88 12250.614320778914 2750.614320778913 51.83836220635993 138.0657943432447 0.0 19 0.0
rider 1 = {11, 13, 150, 152, 27, 169, 172, 175, 178, 181, 182, 55, 57, 59, 191, 64, 194, 66, 196, 69, 80, 97, 101, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
172 17092.390611607258 3092.390611607259 51.592507067821344 135.94732779573476 0.0 28 0.0
rider 2 = {1, 9, 17, 18, 19, 21, 36, 47, 60, 193, 65, 195, 87, 91, 95, 98, 103, 111, 121}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
195 9804.809715969566 2804.809715969566 52.27602472843828 132.64469778926144 0.0 14 0.0
rider 3 = {0, 132, 134, 8, 136, 142, 22, 23, 24, 157, 33, 165, 38, 37, 177, 186, 188, 82, 109, 110, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
157 12588.167125209293 3588.1671252092924 51.05363157505708 126.87443367649945 0.0 18 0.0
rider 4 = {129, 2, 138, 140, 146, 20, 156, 162, 34, 168, 45, 46, 68, 72, 75, 85, 90, 96, 108, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
168 13725.129908172836 3725.1299081728366 49.059283163785835 138.21885495628607 0.0 20 0.0
rider 5 = {149, 153, 25, 155, 28, 159, 32, 164, 166, 41, 170, 197, 86, 93, 94, 116, 122, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
149 13152.274626998491 2652.2746269984914 51.08355260068593 133.18658368622246 0.0 21 0.0
rider 6 = {6, 12, 154, 179, 52, 58, 61, 190, 63, 62, 198, 78, 79, 83, 102, 104, 105, 106, 119, 124, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
106 13421.733835532767 3421.7338355327656 48.33402900230982 128.69794925824246 0.0 20 0.0
rider 7 = {5, 16, 143, 151, 30, 176, 51, 50, 183, 14, 73, 74, 100, 112, 113, 114, 118, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
176 11127.269762303793 3127.269762303793 48.841149981145975 135.31243269398522 0.0 16 0.0
rider 8 = {128, 131, 7, 137, 10, 144, 145, 147, 148, 158, 163, 42, 48, 54, 56, 70, 71, 77, 99, 117}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
128 11685.802728956656 3185.802728956657 50.099757274623755 128.73559467646285 0.0 17 0.0
rider 9 = {130, 3, 139, 141, 15, 26, 160, 35, 43, 174, 49, 180, 53, 185, 192, 67, 199, 84, 89}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
130 12544.642202181161 2544.6422021811613 51.99766246506558 128.1089912017541 0.0 20 0.0
obj time iter vio 
200811.1240843502 0 0 48894.768747741735
198554.01263070633 0 1 46044.537478002705
190713.2779222594 0 2 36633.977524304995
188231.07417147208 0 3 35564.88284048563
188109.80258542704 0 4 35083.99787621034
187635.60199119567 0 5 35083.99787621034
185003.16435242965 0 6 33582.454693401574
184453.86127820346 0 7 33582.454693401574
180134.64128244776 0 8 23970.979874374232
178738.23806803252 0 9 23096.287590263553
170505.88212136188 0 10 12174.243909179231
168901.56313705933 0 11 10584.617492900341
164912.68116753869 4 12 6499.499137622939
164699.70841686148 4 13 5733.360809148997
164556.8110789376 8 14 5372.03072730717
164414.07786542777 23 15 4145.64238740568
163900.3793953132 26 16 3458.066244832141
163874.37981396762 30 17 3458.0662448321336
163166.66229522595 34 18 3282.444303110724
163059.84058370057 38 19 3222.9539086325512
162801.0478812728 46 20 3222.9539086325512
162730.42409599124 46 21 3213.357033967073
162714.71481562656 51 22 3222.9539086325512
162654.23969949613 51 23 3222.9539086325512
162492.64282170095 63 24 3064.1676378369702
160957.63159862126 63 25 1141.8240620953152
160664.6205228058 71 26 968.1166734360982
160599.622905333 75 27 968.1166734360982
160453.5511993288 79 28 1782.9257194047427
160168.00303887183 83 29 1463.591044629311
159608.3349333142 88 30 1463.591044629311
159542.36431479966 92 31 1812.5002887668452
158922.490001418 100 32 1174.2023013674263
158513.98549224762 100 33 153.29486323612508
159326.03548191773 104 34 0
158591.24423583128 108 35 0
158588.66862163314 108 36 0
157623.3237687269 140 37 0
157585.2284567158 156 38 0
157424.57282366944 167 39 0
157416.46596111744 190 40 0
157415.63620918576 226 41 0
156765.0960032003 227 42 0
156278.86483534175 227 43 0
156256.0429383534 252 44 0
155775.5251936848 318 45 0
155738.0768660686 336 46 0
155299.96324175646 338 47 0
155281.20559917283 345 48 0
154857.51219656414 352 49 0
154845.26106149083 360 50 0
154119.0168160371 360 51 0
153639.4959098294 365 52 0
153009.7631433866 373 53 0
152895.6407790772 385 54 0
152599.07398762854 389 55 0
152585.6274461916 423 56 0
152255.43360269346 431 57 0
152166.85587809313 441 58 0
151870.01503621388 460 59 0
151314.02713926745 460 60 0
151276.31668428818 471 61 0
151135.52749400437 486 62 0
150831.5769392913 497 63 0
150831.21729976128 497 64 0
150809.41197667868 512 65 0
150046.78106095848 540 66 0
149933.78420427744 577 67 0
149842.2358104867 577 68 0
149706.66687248103 591 69 0
149490.15143968276 617 70 0
149450.88246674824 617 71 0
149292.76716654975 628 72 0
149267.64532119074 628 73 0
148769.8791125314 632 74 0
148763.52981384876 650 75 0
148721.78952469095 657 76 0
148616.78282341338 672 77 0
148501.76498149039 690 78 0
148479.65947920864 736 79 0
147537.87647028064 740 80 0
147508.10406072374 741 81 0
147500.08865068358 800 82 0
147473.92823010407 811 83 0
147334.57350826636 815 84 0
146850.50924796538 815 85 0
146823.93721583387 826 86 0
146686.0929837976 830 87 0
146657.55678863416 831 88 0
146634.2974334291 852 89 0
146506.0541154896 866 90 0
146047.549557398 868 91 0
145898.39599676395 883 92 0
145811.61808506554 894 93 0
145802.79065332323 909 94 0
145715.37973268796 917 95 0
145558.07117045336 948 96 0
145370.3427734408 985 97 0
145330.0657766822 1013 98 0
145251.76633986796 1066 99 0
144794.82262320936 1066 100 0
144645.02023562693 1091 101 0
144309.48233360125 1099 102 0
143307.3246812677 1100 103 0
143217.02751200268 1100 104 0
143206.19847690166 1113 105 0
143204.75849901838 1122 106 0
143201.68412500483 1139 107 0
143167.58976017992 1170 108 0
143074.7460945349 1197 109 0
143008.65089361864 1202 110 0
142947.7488729102 1217 111 0
142927.49497949283 1218 112 0
142908.5342932974 1219 113 0
142888.19812747027 1230 114 0
142767.45855327984 1231 115 0
142749.0909472282 1232 116 0
142698.67044578784 1236 117 0
142668.77263607265 1240 118 0
142575.08852172564 1244 119 0
142536.18346038696 1256 120 0
142449.32224988265 1260 121 0
142345.70032380958 1283 122 0
142023.07375309223 1305 123 0
141995.08857012668 1309 124 0
141965.23088075608 1324 125 0
141920.9626969423 1328 126 0
141841.61597045738 1335 127 0
141805.76306637505 1347 128 0
141684.80081102607 1354 129 0
141558.70274739034 1366 130 0
141513.40323680275 1370 131 0
141493.3514066292 1374 132 0
141467.9928935299 1375 133 0
141367.46171132167 1375 134 0
141095.57125523945 1376 135 0
141047.40646532187 1376 136 0
141011.38778148443 1413 137 0
140990.58323954995 1431 138 0
140899.15744224057 1439 139 0
140851.39131811916 1454 140 0
140330.07090575315 1455 141 0
140160.85053512634 1455 142 0
140063.73929717974 1456 143 0
139787.10044368196 1460 144 0
139726.32666057476 1467 145 0
139250.2382259215 1490 146 0
138789.63594778438 1490 147 0
138683.338917413 1512 148 0
138621.89614358736 1523 149 0
138335.3747319282 1538 150 0
138281.31988221317 1543 151 0
138193.40401113644 1558 152 0
137840.65075514023 1563 153 0
137835.95129437157 1574 154 0
137728.9793537426 1579 155 0
137677.39096698584 1581 156 0
137642.22927247366 1595 157 0
137499.41126302606 1596 158 0
137453.12812286566 1601 159 0
136528.57340052506 1622 160 0
136483.0532860358 1639 161 0
136279.33610756468 1671 162 0
136047.92656176238 1677 163 0
136040.8322094313 1688 164 0
136012.79782006296 1692 165 0
136009.42194989204 1703 166 0
135663.2516226247 1711 167 0
135625.34229423065 1715 168 0
135232.16095382243 1734 169 0
135177.47109887865 1747 170 0
135164.62340484295 1766 171 0
135126.53649074977 1781 172 0
135119.76581854562 1800 173 0
135034.86574669072 1805 174 0
134818.50791671037 1880 175 0
134789.407408154 1881 176 0
134734.2326249262 1913 177 0
134721.82060109606 1921 178 0
134714.16893534304 1944 179 0
134678.83593266123 1959 180 0
134599.23012911738 1961 181 0
134591.03002861634 1998 182 0
134329.545832411 2013 183 0
134274.5085004771 2047 184 0
134188.4140270561 2062 185 0
134181.97795236876 2084 186 0
134155.34780878344 2102 187 0
134032.22373053996 2149 188 0
134026.5891865946 2173 189 0
133974.19043837304 2178 190 0
133825.58305111 2206 191 0
133346.09186038212 2229 192 0
133264.56541180302 2252 193 0
133242.89634661633 2285 194 0
133215.29982281564 2304 195 0
133157.18796516326 2305 196 0
133138.09890503797 2313 197 0
133135.91013992258 2330 198 0
133116.26600213296 2336 199 0
132942.43256126373 2345 200 0
132928.71666187912 2349 201 0
132888.09386382907 2361 202 0
132666.845848109 2386 203 0
132479.81581717826 2394 204 0
132467.51531692853 2398 205 0
132416.61958887483 2399 206 0
132308.02140036534 2403 207 0
132180.9515789713 2404 208 0
132148.53865658518 2404 209 0
132117.34352609873 2406 210 0
131866.57870389405 2410 211 0
131548.61927916273 2426 212 0
131538.07936526102 2438 213 0
131505.8624059075 2446 214 0
131501.1340403127 2447 215 0
131382.39553409332 2448 216 0
131367.07690850116 2448 217 0
131234.51009564693 2460 218 0
131199.4541462358 2476 219 0
131159.870443178 2521 220 0
131077.07301384964 2533 221 0
131071.25287753 2549 222 0
130971.67444196965 2561 223 0
130925.30663627373 2585 224 0
130846.53448238685 2586 225 0
130777.2713972025 2603 226 0
130682.68217681197 2675 227 0
130663.94453823024 2681 228 0
130618.43057136533 2682 229 0
130541.2579174019 2706 230 0
130467.20038373733 2711 231 0
130420.80140783906 2712 232 0
130400.21936187174 2728 233 0
130254.57719715867 2757 234 0
130201.72674197091 2766 235 0
130068.08922931516 2775 236 0
130032.00761115887 2818 237 0
130021.84282351319 2840 238 0
130016.36278003785 2923 239 0
129997.00133158025 2928 240 0
129969.5575313258 2953 241 0
129519.55015217657 2967 242 0
129457.19616563836 2967 243 0
129375.05568930034 2972 244 0
129344.13990684436 3008 245 0
129084.25645012931 3020 246 0
129014.63933266189 3046 247 0
128968.8869240362 3076 248 0
128911.47478642645 3120 249 0
128809.16501104677 3132 250 0
128726.06338241465 3133 251 0
128691.79912248842 3145 252 0
128677.48049567043 3174 253 0
128475.7299168742 3195 254 0
128466.40622352327 3216 255 0
128156.01004137473 3299 256 0
128046.62703138795 3442 257 0
127967.31008677889 3478 258 0
127531.5136446928 3479 259 0
127421.86072254601 3489 260 0
127392.83483771073 3636 261 0
