instance_name algorithm_name iter_idx best_objective running_time
DU200-P10-0 local_search 2 141026.0526024481 0.233536
nb_riders nb_polygons
10 200
rider 0 = {128, 129, 0, 3, 5, 6, 7, 23, 156, 30, 32, 34, 162, 163, 184, 186, 188, 75, 84, 108, 115}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
188 12599.666698037301 2599.666698037302 52.496281780118686 130.1727920346328 0.0 20 0.0
rider 1 = {2, 133, 137, 12, 143, 27, 166, 39, 171, 175, 176, 183, 185, 59, 64, 198, 72, 97, 107, 119, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
198 16161.05615004784 3661.0561500478407 51.84547343114329 135.0597565433154 0.0 25 0.0
rider 2 = {9, 151, 154, 157, 33, 44, 174, 47, 52, 70, 71, 76, 78, 79, 81, 87, 94, 98, 117, 121}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
121 13853.497404455016 3853.4974044550163 49.80658630809956 135.94116842716548 0.0 20 0.0
rider 3 = {132, 135, 136, 142, 21, 150, 22, 25, 165, 193, 195, 68, 199, 82, 91, 92, 109, 118, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
91 15697.977206370017 3197.9772063700166 52.752893016533406 132.4746545517372 0.0 25 0.0
rider 4 = {138, 140, 141, 17, 18, 20, 28, 158, 41, 45, 46, 182, 57, 65, 196, 77, 111, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
111 13075.184244542868 3575.1842445428683 48.79405688131285 126.10453132288391 0.0 19 0.0
rider 5 = {134, 147, 152, 26, 160, 161, 38, 167, 168, 49, 55, 60, 189, 192, 194, 197, 73, 93, 95, 120, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
60 17854.856124168236 3854.856124168236 48.65781228700766 135.35361898806852 0.0 28 0.0
rider 6 = {148, 24, 153, 155, 31, 159, 37, 170, 172, 177, 179, 181, 61, 62, 190, 66, 69, 83, 99, 100, 104, 106, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
172 17806.69606063467 3306.69606063467 50.599090179596466 137.62389733828743 0.0 29 0.0
rider 7 = {1, 4, 139, 11, 14, 15, 146, 29, 36, 169, 178, 50, 180, 53, 58, 191, 74, 90, 110, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
58 13700.385850970903 3700.385850970902 49.33104450381516 126.59654449012312 0.0 20 0.0
rider 8 = {144, 10, 164, 40, 42, 48, 54, 51, 187, 80, 85, 88, 96, 101, 102, 105, 113, 114, 116}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
88 10357.924621563834 2857.924621563834 49.70007569775398 136.62734644335114 0.0 15 0.0
rider 9 = {130, 131, 8, 13, 16, 145, 19, 149, 35, 43, 173, 56, 63, 67, 86, 89, 103, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
67 9918.808241657403 2918.8082416574025 52.192645979912456 129.8383499381285 0.0 14 0.0
obj time iter vio 
250529.6199393539 0 0 96745.25994325761
238407.84294332034 0 1 86036.38894398948
235645.19350063064 0 2 86036.38894398948
227941.40190796548 0 3 74115.27071481549
221145.1554155831 0 4 69740.3000547576
212177.4098464108 0 5 57749.91158901172
205856.10517471857 0 6 48572.184990449314
204517.78278321231 0 7 45530.53699219602
197138.4102856777 0 8 40368.224102296546
195500.85668371196 0 9 36897.78836657059
195277.42203609194 0 10 36227.440118708866
188295.73885835145 0 11 32601.72799575347
185330.03690620066 1 12 28598.55040643136
185190.53429278918 1 13 28598.55040643136
184740.13361613304 1 14 29747.96004089285
183533.5609681934 1 15 27137.420620995617
181190.09504223728 1 16 24697.336462418145
181184.23932975566 1 17 24697.33646241813
180518.0491900118 1 18 25041.66346497844
173321.22333515674 1 19 12695.868405364079
171151.54463461268 2 20 10133.233229991074
170573.12554085426 2 21 11998.349112006725
170406.4546893573 3 22 11998.349112006725
170382.77683761573 13 23 11998.349112006696
169648.75677573297 32 24 11467.428721330522
169133.31704793722 33 25 11467.428721330509
167811.76179603013 52 26 9694.397693915056
167594.19887594652 102 27 8715.596339427357
167077.6008662904 103 28 8077.356331224833
166828.40577196324 122 29 5239.5505464707385
166376.0110571849 133 30 4500.7341628905115
163701.22230360837 133 31 2099.126686918755
163515.1955625403 138 32 1865.1513754329196
163256.84103661438 138 33 1865.1513754329196
162669.33400046083 178 34 1865.1513754329196
162643.8269961055 178 35 2233.010557673639
161824.90207844236 179 36 1226.609641929869
161817.89448150242 200 37 1226.609641929869
161471.49961988378 222 38 858.7504596891495
160471.23020848134 224 39 858.7504596891495
160436.12146638922 282 40 858.7504596891495
160007.81552419002 293 41 345.1864998672143
159773.9278444036 371 42 345.1864998672143
159681.76106757476 373 43 345.1864998672143
160317.41884346702 488 44 0
160243.01299428465 555 45 0
160114.4075878859 562 46 0
159580.86820860681 620 47 0
159121.67762312997 623 48 0
159012.54728349549 627 49 0
157512.50608496994 638 50 0
157417.5621505721 666 51 0
157393.9066539814 667 52 0
156580.84245280595 676 53 0
156471.54408840177 685 54 0
156174.88506263358 704 55 0
155727.72429249305 704 56 0
155711.48176314402 715 57 0
155598.27885829 780 58 0
155554.7125468991 798 59 0
155544.39241409584 928 60 0
155529.6449261332 938 61 0
155524.0833910658 977 62 0
154500.81867954347 1005 63 0
154400.91640127735 1007 64 0
154374.58868557547 1020 65 0
154223.96439210078 1031 66 0
154201.1102176345 1041 67 0
154157.43087428538 1042 68 0
154145.57705525553 1043 69 0
154079.79974630062 1089 70 0
153981.15715270102 1109 71 0
153974.17052959016 1119 72 0
153900.64260039208 1120 73 0
153381.4090976116 1121 74 0
153303.8466068676 1159 75 0
152830.52300740057 1170 76 0
152370.66580071906 1182 77 0
151780.85525648025 1193 78 0
151779.95863947284 1259 79 0
150896.50379145212 1270 80 0
150810.97067483212 1292 81 0
150786.88090553542 1293 82 0
150737.52342583294 1383 83 0
150723.50841444737 1414 84 0
150194.21611497083 1466 85 0
150102.86397341953 1568 86 0
150057.52015640054 1569 87 0
149993.03022967838 1639 88 0
149838.6924213106 1642 89 0
149730.13131487183 1665 90 0
149284.00160552873 1700 91 0
149272.7830616662 1702 92 0
149255.05715258495 1714 93 0
148782.66555455813 1716 94 0
148739.64844336084 1749 95 0
148541.55874827298 1793 96 0
148325.4898896139 1797 97 0
148324.8953260496 1840 98 0
148276.396915697 1843 99 0
147002.25774998567 1855 100 0
146963.77191418235 1856 101 0
146913.57448885904 1887 102 0
146802.26283307746 1898 103 0
146720.4303744427 1929 104 0
146271.13416825893 2027 105 0
146088.13534283664 2038 106 0
146020.28611325793 2055 107 0
145845.28500762073 2111 108 0
145837.13615320294 2142 109 0
145743.32762805212 2190 110 0
145689.58527937107 2219 111 0
