instance_name algorithm_name iter_idx best_objective running_time
DU200-P10-0 local_search 7 141254.85882776545 0.680573
nb_riders nb_polygons
10 200
rider 0 = {7, 147, 23, 24, 163, 34, 168, 173, 53, 184, 187, 196, 70, 90, 92, 104, 108, 114, 118, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
168 14413.696831594836 3913.6968315948366 52.401016839159844 133.15572700240247 0.0 21 0.0
rider 1 = {2, 8, 9, 140, 165, 170, 177, 181, 59, 190, 62, 64, 66, 72, 74, 86, 97, 101, 107, 124, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
124 14422.616601002288 3422.616601002288 50.503211150333165 129.9935701882534 0.0 22 0.0
rider 2 = {0, 3, 132, 135, 156, 30, 160, 167, 42, 45, 48, 183, 60, 189, 76, 87, 99, 102, 121, 122}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
132 13377.742522569873 2877.742522569873 52.281066513462235 127.09075501146833 0.0 21 0.0
rider 3 = {128, 130, 134, 136, 141, 142, 144, 18, 19, 21, 162, 37, 169, 179, 51, 63, 82, 91, 96, 109, 120}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
91 15977.566769960527 3977.5667699605274 52.793963392265 130.94147317385728 0.0 24 0.0
rider 4 = {133, 138, 12, 16, 148, 22, 151, 28, 171, 174, 180, 61, 193, 65, 69, 111, 116, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
151 14963.048519937262 2963.0485199372615 48.48067338735078 134.76638294412965 0.0 24 0.0
rider 5 = {129, 6, 10, 13, 25, 26, 33, 164, 39, 41, 176, 178, 56, 67, 197, 75, 81, 88, 94, 95}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
33 12761.35689889518 3761.356898895179 52.504744527124664 127.71742775965492 0.0 18 0.0
rider 6 = {11, 143, 20, 32, 44, 175, 47, 52, 182, 57, 58, 194, 80, 85, 93, 105, 106, 119, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
11 10885.440034131101 2885.4400341311016 50.259668657375464 132.20174442165006 0.0 16 0.0
rider 7 = {1, 4, 14, 17, 29, 36, 38, 46, 50, 186, 191, 192, 198, 199, 78, 79, 100, 103, 110, 113}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
198 13104.932494266679 4104.932494266678 48.46900328343888 136.61696971323244 0.0 18 0.0
rider 8 = {131, 137, 145, 149, 152, 153, 154, 27, 158, 159, 161, 166, 40, 172, 54, 188, 71, 77, 98, 115, 117}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
153 17697.150222641747 3697.1502226417465 48.22826150813253 135.41981797281193 0.0 28 0.0
rider 9 = {5, 139, 15, 146, 150, 155, 157, 31, 35, 43, 49, 55, 185, 195, 68, 73, 83, 84, 89, 112}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
5 13651.307932765965 3151.3079327659652 50.25435080665096 137.88879189023302 0.0 21 0.0
obj time iter vio 
254284.99793211895 0 0 95951.20246054708
245735.31743289815 0 1 94216.91029367578
245019.27387480717 0 2 91842.76126830191
240861.8684238327 0 3 84465.23071140733
235989.44510518337 0 4 82752.23312504821
230083.9322186757 0 5 73331.80696302255
224147.90502696135 0 6 68389.79490699776
223337.10743036 1 7 67684.23196772368
222247.16255680125 1 8 67481.285667437
220158.35445786073 1 9 66888.67643512244
219519.72864395304 1 10 65753.01113355103
219456.89552972835 2 11 66659.51944912749
217957.70655002844 2 12 63418.06302073007
217601.5863549599 2 13 62678.47907864182
217134.41971331844 2 14 61231.090676639025
216143.25025015688 2 15 57335.87017464352
215155.08712375636 2 16 55768.70742113063
215075.49231144632 3 17 55768.70742113063
214729.60066636986 3 18 56002.43875253691
213787.95626519632 3 19 55048.50988760592
213318.37015967575 4 20 54671.982433262194
210818.6947552906 4 21 49778.00837413766
208988.83539613558 4 22 48345.64186950069
208537.62024002336 4 23 48345.64186950069
206834.38605411645 5 24 47028.44661751442
206707.70030684184 5 25 47028.44661751439
206533.42290964027 5 26 47028.44661751439
204164.54729245804 6 27 46087.1640106478
203892.05200115105 6 28 45786.01863538301
203810.50077819653 7 29 44820.26970537096
203643.04281705472 7 30 44549.27614850097
203597.2499685339 8 31 44549.27614850098
203342.09869241188 8 32 44688.37101022311
201285.81411110124 8 33 42941.66964872828
200668.09411151314 8 34 41876.63757890706
199124.73272681935 8 35 40827.820318884595
194749.28229614545 8 36 37222.85897766567
194086.94623996076 9 37 36581.468432036876
187163.8111235546 9 38 26815.390999823612
184541.93114405044 9 39 24139.88659427558
182372.8401604433 9 40 22991.19722129943
182287.6548839536 10 41 22867.596773365738
179730.3487790066 10 42 19910.852497960615
179080.76492892238 10 43 18103.936090743042
178645.19010397216 12 44 17661.773852250582
175620.20335396257 12 45 14596.48846172685
175187.4768078883 12 46 13650.171320456524
174924.4607464904 13 47 14412.379491181362
172263.68917464343 13 48 11313.811763806483
171975.0668128867 13 49 10970.6562565335
170209.18094580338 13 50 10240.179523888484
167061.65143559186 13 51 7623.3371405850685
165283.5004625338 14 52 4834.843119739844
164200.96002168255 15 53 3981.9322249956995
163919.23294767117 45 54 3294.101570994826
163871.5054183321 47 55 4203.197993989019
163730.36350205028 48 56 4355.52259825603
163579.6595837931 81 57 4464.9887298941
163290.66509430206 81 58 4121.6292738137745
162859.64818492337 91 59 3717.357374569266
162641.24754338452 92 60 2381.5956970388397
162382.53659145482 105 61 2043.370460346816
161905.13996559012 165 62 2182.901167820127
161823.6189930542 218 63 2533.364245981273
160688.11701317067 240 64 2065.141792323146
160274.18009433136 271 65 1660.212007247992
159539.20125086795 282 66 1444.6089269315596
159524.64006634947 324 67 1444.6089269315596
159311.01756057295 369 68 1822.0790023704385
159303.08551746618 375 69 1444.6089269315596
159213.03772200146 405 70 1378.8867571100204
158648.8324633171 415 71 1378.8867571100204
158424.54412755117 452 72 1378.8867571100204
158303.63017622774 471 73 1378.8867571100204
158216.53687377943 490 74 1378.8867571100204
157872.1628452091 586 75 1404.4515566971363
157550.40949970714 587 76 1951.604935793668
156920.57204345128 617 77 1404.4515566971363
156730.7513005085 663 78 1404.4515566971363
156712.64712207878 708 79 1404.4515566971363
156563.3163929998 739 80 1547.3693124918473
155982.87016844915 767 81 1378.8867571100204
155549.82406658135 768 82 1378.8867571100204
155321.5510518955 769 83 1566.0241585786298
155209.5321032556 778 84 1566.0241585786298
154918.72527999638 797 85 1378.8867571100204
154357.3109358185 798 86 1378.8867571100204
154352.07614703127 817 87 1378.8867571100204
154273.75420070105 863 88 1378.8867571100204
154265.55240457546 866 89 1378.8867571100204
154225.40987763865 918 90 1378.8867571100204
154185.08893800562 920 91 1378.8867571100204
154072.76470315328 926 92 1378.8867571100204
