instance_name algorithm_name iter_idx best_objective running_time
DU200-P10-0 local_search 8 142416.6923810718 0.946568
nb_riders nb_polygons
10 200
rider 0 = {130, 133, 158, 30, 161, 40, 44, 173, 48, 179, 184, 188, 76, 83, 88, 90, 96, 108, 114, 126}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
88 13242.82647997761 2742.8264799776102 51.34402426849354 137.95941312383323 0.0 21 0.0
rider 1 = {9, 13, 29, 159, 32, 166, 170, 172, 177, 58, 59, 64, 194, 66, 196, 80, 81, 109, 120, 122, 125}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
172 15777.663952423181 3277.663952423181 53.08996518246978 127.92804226567272 0.0 25 0.0
rider 2 = {135, 17, 19, 21, 162, 42, 174, 183, 62, 192, 70, 199, 79, 87, 99, 101, 111, 115, 121}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
79 13114.852962545676 3114.8529625456767 49.39044203205789 128.99861107318253 0.0 20 0.0
rider 3 = {2, 132, 134, 136, 11, 143, 147, 24, 33, 36, 165, 38, 45, 181, 65, 67, 198, 71, 74, 82, 93, 98}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
33 14997.071254340408 3997.071254340409 52.758338784273256 131.2966923374821 0.0 22 0.0
rider 4 = {1, 129, 0, 7, 8, 141, 144, 140, 23, 156, 34, 169, 47, 46, 69, 68, 72, 92, 104, 118}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
144 11668.75567388179 3168.755673881789 48.33314159492385 136.76514987660514 0.0 17 0.0
rider 5 = {128, 149, 22, 27, 164, 39, 171, 50, 187, 60, 191, 197, 85, 86, 94, 95, 105, 110, 113, 116, 127}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
149 15161.206133100488 3661.2061331004875 49.50358648121419 132.2655137896433 0.0 23 0.0
rider 6 = {137, 139, 12, 18, 25, 155, 153, 31, 41, 43, 175, 52, 55, 57, 182, 190, 63, 97, 102, 106, 124}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
124 16290.893441702017 3790.893441702018 52.83635656820476 135.6955790547397 0.0 25 0.0
rider 7 = {4, 6, 142, 15, 145, 150, 28, 157, 37, 168, 180, 185, 195, 73, 75, 84, 91, 100, 103, 107}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
157 15751.716354485416 3251.7163544854156 49.23121745842804 128.25544045679712 0.0 25 0.0
rider 8 = {131, 138, 10, 14, 20, 152, 151, 146, 154, 163, 178, 51, 56, 189, 193, 78, 117}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
152 14192.173049151821 3192.173049151822 49.549380133422964 135.73881129748915 0.0 22 0.0
rider 9 = {3, 5, 16, 148, 26, 160, 35, 167, 176, 49, 53, 54, 186, 61, 77, 89, 112, 119, 123}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
77 12219.533079463388 3219.533079463388 50.139507561805246 130.8894068022485 0.0 18 0.0
obj time iter vio 
274477.30975983065 0 0 126761.41165513117
258220.02650771593 0 1 103232.68195099558
255144.3066484952 0 2 98788.78618153415
252964.44022574477 0 3 97964.23432891398
249415.36356725276 0 4 94039.2119689161
244512.5878403259 0 5 89697.08764973574
244231.89069583308 0 6 87143.45403390419
240616.22393422597 0 7 88172.68863240744
234921.595708708 0 8 83320.08279540173
234462.43464032962 0 9 83200.51338291808
231011.3769593374 1 10 75256.71819877381
230090.64528429165 1 11 74628.91870376893
228951.980219239 1 12 73841.51964250469
223070.50686846135 1 13 67725.95556165485
218637.7472431642 1 14 61623.331926719635
216232.9569739309 1 15 61710.735530305144
212992.19766305105 1 16 58026.26809973183
212375.61178469865 1 17 60870.595359326224
211554.04794377723 1 18 58518.213305768964
207404.6601714089 1 19 47190.577339423115
199377.6939747985 2 20 40678.02401466917
198989.63452396478 2 21 40770.6601057009
198610.2110284038 2 22 40427.103943028735
196737.16479880942 2 23 36898.9526648268
196372.19722940112 2 24 36557.825293432754
192434.82425897836 2 25 35535.70705588289
189318.538730008 11 26 32329.043156962274
189265.36920521755 11 27 32329.043156962274
189029.74235024856 11 28 31609.455917805448
187166.40730215173 11 29 29714.624017935115
184675.9310874542 11 30 27325.843602532954
183334.39160805277 11 31 21656.639159137656
183039.79296872075 11 32 21440.3235351432
181903.747013445 11 33 20283.061126987872
181469.25133358047 16 34 25012.718803376538
177781.79050797748 17 35 17607.644652419265
175625.58244096703 17 36 15863.772503574932
175367.53607965316 17 37 13164.732098590322
172801.43481943707 17 38 10033.136580745655
171295.5260286864 17 39 7553.6501487409505
170539.4939602389 17 40 7393.993306710385
169933.59691877177 27 41 7307.030916420332
168960.01090454357 27 42 6822.359914031245
168149.06825329925 27 43 5127.718667741852
168135.3037413936 37 44 5127.718667741852
164871.46816532323 38 45 1838.396532480278
164384.52669378763 58 46 1838.3965324802707
164353.7526749084 78 47 1730.4229728183848
163857.93094546313 98 48 1730.4229728183848
163852.9760287917 99 49 1730.4229728183848
162716.39601924756 128 50 1730.4229728183848
162634.86120603894 150 51 2275.847481547709
162167.99963168436 214 52 2275.847481547709
160353.98360113916 234 53 1958.0767572060045
159371.77293795842 234 54 826.9425992050525
159024.39751289392 235 55 876.2598487324719
159012.96295728808 240 56 876.2598487324719
158950.2745201569 241 57 853.0985532143571
158188.54588027654 241 58 49.31724952741945
159143.41640044108 260 59 0
158138.74841127289 261 60 0
158117.68684083168 344 61 0
158103.3033897505 382 62 0
157960.01615111472 465 63 0
157556.71410679346 493 64 0
157156.03881960927 503 65 0
156586.5377020263 503 66 0
156577.30573739187 513 67 0
156412.19014065614 542 68 0
155968.65950100936 573 69 0
155954.01413965836 583 70 0
155436.30442665663 701 71 0
155350.7968940338 712 72 0
155307.3665559603 807 73 0
155032.0252684503 903 74 0
154819.9041706851 914 75 0
154742.08806663298 953 76 0
154660.0806785321 957 77 0
154612.89430536592 968 78 0
154611.16297570098 969 79 0
154601.945490416 970 80 0
154515.59698875222 998 81 0
154110.03572881393 1082 82 0
154103.8669066902 1085 83 0
154078.932497294 1104 84 0
153924.9491826135 1104 85 0
153876.92556996652 1105 86 0
153708.68698222892 1106 87 0
153627.34862012244 1107 88 0
153582.58538816005 1117 89 0
153556.8840351694 1137 90 0
153513.56976389847 1147 91 0
153372.07093678607 1148 92 0
152562.4337228352 1196 93 0
152549.2395076701 1197 94 0
152502.51983804657 1247 95 0
152431.34730744708 1248 96 0
152360.4102794603 1249 97 0
152347.6030069929 1260 98 0
152272.46983222978 1271 99 0
152155.2416477628 1273 100 0
151706.14623440965 1325 101 0
151594.6501352893 1336 102 0
151550.56767249267 1337 103 0
151546.36977617734 1338 104 0
151435.19366793783 1338 105 0
151415.55248454737 1365 106 0
