instance_name algorithm_name iter_idx best_objective running_time
DU500-P10-0 local_search 0 383462.6848372568 0.86704
nb_riders nb_polygons
10 500
rider 0 = {259, 3, 18, 20, 283, 282, 30, 32, 289, 290, 303, 58, 320, 321, 319, 323, 68, 67, 70, 62, 318, 81, 350, 102, 111, 121, 378, 380, 129, 386, 138, 401, 402, 404, 415, 420, 173, 183, 449, 198, 210, 211, 212, 471, 219, 479, 231, 486, 490, 494, 239, 243}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
212 42247.582035181076 9747.582035181076 141.9049103732809 347.3829258160575 0.0 65 0.0
rider 1 = {266, 267, 13, 269, 276, 287, 288, 291, 37, 51, 309, 60, 61, 76, 86, 89, 93, 99, 357, 104, 115, 373, 131, 387, 390, 141, 142, 144, 407, 413, 417, 161, 166, 426, 174, 431, 440, 186, 196, 452, 454, 455, 203, 205, 213, 214, 475, 483, 489, 247}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
426 38230.26446040904 9730.264460409038 134.40697394354848 340.89815318845723 0.0 57 0.0
rider 2 = {6, 7, 292, 293, 296, 313, 59, 316, 317, 69, 327, 71, 74, 85, 88, 349, 351, 352, 100, 366, 372, 117, 122, 125, 127, 130, 398, 399, 149, 157, 159, 165, 422, 168, 425, 432, 180, 181, 185, 190, 194, 453, 457, 202, 464, 217, 218, 230, 491, 241}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
7 37416.59927111529 8916.599271115285 143.63551513935334 336.0264510418069 0.0 57 0.0
rider 3 = {257, 16, 295, 300, 47, 304, 48, 307, 55, 56, 57, 315, 84, 87, 92, 95, 97, 359, 361, 113, 384, 389, 134, 137, 396, 140, 147, 409, 155, 158, 418, 184, 443, 192, 448, 195, 469, 470, 472, 473, 229, 485, 487, 234, 492, 497, 248}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
95 35561.721542525476 8561.721542525474 137.82459989941708 321.20115044286933 0.0 54 0.0
rider 4 = {258, 4, 10, 270, 278, 281, 25, 31, 294, 39, 40, 43, 301, 305, 53, 73, 79, 340, 91, 96, 354, 101, 103, 108, 369, 370, 371, 120, 377, 400, 148, 408, 410, 423, 170, 427, 429, 434, 436, 437, 441, 189, 461, 463, 209, 215, 481, 226, 236, 498, 250, 251, 253, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
340 41964.58426155179 10464.584261551794 143.43921710667865 342.8979583406235 0.0 63 0.0
rider 5 = {260, 264, 11, 268, 271, 274, 279, 28, 35, 44, 308, 54, 312, 64, 328, 75, 77, 83, 343, 345, 346, 90, 98, 367, 128, 393, 395, 146, 151, 160, 171, 430, 175, 179, 435, 193, 459, 204, 466, 468, 223, 484, 232, 233, 237, 493, 245, 249, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
64 37981.7428693573 8981.7428693573 131.4132665126373 324.55618257590106 0.0 58 0.0
rider 6 = {0, 2, 14, 273, 17, 21, 280, 26, 27, 34, 36, 298, 299, 334, 335, 78, 341, 355, 360, 105, 106, 107, 368, 363, 114, 374, 381, 126, 132, 394, 139, 397, 403, 152, 412, 162, 419, 169, 439, 188, 191, 450, 197, 456, 207, 467, 474, 480, 482, 227, 242, 246}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
2 39027.20611325158 9527.206113251585 140.13026362939178 319.1826760036388 0.0 59 0.0
rider 7 = {8, 12, 275, 19, 22, 24, 284, 29, 33, 38, 302, 49, 306, 310, 65, 322, 324, 72, 329, 332, 336, 338, 339, 80, 344, 348, 347, 362, 112, 119, 123, 388, 391, 136, 405, 411, 177, 178, 182, 446, 447, 451, 476, 477, 478, 221, 222, 488, 495, 499, 255}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
338 38626.768306867525 9626.768306867523 134.0917525148055 343.0231961630789 0.0 58 0.0
rider 8 = {256, 1, 261, 262, 9, 272, 23, 297, 41, 45, 50, 325, 326, 331, 333, 82, 342, 353, 358, 364, 365, 116, 118, 375, 124, 382, 383, 385, 133, 135, 143, 145, 150, 416, 167, 424, 428, 176, 433, 442, 445, 458, 206, 462, 220, 224, 225, 240}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
224 38054.25762350584 8554.257623505833 130.88884305295358 341.11859143343156 0.0 59 0.0
rider 9 = {5, 263, 265, 15, 277, 285, 286, 42, 46, 52, 311, 314, 63, 66, 330, 337, 94, 356, 110, 109, 376, 379, 392, 406, 153, 154, 156, 414, 163, 421, 164, 172, 438, 187, 444, 199, 201, 200, 460, 208, 465, 216, 228, 235, 238, 496, 244}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
66 34351.9583534919 8851.9583534919 132.039664459776 318.23912022380273 0.0 51 0.0
obj time iter vio 
490896.8316293566 0 0 69816.75197659551
482824.4700627526 0 1 67532.18863004098
466953.82725041837 0 2 61625.48544294697
464991.82690757635 0 3 56317.6878290721
454854.9739321807 1 4 50056.35279172975
448926.87129955465 1 5 43709.0840582586
443516.5695748643 1 6 42971.41080721804
443453.62880189036 1 7 42971.41080721804
443375.6979136237 1 8 43151.13115665401
437563.6914424613 2 9 36365.33788005847
432172.1485215143 2 10 32184.485989603723
430425.7553058209 3 11 30371.646012179714
425804.46068278205 3 12 29620.565654139893
425462.317739397 3 13 28741.29502424519
425278.1393764307 4 14 28685.52526842116
416663.84585084295 4 15 19724.55463626505
416576.4247908142 4 16 19724.55463626505
416550.03716798703 4 17 19724.55463626505
416543.5174936989 6 18 19724.55463626505
416519.52608702605 7 19 19206.489180085926
416509.2998963111 7 20 19206.489180085926
416456.48164643475 7 21 19206.489180085926
416012.05208411254 8 22 21268.464111586705
411773.0043787246 8 23 16435.077610513425
411713.38567976863 8 24 12497.393990196075
411294.6566136286 8 25 12497.393990196075
409105.9667983809 8 26 10256.139751941246
407927.6696603912 9 27 9100.366808465076
407608.3305081538 10 28 9100.366808465076
406857.6384339996 49 29 6879.971605662398
406315.8222002524 49 30 6879.971605662369
405356.5034563193 50 31 5643.678412205912
404116.37502465263 51 32 4486.316147293035
403664.27263816213 51 33 4539.994046424894
403006.77316750394 52 34 4539.994046424894
402984.5661059832 64 35 4539.994046424894
400840.6267167591 64 36 1889.1574119757045
399848.97235750646 65 37 1854.4091478300138
399807.0221065152 66 38 1854.4091478300138
399748.12581428647 77 39 1820.2274969979994
399641.7400024512 78 40 1762.9489287806682
398189.73735561105 78 41 929.723095376568
397751.8853094916 107 42 929.7230953765396
397274.7883515821 109 43 929.7230953765396
396480.0779073633 145 44 1153.1326911416074
396453.0000276658 145 45 1153.1326911416074
396383.019433682 146 46 1153.1326911416074
395829.5948529201 174 47 1153.1326911416074
395691.5460729595 176 48 1153.1326911416074
395425.02922567044 204 49 763.3511877240409
394942.32011122466 205 50 763.3511877240409
394224.68308700516 205 51 106.07809889349973
394195.6435479666 234 52 106.07809889349973
394084.21925627993 291 53 106.07809889349973
393541.80506115424 380 54 106.07809889349973
393442.6621861211 448 55 0
393286.8491669842 523 56 0
393266.24645758985 525 57 0
393265.7388353556 1202 58 0
392989.46715263417 1494 59 0
392988.0938228627 1499 60 0
392924.51898752985 1505 61 0
392894.4051908573 1579 62 0
392879.6399530911 1593 63 0
392748.1317256095 1669 64 0
392318.2176572288 1744 65 0
392310.2278663872 1746 66 0
392306.693096926 1963 67 0
391934.0767937795 2039 68 0
391929.1166450351 2110 69 0
391880.1007129577 2318 70 0
391357.4885987063 2391 71 0
391355.7773853098 2392 72 0
390877.4669827112 2532 73 0
390424.67222376115 2539 74 0
390299.7380312964 2541 75 0
390256.7442909382 2679 76 0
390245.1360396415 2815 77 0
389690.26418724365 2817 78 0
389644.77843597 2886 79 0
389192.93790256523 2957 80 0
389158.46000301605 2958 81 0
389153.2463005134 2959 82 0
388727.3507834154 3100 83 0
388716.99849960103 3101 84 0
388539.63572751544 3104 85 0
388485.25189713534 3105 86 0
388341.77148795757 3131 87 0
388316.74894338415 3131 88 0
388251.2850687726 3131 89 0
388161.2934118158 3221 90 0
388132.4605861866 3252 91 0
388125.3795318763 3283 92 0
388072.2898338905 3314 93 0
387581.6028465974 3372 94 0
387464.6614349517 3403 95 0
387422.78264251107 3405 96 0
386913.79730388685 3407 97 0
386911.68087568885 3409 98 0
386561.7185878139 3411 99 0
386497.75273276505 3412 100 0
386474.29269817576 3442 101 0
386100.6764314029 3444 102 0
386010.0522651278 3445 103 0
384967.9787835436 3473 104 0
384923.91480359354 3501 105 0
384458.1087937929 3502 106 0
384078.0273411905 3532 107 0
384075.2434198019 3537 108 0
383995.21581267496 3571 109 0
383462.6848372568 3663 110 0
