instance_name algorithm_name iter_idx best_objective running_time
DU500-P10-0 local_search 4 370168.5211147237 0.645292
nb_riders nb_polygons
10 500
rider 0 = {260, 264, 5, 12, 15, 17, 20, 284, 291, 38, 46, 313, 320, 337, 336, 354, 102, 358, 360, 106, 113, 375, 380, 379, 385, 134, 392, 395, 410, 157, 429, 175, 181, 183, 189, 193, 450, 204, 461, 459, 208, 468, 469, 478, 234, 493, 242, 499, 248, 255}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
385 43450.54398607924 9450.54398607924 131.37918957476043 336.7474582466029 0.0 68 0.0
rider 1 = {7, 26, 282, 287, 32, 41, 42, 47, 49, 51, 307, 310, 59, 68, 81, 349, 362, 107, 361, 368, 126, 384, 128, 388, 391, 398, 143, 406, 412, 168, 172, 448, 194, 451, 196, 454, 200, 457, 462, 466, 471, 220, 223, 233, 236, 235, 495, 239, 241, 498}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
391 38879.91372405833 8879.913724058331 134.56563458473494 338.73171075965877 0.0 60 0.0
rider 2 = {256, 265, 273, 279, 301, 50, 312, 316, 317, 319, 323, 83, 341, 85, 88, 353, 99, 364, 367, 371, 115, 124, 131, 135, 146, 150, 413, 422, 426, 171, 438, 202, 215, 217, 218, 219, 479, 227, 249, 487, 231, 240, 246, 247, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
426 34403.6808934387 7903.680893438703 134.06649615594003 341.18709831980124 0.0 53 0.0
rider 3 = {2, 259, 269, 270, 283, 33, 295, 304, 305, 58, 65, 333, 335, 86, 347, 92, 97, 108, 110, 117, 118, 377, 383, 129, 130, 390, 393, 138, 141, 145, 402, 147, 411, 159, 162, 167, 177, 436, 188, 449, 456, 470, 481, 226, 229, 486, 488, 232, 491, 245}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
347 36753.93154935888 8753.931549358882 143.15919388607463 322.5681120986705 0.0 56 0.0
rider 4 = {258, 266, 10, 272, 275, 293, 37, 298, 44, 55, 314, 63, 64, 66, 67, 325, 70, 72, 73, 79, 355, 365, 114, 372, 116, 127, 397, 144, 152, 155, 431, 432, 434, 179, 439, 186, 447, 453, 455, 203, 460, 463, 475, 477, 480, 228, 230, 237, 494, 253}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
266 35944.95007619225 8444.950076192255 136.44546039293522 340.93312371642594 0.0 55 0.0
rider 5 = {4, 263, 11, 16, 18, 19, 24, 28, 54, 311, 56, 60, 327, 74, 75, 80, 90, 89, 98, 104, 369, 122, 386, 136, 394, 401, 415, 160, 161, 418, 419, 421, 430, 435, 182, 185, 442, 441, 192, 195, 452, 198, 209, 211, 467, 212, 216, 485, 489, 238, 496, 250, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
90 37749.100650391694 9249.100650391694 139.76530437266354 323.0662925961992 0.0 57 0.0
rider 6 = {3, 277, 278, 281, 288, 292, 36, 43, 299, 52, 309, 62, 322, 326, 328, 330, 332, 77, 334, 78, 82, 91, 93, 350, 351, 95, 105, 363, 366, 111, 373, 374, 121, 378, 382, 133, 139, 140, 408, 414, 420, 170, 180, 446, 197, 199, 205, 465, 474, 483, 497}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
483 35124.03098676636 9624.030986766356 137.99365674723254 327.95552601641305 0.0 51 0.0
rider 7 = {0, 1, 257, 268, 22, 23, 25, 31, 35, 294, 39, 40, 306, 308, 53, 61, 318, 321, 331, 338, 339, 340, 342, 343, 344, 345, 96, 357, 101, 359, 370, 123, 389, 137, 404, 153, 169, 427, 173, 440, 184, 187, 444, 190, 191, 458, 207, 214, 476, 222, 482, 490, 251}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 39790.88959203589 9290.889592035888 138.76325460285963 342.1385266707274 0.0 61 0.0
rider 8 = {261, 6, 262, 9, 267, 13, 14, 271, 274, 276, 21, 280, 30, 300, 45, 302, 48, 324, 69, 71, 329, 76, 84, 346, 348, 94, 112, 376, 120, 125, 387, 132, 396, 399, 403, 405, 151, 416, 165, 423, 424, 425, 176, 433, 443, 445, 206, 464, 213, 225, 484, 492}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
376 37603.430307384886 9103.430307384886 139.6237338090834 337.0196203256525 0.0 57 0.0
rider 9 = {8, 27, 29, 289, 290, 34, 285, 286, 296, 297, 303, 57, 315, 87, 352, 356, 100, 103, 109, 119, 381, 142, 400, 149, 407, 148, 409, 154, 156, 158, 417, 163, 164, 166, 428, 174, 178, 437, 201, 210, 472, 473, 221, 224, 243, 244}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
472 30468.049349017478 8968.049349017478 134.01308250555832 324.1789364795163 0.0 43 0.0
obj time iter vio 
515255.38306483347 0 0 111529.12242467226
511107.8877268267 0 1 111529.12242467231
510643.69412218133 0 2 111529.1224246723
510617.4709455409 0 3 111608.67373309212
507092.41096544074 1 4 111503.96649049374
497979.23892915127 1 5 98026.53206870984
492517.2433049622 1 6 90881.61132101544
485411.8664319676 2 7 85238.11637108114
479582.0548453314 2 8 85384.34258218609
476285.57163406257 2 9 86689.26234661425
475085.247578656 2 10 85531.90008170137
468524.0053134643 3 11 82280.90558571625
468342.413797628 3 12 81148.73267332824
462223.22063761496 4 13 76902.76162240663
461449.02020259225 4 14 76713.47847350258
459971.23803129635 4 15 74347.72032534715
459946.38000913983 4 16 74347.72032534715
458385.8783366542 4 17 62870.671107173715
457278.53787595406 5 18 62764.40603419714
453997.14092653274 5 19 59725.09023640738
452854.5500861517 5 20 57585.59619483524
452824.3122685066 5 21 58869.217992242506
452769.2139253099 5 22 58869.217992242506
448200.79853453464 5 23 52696.032466934696
447996.58272072714 6 24 51107.76622813679
447706.46848861664 6 25 50215.08548165866
447686.2440302807 6 26 50215.08548165866
447306.99191271345 6 27 50376.212508084696
444914.74346813903 7 28 46400.46193582923
437195.26468212577 7 29 38668.39961039067
434026.9714213946 7 30 34444.228508626344
428827.73039806064 8 31 29908.039133791994
428163.0471420606 8 32 29165.429439604242
425744.59757698496 34 33 26219.669212257588
424249.57503052725 35 34 25714.734292916874
423950.4845764201 35 35 31204.99685911757
422889.06094859383 35 36 27898.46313727885
420617.99790411553 36 37 21773.842038251034
420538.9334028869 36 38 21773.842038251034
419999.76628193 36 39 21773.842038251063
419365.0147081282 37 40 21130.44471508121
418999.6337921329 38 41 21291.187386536807
418986.07856444863 39 42 21291.187386536807
418980.4241890678 40 43 21291.187386536807
418202.35095020966 40 44 19366.32195022685
414662.91110473074 41 45 15382.292450093792
413908.81195427105 41 46 15111.977747344645
413201.60596480937 41 47 13781.59680051728
413025.3631803008 41 48 13620.85412906168
412589.0903053181 42 49 13620.85412906168
412587.04512096266 42 50 13184.65463082379
412531.8739606845 42 51 13184.65463082379
412481.0739120295 42 52 13184.65463082379
412416.648574988 43 53 13184.65463082379
403011.0785000454 44 54 4010.584695164411
402993.52878630784 45 55 4010.584695164411
402524.49558210216 47 56 4010.584695164411
402514.0986125528 47 57 4010.584695164411
402498.0840436734 75 58 4010.584695164411
401369.64631472755 75 59 4010.584695164411
400718.60905352124 76 60 1587.03674796657
400680.1818476966 76 61 1587.03674796657
400665.4154500322 76 62 1587.03674796657
400616.38293155056 130 63 1587.03674796657
399648.2691110965 130 64 0
399092.2139225201 157 65 0
398613.87811246724 212 66 0
397696.91205306695 212 67 0
397667.1841775914 212 68 0
397666.4271122314 240 69 0
397211.37737285893 298 70 0
397163.6611989708 298 71 0
397147.4741762674 298 72 0
397093.6515592465 299 73 0
396660.3016881497 299 74 0
396181.9037736474 300 75 0
395165.8273052764 300 76 0
395133.2358851824 302 77 0
394563.368956182 303 78 0
394515.2603167199 333 79 0
394459.3158817061 334 80 0
394365.0746347082 335 81 0
394347.52033995616 392 82 0
393781.9014965006 392 83 0
393735.7465514814 395 84 0
393177.78264690365 397 85 0
393166.359109355 399 86 0
393153.21906005894 401 87 0
392668.49332955823 402 88 0
392593.1927895586 429 89 0
392568.1171600186 430 90 0
392447.10522986244 457 91 0
392311.3036220414 457 92 0
392268.8154863868 485 93 0
392251.43547737534 485 94 0
392155.9350126521 513 95 0
392129.9511555518 514 96 0
392090.33642047865 516 97 0
391649.63851881097 516 98 0
391632.29003085615 516 99 0
391561.58968380187 517 100 0
391483.475663656 518 101 0
391415.4084035688 519 102 0
391364.7263091435 575 103 0
391335.261998778 577 104 0
391280.69274032634 687 105 0
390864.05500620726 718 106 0
390841.79546660394 777 107 0
390800.1313250164 807 108 0
390763.68447709375 808 109 0
390198.15804757446 840 110 0
389253.6581722575 873 111 0
389190.60636330076 905 112 0
388540.81670432154 907 113 0
388453.75490746397 908 114 0
387918.03297003784 910 115 0
387898.818920544 913 116 0
387367.1508697985 971 117 0
387301.6534383244 973 118 0
387169.643519609 1003 119 0
386664.0208310704 1005 120 0
386645.4694535991 1007 121 0
386632.6743385171 1010 122 0
386592.93758975447 1039 123 0
386500.920742195 1041 124 0
386488.24343435135 1043 125 0
386409.1485918815 1045 126 0
385920.9740185804 1046 127 0
385914.9957537535 1048 128 0
385906.5805168944 1077 129 0
385904.7442351265 1192 130 0
385865.8723211903 1193 131 0
385853.42345167743 1195 132 0
385770.0136815281 1197 133 0
385765.7543951617 1198 134 0
385764.19310264016 1199 135 0
385724.0501512919 1201 136 0
385231.2432438218 1204 137 0
385151.69507471286 1206 138 0
385144.83878459584 1208 139 0
385077.24513383367 1208 140 0
385045.6517431072 1208 141 0
384539.1692429438 1239 142 0
384522.90947955893 1324 143 0
384491.90745097667 1326 144 0
384408.2005460958 1328 145 0
384406.760141134 1359 146 0
384381.56003040145 1418 147 0
384330.50295682094 1477 148 0
384272.14808913076 1477 149 0
384222.53156544134 1508 150 0
383857.5984835638 1595 151 0
383364.40275030694 1597 152 0
382924.973109434 1599 153 0
382761.44764744997 1601 154 0
382731.55589133245 1633 155 0
382301.44599289406 1664 156 0
382265.0651192838 1666 157 0
382212.4388046228 1668 158 0
382107.3533492429 1671 159 0
381903.81575035857 1672 160 0
381448.1071220047 1702 161 0
381411.8575213702 1733 162 0
381000.0564853592 1734 163 0
380984.1914906393 1734 164 0
380923.56235894933 1737 165 0
380567.1287411772 1738 166 0
380488.4063783419 1738 167 0
380042.5531485349 1738 168 0
379117.99773934594 1739 169 0
379103.0564804325 1739 170 0
378600.9368726449 1740 171 0
378579.4715964179 1741 172 0
378571.84382386727 1770 173 0
378515.6325605896 1771 174 0
378484.9184362496 1772 175 0
377417.00049392536 1773 176 0
377369.65118579916 1774 177 0
377366.26255603763 1804 178 0
377227.4441653306 1805 179 0
377170.30502132035 1806 180 0
377168.592731456 1834 181 0
377133.36005234474 1892 182 0
376752.873045848 1949 183 0
376249.769598653 1980 184 0
376070.4742194311 1982 185 0
375980.1270291686 1982 186 0
375909.2576523809 1982 187 0
375798.1658181223 2070 188 0
375789.55429932947 2071 189 0
375727.15094631416 2129 190 0
375726.8463601779 2130 191 0
375719.4606930564 2131 192 0
375628.60193089384 2191 193 0
375536.3819361038 2192 194 0
375499.57161375275 2192 195 0
375487.3142787289 2193 196 0
375422.6347841609 2193 197 0
375328.0567881849 2225 198 0
375253.39024371037 2226 199 0
375201.93167893915 2299 200 0
375156.60702429875 2346 201 0
374710.7260806513 2457 202 0
374180.5725571471 2531 203 0
374176.26167382445 2536 204 0
373863.6761640779 2610 205 0
373853.5461983615 2615 206 0
373848.1120284681 2619 207 0
373817.609104117 2623 208 0
373698.18051059794 2628 209 0
373683.7030286818 2633 210 0
373681.3354405288 2637 211 0
373181.44931288756 2641 212 0
373145.24984398024 2723 213 0
372668.527212642 2805 214 0
372570.440695775 2811 215 0
372478.42384821555 2816 216 0
371939.58503174566 2821 217 0
371886.58044530795 2828 218 0
371880.41823376744 2909 219 0
371857.3135516669 2991 220 0
371852.06726225256 2992 221 0
371806.1731769748 3145 222 0
371792.6359534004 3147 223 0
371241.6514617594 3149 224 0
371200.2827829228 3150 225 0
371190.0509589991 3150 226 0
371155.1501257473 3379 227 0
371132.6128588086 3381 228 0
371010.24058280955 3382 229 0
371009.2662967428 3458 230 0
370636.4910278731 3459 231 0
370389.13923062535 3462 232 0
370269.0019897786 3463 233 0
370247.8227977768 3546 234 0
370168.5211147237 3624 235 0
