instance_name algorithm_name iter_idx best_objective running_time
DU500-P10-0 local_search 5 396537.4910964253 0.703961
nb_riders nb_polygons
10 500
rider 0 = {256, 18, 39, 301, 304, 52, 313, 323, 326, 325, 78, 337, 340, 347, 357, 102, 106, 111, 120, 122, 124, 383, 128, 392, 398, 402, 403, 149, 153, 162, 426, 427, 431, 433, 435, 182, 444, 449, 200, 202, 204, 208, 469, 213, 218, 219, 224, 480, 486, 239, 248}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
340 44083.32318980755 8583.323189807543 142.52009218112843 341.05147246641917 0.0 71 0.0
rider 1 = {13, 270, 272, 17, 14, 22, 26, 30, 287, 34, 37, 43, 303, 53, 309, 56, 324, 329, 81, 342, 344, 349, 93, 356, 101, 104, 107, 364, 371, 134, 143, 404, 151, 161, 422, 438, 443, 193, 194, 451, 452, 197, 454, 205, 463, 467, 211, 472, 216, 222, 479, 488, 490, 497, 244, 253}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
472 42974.399091915504 10474.3990919155 139.767126842698 347.8218877567592 0.0 65 0.0
rider 2 = {3, 6, 7, 264, 266, 268, 277, 281, 31, 289, 291, 295, 296, 57, 314, 316, 62, 319, 69, 336, 343, 345, 99, 365, 372, 376, 377, 129, 387, 394, 146, 408, 164, 430, 174, 434, 436, 180, 440, 446, 464, 215, 481, 495, 246, 249}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
266 40047.55938166691 9047.559381666917 132.94579291776563 339.0288819240944 0.0 62 0.0
rider 3 = {25, 40, 300, 366, 312, 58, 320, 72, 331, 80, 92, 352, 98, 360, 110, 369, 367, 116, 118, 112, 378, 123, 132, 137, 141, 145, 148, 405, 150, 418, 167, 424, 168, 169, 179, 185, 195, 453, 455, 212, 217, 477, 478, 221, 225, 487, 234, 243, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 38724.268848319334 8724.268848319338 140.66791799440077 320.4025967897108 0.0 60 0.0
rider 4 = {0, 4, 8, 19, 24, 36, 293, 297, 299, 47, 51, 67, 327, 73, 86, 88, 94, 97, 355, 100, 373, 117, 119, 126, 386, 388, 138, 400, 152, 412, 414, 159, 421, 170, 432, 181, 183, 186, 457, 458, 203, 461, 465, 485, 231, 236, 237, 241, 498, 247, 250}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
19 39556.8882245422 9556.888224542203 138.71670271319277 343.44724503924175 0.0 60 0.0
rider 5 = {260, 259, 263, 265, 11, 16, 271, 273, 29, 33, 44, 45, 49, 311, 54, 317, 322, 70, 71, 77, 76, 84, 90, 103, 361, 113, 380, 136, 393, 397, 395, 139, 409, 156, 420, 165, 425, 428, 171, 175, 199, 456, 198, 462, 473, 226, 233, 492, 238, 245, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 36429.514167486006 8929.514167486002 136.59697088650535 327.72006506014316 0.0 55 0.0
rider 6 = {2, 10, 278, 282, 283, 285, 292, 298, 46, 65, 328, 74, 330, 332, 79, 339, 341, 346, 350, 95, 96, 353, 105, 362, 363, 374, 121, 384, 385, 133, 140, 144, 147, 407, 157, 415, 419, 441, 192, 450, 459, 466, 468, 470, 474, 220, 223, 227, 232}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
278 39711.865661050324 9211.865661050324 140.34165637596644 337.3384810598986 0.0 61 0.0
rider 7 = {1, 257, 261, 9, 35, 38, 41, 305, 50, 307, 306, 310, 60, 318, 321, 66, 68, 75, 335, 85, 89, 91, 348, 351, 359, 108, 109, 114, 370, 125, 131, 391, 406, 155, 160, 166, 173, 176, 439, 189, 190, 191, 207, 471, 476, 483, 229, 489, 235, 499, 251}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
66 39573.89305831167 9573.893058311669 135.6853820526213 331.85102617468505 0.0 60 0.0
rider 8 = {262, 267, 12, 269, 274, 276, 23, 280, 279, 27, 284, 286, 288, 32, 42, 302, 48, 308, 59, 61, 64, 333, 83, 354, 358, 368, 115, 375, 379, 381, 389, 390, 135, 399, 401, 410, 411, 416, 417, 437, 184, 442, 447, 206, 209, 214, 475, 482, 255}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
64 40431.81126510624 8931.811265106237 131.70020306788464 324.7134389136281 0.0 63 0.0
rider 9 = {258, 5, 15, 275, 20, 21, 28, 290, 294, 55, 315, 63, 334, 338, 82, 87, 382, 127, 130, 396, 142, 154, 413, 158, 163, 423, 172, 429, 177, 178, 187, 188, 445, 448, 196, 201, 460, 210, 484, 228, 230, 491, 493, 494, 496, 240, 242}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
338 35003.96820821957 8503.968208219572 130.8331615996794 321.1513100450873 0.0 53 0.0
obj time iter vio 
569267.9258426995 1 0 176778.6714358041
564189.9249646396 1 1 176233.60646742902
552733.7432178165 2 2 165696.34472565338
551621.629149115 2 3 157899.14180221586
546382.2958909122 3 4 152180.6537492985
545345.7394781671 3 5 152180.6537492985
535333.739919369 4 6 144592.1145781817
529302.0270143157 4 7 141026.22900276902
515276.7572723185 5 8 127443.26474537746
514841.68832536944 5 9 127443.26474537753
513930.9339290147 5 10 125702.08712347827
513444.1457865412 5 11 125544.74447202921
512865.3856502209 6 12 125544.74447202915
512847.29698401934 7 13 125544.74447202915
508563.13361748116 7 14 119248.69026597394
506039.271387239 8 15 116802.36707704925
505521.0248838043 8 16 106834.73578282754
505507.3413904442 8 17 106834.73578282744
503308.5469112874 9 18 104610.09292660272
495625.5481026388 9 19 97465.17217890837
483381.2254750227 9 20 84307.67489058206
478981.2887978731 9 21 79946.52416913919
478723.1623672357 10 22 78714.99835506326
472918.6994453648 10 23 71946.5331697852
469658.42584592826 10 24 67186.97571692594
458291.14418762777 11 25 56836.3657699086
455016.5468123764 11 26 53098.17539752624
454560.1533132982 12 27 51573.76653637197
453654.4885438157 12 28 51194.31828560466
447439.67023643 13 29 48427.97574883014
446391.9811157434 14 30 49877.707481308506
444993.03320777015 14 31 48019.697854162834
443690.4094617579 15 32 40855.8690974795
438955.30308235233 16 33 36830.996688343264
437259.1717888196 17 34 35172.938646587194
435838.49043353973 18 35 32257.258643879108
432998.08063988254 20 36 29964.64354497868
431902.0076979259 21 37 29288.418112164713
426686.9801123694 22 38 24062.22122261167
426032.0991452185 23 39 22864.756529229457
425947.3617152786 24 40 21345.632231220523
425384.0129648907 25 41 21345.632231220523
424310.0557920735 26 42 20858.858851295736
424305.5390727011 28 43 20858.858851295736
424284.4676398849 29 44 20896.5313354265
424194.5991575891 30 45 19718.292364093148
422060.4861941598 31 46 16596.902001495782
420807.6038064428 34 47 15490.83346526391
420166.7861074574 106 48 14849.837095857132
419781.2447702279 106 49 14414.910987237878
418535.5319151901 113 50 13160.191114465704
416940.57501427474 186 51 11510.765486812945
415172.7354395059 188 52 9707.972757188034
413573.67445027083 189 53 9151.557315855025
412827.94995628117 190 54 7916.43261688265
410642.9366411853 191 55 5688.6464369234145
408865.6033954963 194 56 3433.559296560565
407787.1378299948 268 57 2923.2468674000797
407735.8666382143 269 58 2923.2468674000797
407676.6863538233 341 59 2923.2468674000797
407653.4320549264 551 60 2923.2468674000797
407217.0972208972 621 61 2057.8454262228584
407213.02067866083 693 62 2057.8454262228584
405082.28179073567 696 63 0
405034.73283837095 830 64 0
405018.06446907134 1227 65 0
404960.9202270516 1300 66 0
404915.85093915253 1301 67 0
403949.07246540673 1516 68 0
402882.24845274584 1517 69 0
402430.80976708536 1520 70 0
402388.6237522299 1524 71 0
402351.6109507469 1751 72 0
402296.6593813191 1903 73 0
402201.55755712534 1903 74 0
401656.8426121575 2058 75 0
400584.95658787136 2209 76 0
400541.2106384533 2286 77 0
400528.5336812569 2291 78 0
399994.42919588473 2296 79 0
399973.1991522107 2299 80 0
399896.00412457087 2596 81 0
399891.7890711668 2600 82 0
399863.3180928769 2604 83 0
399781.5965248462 2753 84 0
399677.27089083655 2755 85 0
399676.51563164336 2756 86 0
399659.98344155046 2758 87 0
399531.0624062243 2835 88 0
399518.5988372889 2843 89 0
399443.7098909817 2844 90 0
399401.42351173324 2845 91 0
399288.97635597474 2918 92 0
399247.75970240065 2921 93 0
399202.8382151319 2922 94 0
399176.1330184102 2997 95 0
398710.5664530387 2997 96 0
398677.9160180227 2999 97 0
398263.74090126844 2999 98 0
397800.4126989872 3141 99 0
397712.4748337857 3142 100 0
397698.8819309793 3217 101 0
397593.4934296438 3290 102 0
397584.55254312104 3292 103 0
397506.4573514527 3293 104 0
397043.8884053972 3439 105 0
397034.12047132733 3442 106 0
396558.96866697917 3515 107 0
396537.4910964253 3733 108 0
