instance_name algorithm_name iter_idx best_objective running_time
DU500-P10-0 local_search 9 378152.3599207157 0.236944
nb_riders nb_polygons
10 500
rider 0 = {263, 275, 20, 281, 285, 32, 34, 320, 323, 77, 333, 81, 337, 340, 354, 103, 105, 108, 365, 111, 368, 121, 122, 382, 396, 153, 410, 415, 417, 169, 433, 436, 437, 181, 439, 184, 185, 455, 200, 202, 207, 211, 470, 472, 219, 220, 224, 481, 482, 231, 499, 247}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
472 44095.73597440496 9595.735974404957 134.7142578084367 349.4570936595926 0.0 69 0.0
rider 1 = {2, 260, 5, 17, 18, 287, 42, 55, 313, 315, 61, 330, 335, 338, 343, 88, 89, 99, 101, 104, 106, 107, 112, 113, 114, 380, 384, 385, 388, 389, 391, 398, 400, 403, 148, 150, 156, 157, 174, 176, 179, 447, 196, 454, 459, 460, 468, 484, 233, 239, 243, 250}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
338 40114.89501579999 10114.895015799997 135.7899601069484 345.79646120184594 0.0 60 0.0
rider 2 = {256, 259, 3, 6, 268, 265, 279, 282, 284, 286, 292, 305, 50, 312, 314, 316, 71, 328, 332, 83, 86, 95, 352, 361, 370, 117, 381, 126, 386, 135, 394, 164, 171, 430, 434, 178, 441, 186, 445, 448, 194, 218, 227, 483, 486, 240, 241, 253}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
381 35986.40247063075 7986.402470630744 138.4509669491035 328.9192103330543 0.0 56 0.0
rider 3 = {264, 266, 272, 25, 28, 41, 300, 46, 302, 51, 308, 322, 70, 74, 347, 369, 116, 130, 131, 392, 139, 140, 141, 138, 145, 407, 154, 159, 416, 165, 170, 431, 177, 435, 180, 188, 191, 449, 193, 195, 210, 215, 471, 474, 476, 221, 479, 246, 251}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
131 35503.74060082922 8503.740600829215 138.90794447732722 318.5869802751719 0.0 54 0.0
rider 4 = {4, 7, 8, 10, 16, 278, 24, 283, 30, 293, 294, 301, 48, 321, 66, 67, 72, 84, 91, 92, 97, 359, 366, 377, 128, 390, 144, 151, 152, 412, 418, 420, 429, 189, 190, 456, 458, 462, 467, 473, 477, 478, 223, 489, 244, 249}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
278 35139.330199522854 8639.33019952285 138.5597587771933 342.3691894366435 0.0 53 0.0
rider 5 = {0, 271, 19, 26, 29, 31, 289, 33, 47, 304, 49, 54, 311, 57, 60, 82, 85, 87, 341, 90, 349, 96, 110, 367, 373, 378, 134, 393, 395, 143, 146, 147, 408, 414, 160, 161, 422, 428, 172, 182, 443, 198, 457, 204, 206, 465, 216, 217, 232, 497, 248}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
87 36588.130213775774 9588.13021377577 133.704020373911 347.4107063160023 0.0 54 0.0
rider 6 = {262, 273, 277, 21, 23, 298, 306, 309, 310, 56, 62, 318, 65, 327, 78, 79, 336, 80, 339, 342, 346, 350, 351, 355, 356, 102, 358, 360, 363, 364, 372, 374, 376, 379, 125, 127, 397, 162, 419, 425, 175, 183, 446, 461, 208, 209, 466, 469, 222, 234, 254}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
376 39270.935941589385 9270.935941589389 138.28133266521985 338.1508137216973 0.0 60 0.0
rider 7 = {1, 257, 267, 269, 13, 22, 27, 35, 36, 39, 59, 317, 319, 68, 329, 73, 331, 75, 334, 344, 345, 348, 357, 119, 120, 123, 124, 383, 129, 137, 136, 401, 406, 155, 423, 168, 173, 442, 187, 452, 463, 212, 213, 214, 480, 229, 485, 490, 235, 238, 495, 496}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
137 38741.189771798934 9741.189771798938 139.9194684220688 317.86782376713063 0.0 58 0.0
rider 8 = {255, 261, 9, 12, 270, 274, 276, 14, 280, 288, 37, 295, 40, 299, 44, 45, 303, 307, 58, 53, 11, 324, 69, 325, 76, 115, 375, 118, 387, 132, 404, 409, 421, 424, 426, 440, 444, 450, 453, 205, 464, 475, 225, 226, 236, 493, 494, 498, 242, 245, 252}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
37 38622.620380531924 9622.62038053192 131.848663753357 326.5959550339868 0.0 58 0.0
rider 9 = {258, 15, 290, 291, 38, 296, 297, 43, 52, 63, 64, 326, 93, 94, 353, 98, 100, 362, 109, 371, 133, 142, 399, 402, 405, 149, 411, 413, 158, 163, 166, 167, 427, 432, 438, 192, 451, 197, 199, 201, 203, 228, 230, 487, 488, 491, 492, 237}
best_rider_2_centroid best_rider_2_obj best_rider_2_radius best_rider_2_act_1 best_rider_2_act_2 best_rider_2_act_3 best_rider_2_area
199 34089.379351831936 8589.379351831938 139.59863329827675 319.37217148454226 0.0 51 0.0
obj time iter vio 
481311.52278352896 1 0 69524.32584052261
469180.5391659188 3 1 62004.27354413912
460931.47471046116 3 2 58454.00815649116
451081.9116158777 4 3 58714.13373404183
451062.65481029404 6 4 58714.13373404195
442458.65232543444 6 5 46093.69518230484
434676.215993724 7 6 37177.334490009256
434316.6219611099 8 7 36007.93204212422
433133.18664235226 8 8 34874.04986689375
430205.1228639479 9 9 33079.96785616332
426914.5393653372 9 10 30338.54506701811
426542.1091075081 9 11 29351.35858916334
424740.5634737548 10 12 26551.036584944937
421053.7558174407 11 13 22329.413167671682
416513.16899609996 11 14 17818.372620295555
415347.08105074853 12 15 16486.66927171075
415231.3122164593 13 16 16731.956572760646
415207.8208390287 14 17 16731.956572760646
411424.1023927342 14 18 12897.004349744577
410384.043789395 15 19 10409.38865304667
408094.33423324535 15 20 7697.982371882907
407929.2831538829 16 21 8007.693265862013
407838.8038509739 18 22 8007.693265862013
407686.1214551753 19 23 8007.693265862027
405979.8507810178 22 24 8007.693265862027
405510.58504832356 23 25 8007.693265862027
404805.2901603032 25 26 5930.930372412826
403962.1560345036 25 27 5205.866838428813
402616.1719324096 26 28 3847.2236976900654
402178.9115771718 26 29 3847.2236976900654
402155.35419801506 29 30 3847.2236976900654
402119.0045965469 30 31 3847.2236976900654
401680.6493817355 33 32 3847.2236976900654
401073.9866078809 40 33 3337.045502850867
400876.90963855886 43 34 3337.045502850867
400486.6445816479 45 35 3337.045502850867
400106.2731986273 46 36 3488.960536182656
400079.8299857853 48 37 3488.9605361826843
399892.1735062181 50 38 3315.611104680709
399569.53427836846 52 39 3315.611104680709
399084.9323682148 54 40 3315.611104680709
398581.7689709534 58 41 2751.8143607570482
397623.93297804054 60 42 2751.8143607570482
397606.9062317406 61 43 2751.8143607570482
397265.51451607025 104 44 2334.9082195402298
397097.9019522447 147 45 2334.9082195402298
396999.7140752785 149 46 2334.9082195402298
396561.4967450438 151 47 2334.9082195402298
396377.1381607051 153 48 1079.7695785673334
395493.10638035176 222 49 1181.9769459358831
394882.9692814177 225 50 1181.9769459358831
394695.86256907403 297 51 496.4943540484139
394682.7259892695 297 52 496.4943540484139
394680.3686287387 299 53 496.4943540484139
394643.6094239509 299 54 496.4943540484139
394554.20831226616 300 55 496.4943540484139
395022.0730951851 301 56 0
394897.28503751627 301 57 0
393821.9992290258 303 58 0
393281.5153590045 447 59 0
393268.9849527387 449 60 0
393218.0212463351 449 61 0
392888.6648531185 450 62 0
392365.4974584867 603 63 0
392339.3649611926 605 64 0
392265.28377032385 608 65 0
391903.3412481322 683 66 0
391900.4734818232 686 67 0
391432.3234352459 690 68 0
391430.5521922048 694 69 0
391321.5022294672 697 70 0
391314.4171820912 775 71 0
391272.9586648783 779 72 0
390200.7600909407 993 73 0
389607.6075983459 997 74 0
389606.0420826495 1002 75 0
389469.0244853022 1005 76 0
389141.49323923414 1012 77 0
389120.1666122416 1015 78 0
388126.4700051844 1019 79 0
388068.19537604536 1023 80 0
387561.51251324057 1396 81 0
387435.6046827006 1475 82 0
387028.5142463081 1479 83 0
386371.7009454727 1556 84 0
386365.3050520094 1558 85 0
386307.3538904744 1702 86 0
386303.22536235687 1706 87 0
386300.9711006074 1708 88 0
386260.8718010598 1781 89 0
386244.9397136159 1783 90 0
385868.4102562659 1863 91 0
385762.7540933202 1943 92 0
385762.40612964355 2023 93 0
385692.993740023 2027 94 0
385184.8743672555 2030 95 0
385156.6252070876 2108 96 0
385142.58051651646 2111 97 0
385066.61994589685 2115 98 0
385021.80471522396 2117 99 0
384933.30367224134 2353 100 0
384447.51872742287 2356 101 0
384406.76509301615 2360 102 0
384363.41706100095 2363 103 0
384314.38298737444 2366 104 0
384294.1588452378 2368 105 0
384261.57039635297 2373 106 0
384200.2061690068 2373 107 0
384183.19544211845 2374 108 0
384169.31542513694 2375 109 0
384101.19255771965 2453 110 0
384087.34310169006 2453 111 0
384039.28034182766 2454 112 0
383999.0292024347 2460 113 0
383960.733430621 2611 114 0
383956.17996808805 2614 115 0
383896.4711977112 2615 116 0
383845.14749566244 2616 117 0
383350.73781807104 2619 118 0
383324.1527150398 2620 119 0
383213.47163580323 2620 120 0
383196.96223797824 2621 121 0
383133.1755932871 2827 122 0
383131.78848746966 2828 123 0
383124.57014223177 2829 124 0
383022.40791525895 2831 125 0
382975.52962131414 2833 126 0
382518.396229233 2834 127 0
382487.3631241025 2837 128 0
382444.536319644 2839 129 0
382404.7669852952 2841 130 0
381915.04208948516 2843 131 0
381856.7461044268 2917 132 0
381775.18544037984 2919 133 0
381342.1381284437 2922 134 0
381311.8182031723 2925 135 0
381219.9209346706 2997 136 0
380802.070324488 3072 137 0
380771.3365362462 3076 138 0
380755.5926846029 3082 139 0
380707.6872615902 3084 140 0
380188.9181698962 3085 141 0
380183.3567942726 3294 142 0
379687.8558413473 3297 143 0
379672.9542926534 3313 144 0
379586.2208300572 3392 145 0
379540.08224586543 3394 146 0
379494.6907890945 3398 147 0
379431.62883204414 3403 148 0
379429.71952159936 3487 149 0
378891.98913763417 3573 150 0
378878.68949270365 3578 151 0
378538.0856020632 3584 152 0
378164.17758043204 3585 153 0
378152.3599207157 3667 154 0
